pos,name,salary,team,opp,date
C,Joel Embiid,11700,PHI,MIL,2023-03-04
PF/SF,Giannis Antetokounmpo,11600,MIL,PHI,2023-03-04
SG,Donovan Mitchell,10000,CLE,DET,2023-03-04
SG/PG,James Harden,9900,PHI,MIL,2023-03-04
PG,Trae Young,9700,ATL,MIA,2023-03-04
C/PF,Domantas Sabonis,9500,SAC,MIN,2023-03-04
PG,De'Aaron Fox,9300,SAC,MIN,2023-03-04
PG,Darius Garland,9000,CLE,DET,2023-03-04
SG/SF,Anthony Edwards,8900,MIN,SAC,2023-03-04
SF/PF,Jimmy Butler,8800,MIA,ATL,2023-03-04
PG,Jrue Holiday,8700,MIL,PHI,2023-03-04
PF/C,Karl-Anthony Towns,8600,MIN,SAC,2023-03-04
SG/PG,Dejounte Murray,8500,ATL,MIA,2023-03-04
C,Bam Adebayo,8300,MIA,ATL,2023-03-04
C,Rudy Gobert,7900,MIN,SAC,2023-03-04
SG/SF,Tyler Herro,7800,MIA,ATL,2023-03-04
C/PF,Jarrett Allen,7700,CLE,DET,2023-03-04
PF/C,Evan Mobley,7600,CLE,DET,2023-03-04
C,Alperen Sengun,7500,HOU,SA,2023-03-04
C,Clint Capela,7400,ATL,MIA,2023-03-04
PG,Kevin Porter,7300,HOU,SA,2023-03-04
SG/PG,Jalen Green,7200,HOU,SA,2023-03-04
C,Brook Lopez,7100,MIL,PHI,2023-03-04
PF/C,Zach Collins,7000,SA,HOU,2023-03-04
PF/SF,Keldon Johnson,6800,SA,HOU,2023-03-04
SF/PF,Bojan Bogdanovic,6700,DET,CLE,2023-03-04
PG/SG,Tyrese Maxey,6600,PHI,MIL,2023-03-04
SG,Devin Vassell,6500,SA,HOU,2023-03-04
SG,Khris Middleton,6400,MIL,PHI,2023-03-04
SF/PF,Keegan Murray,6300,SAC,MIN,2023-03-04
PG,Killian Hayes,6300,DET,CLE,2023-03-04
SF/SG,Bogdan Bogdanovic,6200,ATL,MIA,2023-03-04
PF/C,Bobby Portis,6200,MIL,PHI,2023-03-04
SG,Jaden Ivey,6100,DET,CLE,2023-03-04
C,Naz Reid,6100,MIN,SAC,2023-03-04
SF/PF,Jeremy Sochan,6100,SA,HOU,2023-03-04
SF/PF,Kyle Anderson,6000,MIN,SAC,2023-03-04
C,James Wiseman,6000,DET,CLE,2023-03-04
PF,Jabari Smith,6000,HOU,SA,2023-03-04
SF/PF,Kenyon Martin,5900,HOU,SA,2023-03-04
PF,Tobias Harris,5900,PHI,MIL,2023-03-04
PF/C,Marvin Bagley,5900,DET,CLE,2023-03-04
SF,Tari Eason,5900,HOU,SA,2023-03-04
SF/PF,Harrison Barnes,5800,SAC,MIN,2023-03-04
PG,Mike Conley,5800,MIN,SAC,2023-03-04
SF/PF,Jaden McDaniels,5800,MIN,SAC,2023-03-04
PG,Tre Jones,5700,SA,HOU,2023-03-04
SG/SF,Kevin Huerter,5700,SAC,MIN,2023-03-04
SF/PF,De'Andre Hunter,5600,ATL,MIA,2023-03-04
C/PF,Isaiah Stewart,5600,DET,CLE,2023-03-04
SF,Saddiq Bey,5500,ATL,MIA,2023-03-04
SG/SF,Hamidou Diallo,5500,DET,CLE,2023-03-04
SG/SF,Caris LeVert,5400,CLE,DET,2023-03-04
C,Jalen Duren,5300,DET,CLE,2023-03-04
PF,Keita Bates-Diop,5300,SA,HOU,2023-03-04
C,Onyeka Okongwu,5200,ATL,MIA,2023-03-04
SG,Malik Monk,5200,SAC,MIN,2023-03-04
PG,Devonte' Graham,5100,SA,HOU,2023-03-04
SF,Malaki Branham,5100,SA,HOU,2023-03-04
PG/SG,Alec Burks,5000,DET,CLE,2023-03-04
PF/C,John Collins,5000,ATL,MIA,2023-03-04
SG/SF,Max Strus,4900,MIA,ATL,2023-03-04
PF/C,Kevin Love,4900,MIA,ATL,2023-03-04
PG,Kyle Lowry,4800,MIA,ATL,2023-03-04
SF/PF,Caleb Martin,4800,MIA,ATL,2023-03-04
PG/SG,De'Anthony Melton,4800,PHI,MIL,2023-03-04
C,Charles Bassey,4700,SA,HOU,2023-03-04
SF/PF,Jae'Sean Tate,4700,HOU,SA,2023-03-04
C,Paul Reed,4700,PHI,MIL,2023-03-04
PG/SG,Gabe Vincent,4600,MIA,ATL,2023-03-04
PG,Jaylen Nowell,4600,MIN,SAC,2023-03-04
SG,Victor Oladipo,4500,MIA,ATL,2023-03-04
SF/PF,Cedi Osman,4500,CLE,DET,2023-03-04
PG,Ricky Rubio,4500,CLE,DET,2023-03-04
SF/SG,Pat Connaughton,4400,MIL,PHI,2023-03-04
PG/SG,Jevon Carter,4400,MIL,PHI,2023-03-04
PG,TyTy Washington,4400,HOU,SA,2023-03-04
PF,Trey Lyles,4300,SAC,MIN,2023-03-04
SG/SF,Terence Davis,4300,SAC,MIN,2023-03-04
PG,Davion Mitchell,4300,SAC,MIN,2023-03-04
SG/SF,Grayson Allen,4300,MIL,PHI,2023-03-04
SF/PF,Taurean Prince,4200,MIN,SAC,2023-03-04
PF,Isaiah Livers,4200,DET,CLE,2023-03-04
SF/SG,Isaac Okoro,4200,CLE,DET,2023-03-04
SG,Romeo Langford,4200,SA,HOU,2023-03-04
PF/C,Isaiah Roby,4100,SA,HOU,2023-03-04
SG/SF,Nickeil Alexander-Walker,4100,MIN,SAC,2023-03-04
PG,Daishen Nix,4100,HOU,SA,2023-03-04
PF/SF,Jalen McDaniels,4000,PHI,MIL,2023-03-04
PF/SF,Doug McDermott,4000,SA,HOU,2023-03-04
PG,Jordan McLaughlin,4000,MIN,SAC,2023-03-04
SG,Rodney McGruder,4000,DET,CLE,2023-03-04
PF/SF,Jae Crowder,4000,MIL,PHI,2023-03-04
PF/SF,Dean Wade,3900,CLE,DET,2023-03-04
C,Cody Zeller,3900,MIA,ATL,2023-03-04
SG,Josh Christopher,3900,HOU,SA,2023-03-04
PF,P.J. Tucker,3900,PHI,MIL,2023-03-04
SF,Haywood Highsmith,3900,MIA,ATL,2023-03-04
SG/SF,Joe Ingles,3900,MIL,PHI,2023-03-04
PG,Cory Joseph,3900,DET,CLE,2023-03-04
PF,Usman Garuba,3900,HOU,SA,2023-03-04
PG,Shake Milton,3900,PHI,MIL,2023-03-04
C,Chimezie Metu,3900,SAC,MIN,2023-03-04
C,Montrezl Harrell,3900,PHI,MIL,2023-03-04
C,Luka Garza,3800,MIN,SAC,2023-03-04
SF,Jalen Johnson,3800,ATL,MIA,2023-03-04
C/PF,Khem Birch,3800,SA,HOU,2023-03-04
SG,Blake Wesley,3800,SA,HOU,2023-03-04
SG/PG,Austin Rivers,3800,MIN,SAC,2023-03-04
SF,AJ Griffin,3800,ATL,MIA,2023-03-04
PF/C,Bruno Fernando,3800,ATL,MIA,2023-03-04
PG,Raul Neto,3700,CLE,DET,2023-03-04
SF,MarJon Beauchamp,3700,MIL,PHI,2023-03-04
C,Meyers Leonard,3700,MIL,PHI,2023-03-04
SG,Wesley Matthews,3700,MIL,PHI,2023-03-04
PF,Nathan Knight,3700,MIN,SAC,2023-03-04
PF,Georges Niang,3700,PHI,MIL,2023-03-04
PG/SG,R.J. Hampton,3700,DET,CLE,2023-03-04
C,Orlando Robinson,3700,MIA,ATL,2023-03-04
SG,Trent Forrest,3700,ATL,MIA,2023-03-04
PF,Lamar Stevens,3700,CLE,DET,2023-03-04
PG,Aaron Holiday,3700,ATL,MIA,2023-03-04
SF,Garrison Mathews,3600,ATL,MIA,2023-03-04
PF,Nikola Jovic,3600,MIA,ATL,2023-03-04
SG,Danny Green,3600,CLE,DET,2023-03-04
SF,Jamal Cain,3600,MIA,ATL,2023-03-04
PG,Matthew Dellavedova,3600,SAC,MIN,2023-03-04
SG/SF,Duncan Robinson,3600,MIA,ATL,2023-03-04
SF,Dominick Barlow,3600,SA,HOU,2023-03-04
C,Richaun Holmes,3600,SAC,MIN,2023-03-04
C,Gorgui Dieng,3600,SA,HOU,2023-03-04
C,Dewayne Dedmon,3600,PHI,MIL,2023-03-04
SG,Wendell Moore,3500,MIN,SAC,2023-03-04
SF,Josh Minott,3500,MIN,SAC,2023-03-04
PF,Isaiah Mobley,3500,CLE,DET,2023-03-04
SG,Dylan Windler,3500,CLE,DET,2023-03-04
SF/PF,Thanasis Antetokounmpo,3500,MIL,PHI,2023-03-04
C/PF,Willie Cauley-Stein,3500,HOU,SA,2023-03-04
SF,Donovan Williams,3500,ATL,MIA,2023-03-04
SG,Jared Rhoden,3500,DET,CLE,2023-03-04
SF/PF,Louis King,3500,PHI,MIL,2023-03-04
SG,Buddy Boeheim,3500,DET,CLE,2023-03-04
SF,Julian Champagnie,3500,SA,HOU,2023-03-04
PF/C,Frank Kaminsky,3500,HOU,SA,2023-03-04
C,Boban Marjanovic,3500,HOU,SA,2023-03-04
SF,Matt Ryan,3500,MIN,SAC,2023-03-04
C,Neemias Queta,3500,SAC,MIN,2023-03-04
PG/SG,Cade Cunningham,3500,DET,CLE,2023-03-04
SG/PG,Mac McClung,3500,PHI,MIL,2023-03-04
PF,Udonis Haslem,3500,MIA,ATL,2023-03-04
PG,Vit Krejci,3500,ATL,MIA,2023-03-04
SF,Kessler Edwards,3500,SAC,MIN,2023-03-04
PG,Trevor Hudgins,3500,HOU,SA,2023-03-04
C,Robin Lopez,3500,CLE,DET,2023-03-04
PG,Jaden Springer,3500,PHI,MIL,2023-03-04
SG/SF,PJ Dozier,3500,SAC,MIN,2023-03-04
SG,Keon Ellis,3500,SAC,MIN,2023-03-04
SG,A.J. Green,3500,MIL,PHI,2023-03-04
PG,Sam Merrill,3500,CLE,DET,2023-03-04
SF,Furkan Korkmaz,3500,PHI,MIL,2023-03-04
C,Omer Yurtseven,3500,MIA,ATL,2023-03-04
C,Alex Len,3500,SAC,MIN,2023-03-04
PF,Mamadi Diakite,3500,CLE,DET,2023-03-04
SG,Tyrese Martin,3500,ATL,MIA,2023-03-04
PF,Darius Days,3500,HOU,SA,2023-03-04
SF,Danuel House,3500,PHI,MIL,2023-03-04
