pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12200,DAL,MIA,2023-01-20
C,Nikola Jokic,11700,DEN,IND,2023-01-20
SF/PF,LeBron James,11400,LAL,MEM,2023-01-20
PF/C,Anthony Davis,10800,LAL,MEM,2023-01-20
C/PF,Domantas Sabonis,10300,SAC,OKC,2023-01-20
SF/PF,Kevin Durant,10200,BKN,UTA,2023-01-20
SG/PG,Shai Gilgeous-Alexander,10100,OKC,SAC,2023-01-20
PG,Ja Morant,10000,MEM,LAL,2023-01-20
PF/C,Julius Randle,9900,NY,ATL,2023-01-20
PF,Zion Williamson,9800,NO,ORL,2023-01-20
PG,Stephen Curry,9800,GS,CLE,2023-01-20
PG/SG,Tyrese Haliburton,9700,IND,DEN,2023-01-20
PG,Trae Young,9600,ATL,NY,2023-01-20
SF/PF,Kawhi Leonard,9400,LAC,SA,2023-01-20
PG/SG,Kyrie Irving,9200,BKN,UTA,2023-01-20
SF/PF,Jimmy Butler,9200,MIA,DAL,2023-01-20
SG/PG,Donovan Mitchell,9100,CLE,GS,2023-01-20
PG/SG,CJ McCollum,8900,NO,ORL,2023-01-20
C/PF,Bam Adebayo,8800,MIA,DAL,2023-01-20
PF/SF,Lauri Markkanen,8700,UTA,BKN,2023-01-20
SG/PG,Dejounte Murray,8600,ATL,NY,2023-01-20
PG/SG,Jalen Brunson,8600,NY,ATL,2023-01-20
SG/SF,Paul George,8500,LAC,SA,2023-01-20
SG/PG,Darius Garland,8500,CLE,GS,2023-01-20
PF/C,Christian Wood,8300,DAL,MIA,2023-01-20
PG,De'Aaron Fox,8300,SAC,OKC,2023-01-20
PF/C,Jaren Jackson,8200,MEM,LAL,2023-01-20
PG,Russell Westbrook,8200,LAL,MEM,2023-01-20
C/PF,Myles Turner,8100,IND,DEN,2023-01-20
SG/PG,Josh Giddey,8000,OKC,SAC,2023-01-20
C,Walker Kessler,7900,UTA,BKN,2023-01-20
SG/SF,Desmond Bane,7900,MEM,LAL,2023-01-20
PF/SF,Paolo Banchero,7800,ORL,NO,2023-01-20
C/PF,Jarrett Allen,7800,CLE,GS,2023-01-20
C,Jonas Valanciunas,7700,NO,ORL,2023-01-20
C,Nic Claxton,7700,BKN,UTA,2023-01-20
SF/SG,Brandon Ingram,7600,NO,ORL,2023-01-20
PG/SG,Jordan Poole,7600,GS,CLE,2023-01-20
PG/PF,Ben Simmons,7500,BKN,UTA,2023-01-20
SG/SF,Tyler Herro,7500,MIA,DAL,2023-01-20
PG/SG,Jamal Murray,7400,DEN,IND,2023-01-20
SG/SF,Klay Thompson,7400,GS,CLE,2023-01-20
PG/SG,Markelle Fultz,7400,ORL,NO,2023-01-20
PG/SG,Jordan Clarkson,7300,UTA,BKN,2023-01-20
PF/SF,Keldon Johnson,7100,SA,LAC,2023-01-20
C,Jakob Poeltl,7000,SA,LAC,2023-01-20
PF/C,Evan Mobley,7000,CLE,GS,2023-01-20
SF/SG,RJ Barrett,7000,NY,ATL,2023-01-20
SF/SG,Franz Wagner,6900,ORL,NO,2023-01-20
PG/SG,T.J. McConnell,6900,IND,DEN,2023-01-20
PG/SG,Spencer Dinwiddie,6800,DAL,MIA,2023-01-20
SF/SG,Norman Powell,6800,LAC,SA,2023-01-20
PF/C,Draymond Green,6800,GS,CLE,2023-01-20
C,Steven Adams,6700,MEM,LAL,2023-01-20
SF/PF,Andrew Wiggins,6700,GS,CLE,2023-01-20
SG/SF,Buddy Hield,6600,IND,DEN,2023-01-20
PF/C,Aaron Gordon,6600,DEN,IND,2023-01-20
C/PF,Wendell Carter,6600,ORL,NO,2023-01-20
C,Onyeka Okongwu,6500,ATL,NY,2023-01-20
PG,Tre Jones,6500,SA,LAC,2023-01-20
SG,Devin Vassell,6500,SA,LAC,2023-01-20
SF/PF,Harrison Barnes,6400,SAC,OKC,2023-01-20
PG,Tyus Jones,6300,MEM,LAL,2023-01-20
C,Mitchell Robinson,6300,NY,ATL,2023-01-20
SF/SG,Jalen Williams,6200,OKC,SAC,2023-01-20
C,Clint Capela,6200,ATL,NY,2023-01-20
SG/PG,Victor Oladipo,6200,MIA,DAL,2023-01-20
PF/C,John Collins,6000,ATL,NY,2023-01-20
SG/SF,Kevin Huerter,6000,SAC,OKC,2023-01-20
SF,Naji Marshall,6000,NO,ORL,2023-01-20
C,Ivica Zubac,5900,LAC,SA,2023-01-20
PF/SF,Michael Porter,5900,DEN,IND,2023-01-20
SG/PG,Andrew Nembhard,5900,IND,DEN,2023-01-20
SF/SG,Bogdan Bogdanovic,5900,ATL,NY,2023-01-20
SG/SF,Max Strus,5800,MIA,DAL,2023-01-20
C,Thomas Bryant,5800,LAL,MEM,2023-01-20
PG,Kyle Lowry,5800,MIA,DAL,2023-01-20
