pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12500,DAL,WAS,2022-11-10
SG/PG,Dejounte Murray,10800,ATL,PHI,2022-11-10
C,Joel Embiid,10500,PHI,ATL,2022-11-10
PG,Trae Young,9700,ATL,PHI,2022-11-10
SG/PG,James Harden,9500,PHI,ATL,2022-11-10
SF/PF,Jimmy Butler,9000,MIA,CHA,2022-11-10
PF,Zion Williamson,8800,NO,POR,2022-11-10
PG,LaMelo Ball,8500,CHA,MIA,2022-11-10
PG,Damian Lillard,8500,POR,NO,2022-11-10
PG/SG,CJ McCollum,8500,NO,POR,2022-11-10
SF/SG,Brandon Ingram,8200,NO,POR,2022-11-10
SG,Bradley Beal,8200,WAS,DAL,2022-11-10
C/PF,Kristaps Porzingis,8000,WAS,DAL,2022-11-10
SG/PG,Terry Rozier,8000,CHA,MIA,2022-11-10
SF/PF,Tobias Harris,8000,PHI,ATL,2022-11-10
PG/SG,Tyrese Maxey,7800,PHI,ATL,2022-11-10
C/PF,Bam Adebayo,7700,MIA,CHA,2022-11-10
SG/PG,Anfernee Simons,7700,POR,NO,2022-11-10
C,Jusuf Nurkic,7000,POR,NO,2022-11-10
SG/SF,Tyler Herro,7000,MIA,CHA,2022-11-10
PG,Kyle Lowry,6900,MIA,CHA,2022-11-10
C,Jonas Valanciunas,6700,NO,POR,2022-11-10
PG,Dennis Smith,6600,CHA,MIA,2022-11-10
PF/C,Christian Wood,6600,DAL,WAS,2022-11-10
SF/PF,Kyle Kuzma,6500,WAS,DAL,2022-11-10
PF/C,P.J. Washington,6500,CHA,MIA,2022-11-10
PF,Jerami Grant,6500,POR,NO,2022-11-10
SG/SF,Josh Hart,6400,POR,NO,2022-11-10
SF/SG,Gordon Hayward,6300,CHA,MIA,2022-11-10
PG/SG,Spencer Dinwiddie,6300,DAL,WAS,2022-11-10
PF/C,John Collins,6200,ATL,PHI,2022-11-10
C,Clint Capela,5800,ATL,PHI,2022-11-10
SF/SG,Kelly Oubre,5700,CHA,MIA,2022-11-10
PG,Monte Morris,5700,WAS,DAL,2022-11-10
PG/SG,De'Anthony Melton,5600,PHI,ATL,2022-11-10
SF,Justise Winslow,5400,POR,NO,2022-11-10
C,Mason Plumlee,5300,CHA,MIA,2022-11-10
PF/C,Larry Nance,5200,NO,POR,2022-11-10
SF,Trey Murphy,5200,NO,POR,2022-11-10
PG,Jordan Goodwin,5200,WAS,DAL,2022-11-10
PF,Jalen McDaniels,5100,CHA,MIA,2022-11-10
SG/SF,Herbert Jones,5000,NO,POR,2022-11-10
SG/SF,Max Strus,4900,MIA,CHA,2022-11-10
SF/PF,De'Andre Hunter,4800,ATL,PHI,2022-11-10
SG,James Bouknight,4800,CHA,MIA,2022-11-10
SF,Naji Marshall,4700,NO,POR,2022-11-10
PG/SG,Delon Wright,4500,WAS,DAL,2022-11-10
