pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,11300,MIL,POR,2022-11-21
SG/PG,Shai Gilgeous-Alexander,10500,OKC,NY,2022-11-21
PG,Stephen Curry,10400,GS,NO,2022-11-21
PF/SF,Jayson Tatum,10200,BOS,CHI,2022-11-21
PG,Trae Young,9900,ATL,CLE,2022-11-21
SG/PG,Donovan Mitchell,9600,CLE,ATL,2022-11-21
SG/PG,Dejounte Murray,9500,ATL,CLE,2022-11-21
PG/SG,Tyrese Haliburton,9100,IND,ORL,2022-11-21
SG/SF,Paul George,9000,LAC,UTA,2022-11-21
PG,Damian Lillard,9000,POR,MIL,2022-11-21
SF/PF,Jimmy Butler,8800,MIA,MIN,2022-11-21
PF/C,Karl-Anthony Towns,8700,MIN,MIA,2022-11-21
PF/SF,Paolo Banchero,8600,ORL,IND,2022-11-21
SF/SG,Jaylen Brown,8500,BOS,CHI,2022-11-21
SG/PG,Darius Garland,8400,CLE,ATL,2022-11-21
C/PF,Bam Adebayo,8300,MIA,MIN,2022-11-21
PF,Zion Williamson,8200,NO,GS,2022-11-21
SG/SF,DeMar DeRozan,8200,CHI,BOS,2022-11-21
SG/PG,Anfernee Simons,8100,POR,MIL,2022-11-21
PG/SG,CJ McCollum,8000,NO,GS,2022-11-21
SF/SG,Brandon Ingram,7900,NO,GS,2022-11-21
C,Nikola Vucevic,7900,CHI,BOS,2022-11-21
C/PF,Myles Turner,7900,IND,ORL,2022-11-21
PF/C,Julius Randle,7800,NY,OKC,2022-11-21
PG/SG,Jrue Holiday,7800,MIL,POR,2022-11-21
PF/SF,Lauri Markkanen,7700,UTA,LAC,2022-11-21
PF,Jerami Grant,7600,POR,MIL,2022-11-21
SG/SF,Anthony Edwards,7600,MIN,MIA,2022-11-21
C,Rudy Gobert,7500,MIN,MIA,2022-11-21
PF/C,Evan Mobley,7400,CLE,ATL,2022-11-21
SF/SG,Khris Middleton,7400,MIL,POR,2022-11-21
PG/SG,Jalen Brunson,7300,NY,OKC,2022-11-21
SG/SF,Tyler Herro,7200,MIA,MIN,2022-11-21
PG,Kyle Lowry,7200,MIA,MIN,2022-11-21
SF/SG,Franz Wagner,7100,ORL,IND,2022-11-21
C/PF,Wendell Carter,7000,ORL,IND,2022-11-21
SG/SF,Buddy Hield,6900,IND,ORL,2022-11-21
SG/SF,Zach LaVine,6900,CHI,BOS,2022-11-21
C/PF,Jarrett Allen,6900,CLE,ATL,2022-11-21
SG/PG,Josh Giddey,6800,OKC,NY,2022-11-21
C,Brook Lopez,6800,MIL,POR,2022-11-21
SG/PG,Marcus Smart,6700,BOS,CHI,2022-11-21
C,Bol Bol,6700,ORL,IND,2022-11-21
PG/SG,Jalen Suggs,6600,ORL,IND,2022-11-21
PG/SG,Jordan Poole,6600,GS,NO,2022-11-21
C,Clint Capela,6600,ATL,CLE,2022-11-21
SF/PF,Andrew Wiggins,6500,GS,NO,2022-11-21
SG/SF,Josh Hart,6400,POR,MIL,2022-11-21
C,Jusuf Nurkic,6300,POR,MIL,2022-11-21
PG/SG,D'Angelo Russell,6300,MIN,MIA,2022-11-21
PG/SG,Derrick White,6200,BOS,CHI,2022-11-21
PG/SG,John Wall,6100,LAC,UTA,2022-11-21
SF/SG,RJ Barrett,6100,NY,OKC,2022-11-21
SG/SF,Max Strus,6000,MIA,MIN,2022-11-21
PG/SG,Jordan Clarkson,6000,UTA,LAC,2022-11-21
PF/C,Bobby Portis,6000,MIL,POR,2022-11-21
SF/PF,Kawhi Leonard,6000,LAC,UTA,2022-11-21
PF,Aleksej Pokusevski,5900,OKC,NY,2022-11-21
C,Ivica Zubac,5900,LAC,UTA,2022-11-21
SG/SF,Caris LeVert,5900,CLE,ATL,2022-11-21
PF/C,Draymond Green,5800,GS,NO,2022-11-21
SF/SG,Malik Beasley,5700,UTA,LAC,2022-11-21
C,Jonas Valanciunas,5700,NO,GS,2022-11-21
SG/SF,Klay Thompson,5600,GS,NO,2022-11-21
PF/C,John Collins,5600,ATL,CLE,2022-11-21
C,Mo Bamba,5600,ORL,IND,2022-11-21
SF/SG,Luguentz Dort,5500,OKC,NY,2022-11-21
C/PF,Al Horford,5500,BOS,CHI,2022-11-21
PG,Mike Conley,5500,UTA,LAC,2022-11-21
PG/SG,Cole Anthony,5500,ORL,IND,2022-11-21
SF/SG,Caleb Martin,5400,MIA,MIN,2022-11-21
PG,Reggie Jackson,5400,LAC,UTA,2022-11-21
PG/SG,Jevon Carter,5400,MIL,POR,2022-11-21
PF/C,Jalen Smith,5400,IND,ORL,2022-11-21
PF/C,Larry Nance,5300,NO,GS,2022-11-21
C/PF,Kelly Olynyk,5300,UTA,LAC,2022-11-21
SG,Bennedict Mathurin,5300,IND,ORL,2022-11-21
SF/PF,Jaden McDaniels,5300,MIN,MIA,2022-11-21
PF/SF,Marcus Morris,5200,LAC,UTA,2022-11-21
SG,Jalen Williams,5100,OKC,NY,2022-11-21
SF/PF,De'Andre Hunter,5100,ATL,CLE,2022-11-21
PG,Tre Mann,5000,OKC,NY,2022-11-21
PF,Isaiah Hartenstein,5000,NY,OKC,2022-11-21
SG/PG,Immanuel Quickley,5000,NY,OKC,2022-11-21
PG/SG,Malcolm Brogdon,5000,BOS,CHI,2022-11-21
