pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12200,MIL,MIA,2023-02-24
SG/PG,Shai Gilgeous-Alexander,10700,OKC,PHO,2023-02-24
PG,LaMelo Ball,10300,CHA,MIN,2023-02-24
SF/PF,Kawhi Leonard,10000,LAC,SAC,2023-02-24
PG,Trae Young,9800,ATL,CLE,2023-02-24
SF/PF,Kevin Durant,9700,PHO,OKC,2023-02-24
SG,Devin Booker,9600,PHO,OKC,2023-02-24
C/PF,Domantas Sabonis,9600,SAC,LAC,2023-02-24
SG,Donovan Mitchell,9500,CLE,ATL,2023-02-24
SF/PF,Jimmy Butler,9500,MIA,MIL,2023-02-24
SG/SF,Anthony Edwards,9400,MIN,CHA,2023-02-24
PG,De'Aaron Fox,9400,SAC,LAC,2023-02-24
PF,Julius Randle,9300,NY,WAS,2023-02-24
SG,Bradley Beal,9300,WAS,NY,2023-02-24
PG,Stephen Curry,9200,GS,HOU,2023-02-24
C/PF,Kristaps Porzingis,9100,WAS,NY,2023-02-24
C,Bam Adebayo,9100,MIA,MIL,2023-02-24
C,Deandre Ayton,9000,PHO,OKC,2023-02-24
C,Nikola Vucevic,8800,CHI,BKN,2023-02-24
PF/C,Karl-Anthony Towns,8700,MIN,CHA,2023-02-24
SG/SF,Paul George,8600,LAC,SAC,2023-02-24
SG/PG,Dejounte Murray,8500,ATL,CLE,2023-02-24
PG,Chris Paul,8500,PHO,OKC,2023-02-24
PG,Jalen Brunson,8400,NY,WAS,2023-02-24
PG,Darius Garland,8400,CLE,ATL,2023-02-24
PG/SG,Jordan Poole,8300,GS,HOU,2023-02-24
SF,DeMar DeRozan,8200,CHI,BKN,2023-02-24
SG,Klay Thompson,8000,GS,HOU,2023-02-24
SG/SF,Zach LaVine,8000,CHI,BKN,2023-02-24
PG,Jrue Holiday,8000,MIL,MIA,2023-02-24
C,Rudy Gobert,7900,MIN,CHA,2023-02-24
SG/SF,Mikal Bridges,7800,BKN,CHI,2023-02-24
C,Nic Claxton,7800,BKN,CHI,2023-02-24
SF/PF,Kyle Kuzma,7700,WAS,NY,2023-02-24
SG/PG,Terry Rozier,7700,CHA,MIN,2023-02-24
PG,Spencer Dinwiddie,7600,BKN,CHI,2023-02-24
SG/SF,Tyler Herro,7600,MIA,MIL,2023-02-24
C/PF,Jarrett Allen,7600,CLE,ATL,2023-02-24
SG/PG,Josh Giddey,7500,OKC,PHO,2023-02-24
C,Alperen Sengun,7500,HOU,GS,2023-02-24
PG,Kevin Porter,7500,HOU,GS,2023-02-24
PF/C,Evan Mobley,7400,CLE,ATL,2023-02-24
SG/PG,Jalen Green,7400,HOU,GS,2023-02-24
C,Clint Capela,7200,ATL,CLE,2023-02-24
C,Brook Lopez,7200,MIL,MIA,2023-02-24
PG,Russell Westbrook,7200,LAC,SAC,2023-02-24
PF/C,P.J. Washington,7100,CHA,MIN,2023-02-24
SF,Andrew Wiggins,7000,GS,HOU,2023-02-24
PF/C,Draymond Green,6800,GS,HOU,2023-02-24
SF/SG,Norman Powell,6600,LAC,SAC,2023-02-24
PF/C,Bobby Portis,6400,MIL,MIA,2023-02-24
SF/SG,Kelly Oubre,6400,CHA,MIN,2023-02-24
C,Mitchell Robinson,6200,NY,WAS,2023-02-24
SF/SG,RJ Barrett,6100,NY,WAS,2023-02-24
SG/SF,Cam Thomas,6000,BKN,CHI,2023-02-24
SG/SF,Kevin Huerter,6000,SAC,LAC,2023-02-24
SF/SG,Jalen Williams,6000,OKC,PHO,2023-02-24
C,Daniel Gafford,6000,WAS,NY,2023-02-24
SF/SG,Bogdan Bogdanovic,6000,ATL,CLE,2023-02-24
SG,Khris Middleton,6000,MIL,MIA,2023-02-24
SF,Saddiq Bey,6000,ATL,CLE,2023-02-24
SF/PF,Deni Avdija,5900,WAS,NY,2023-02-24
C,Ivica Zubac,5900,LAC,SAC,2023-02-24
PF/C,John Collins,5900,ATL,CLE,2023-02-24
SG/PG,Immanuel Quickley,5900,NY,WAS,2023-02-24
SG/SF,Josh Hart,5800,NY,WAS,2023-02-24
SF/PF,Kenyon Martin,5800,HOU,GS,2023-02-24
SF/SG,Josh Okogie,5800,PHO,OKC,2023-02-24
C,Mason Plumlee,5800,LAC,SAC,2023-02-24
PG,Mike Conley,5800,MIN,CHA,2023-02-24
PG/PF,Ben Simmons,5700,BKN,CHI,2023-02-24
C,Kevon Looney,5700,GS,HOU,2023-02-24
C,Mark Williams,5700,CHA,MIN,2023-02-24
SF,Torrey Craig,5700,PHO,OKC,2023-02-24
SF/SG,Gordon Hayward,5600,CHA,MIN,2023-02-24
PF,Jabari Smith,5600,HOU,GS,2023-02-24
C,Onyeka Okongwu,5600,ATL,CLE,2023-02-24
SF/PF,Jaden McDaniels,5600,MIN,CHA,2023-02-24
SF/PF,Kyle Anderson,5500,MIN,CHA,2023-02-24
SG,Victor Oladipo,5500,MIA,MIL,2023-02-24
SG,Eric Gordon,5500,LAC,SAC,2023-02-24
SG,Malik Monk,5500,SAC,LAC,2023-02-24
SF/PF,Caleb Martin,5400,MIA,MIL,2023-02-24
SF/SG,Luguentz Dort,5400,OKC,PHO,2023-02-24
SF/PF,Cameron Johnson,5400,BKN,CHI,2023-02-24
PG/SG,Delon Wright,5400,WAS,NY,2023-02-24
PG/SG,Gabe Vincent,5300,MIA,MIL,2023-02-24
SG/SF,Donte DiVincenzo,5300,GS,HOU,2023-02-24
PG,Jaylen Nowell,5300,MIN,CHA,2023-02-24
SG/SF,Caris LeVert,5300,CLE,ATL,2023-02-24
PG,Monte Morris,5300,WAS,NY,2023-02-24
SF/PF,De'Andre Hunter,5200,ATL,CLE,2023-02-24
SF/PF,Keegan Murray,5200,SAC,LAC,2023-02-24
C,Naz Reid,5200,MIN,CHA,2023-02-24
PG/SG,Terance Mann,5100,LAC,SAC,2023-02-24
SF,Tari Eason,5100,HOU,GS,2023-02-24
SF/PF,Dorian Finney-Smith,5100,BKN,CHI,2023-02-24
SG/SF,Max Strus,5000,MIA,MIL,2023-02-24
PF/C,Day'Ron Sharpe,5000,BKN,CHI,2023-02-24
PG,Kendrick Nunn,5000,WAS,NY,2023-02-24
PG,Kyle Lowry,4900,MIA,MIL,2023-02-24
PG,Dennis Smith,4900,CHA,MIN,2023-02-24
PF/C,Isaiah Hartenstein,4900,NY,WAS,2023-02-24
