pos,name,salary,team,opp,date
C/PF,Pascal Siakam,10200,TOR,CHI,2022-11-06
PG,Ja Morant,9900,MEM,WAS,2022-11-06
SG/SF,DeMar DeRozan,9400,CHI,TOR,2022-11-06
SG/SF,Paul George,9000,LAC,UTA,2022-11-06
C/PF,Kristaps Porzingis,8600,WAS,MEM,2022-11-06
PF/SF,Lauri Markkanen,8500,UTA,LAC,2022-11-06
C,Nikola Vucevic,8200,CHI,TOR,2022-11-06
SG/SF,Desmond Bane,8100,MEM,WAS,2022-11-06
SG,Bradley Beal,8100,WAS,MEM,2022-11-06
SF/SG,OG Anunoby,7800,TOR,CHI,2022-11-06
PG,Fred VanVleet,7500,TOR,CHI,2022-11-06
SF/PF,Kawhi Leonard,7200,LAC,UTA,2022-11-06
SG/SF,Zach LaVine,7100,CHI,TOR,2022-11-06
PF/SF,Scottie Barnes,7100,TOR,CHI,2022-11-06
C,Ivica Zubac,7000,LAC,UTA,2022-11-06
PG/SG,Jordan Clarkson,6700,UTA,LAC,2022-11-06
SF/PF,Kyle Kuzma,6200,WAS,MEM,2022-11-06
SG/SF,Gary Trent,6000,TOR,CHI,2022-11-06
PG,Mike Conley,5900,UTA,LAC,2022-11-06
C/PF,Chris Boucher,5900,TOR,CHI,2022-11-06
C,Steven Adams,5800,MEM,WAS,2022-11-06
PF,Jarred Vanderbilt,5800,UTA,LAC,2022-11-06
PF/SF,Marcus Morris,5700,LAC,UTA,2022-11-06
SG/SF,Dillon Brooks,5600,MEM,WAS,2022-11-06
C/PF,Kelly Olynyk,5500,UTA,LAC,2022-11-06
PG/SG,John Wall,5400,LAC,UTA,2022-11-06
PG/SG,Ayo Dosunmu,5400,CHI,TOR,2022-11-06
PG,Tyus Jones,5400,MEM,WAS,2022-11-06
PG,Monte Morris,5300,WAS,MEM,2022-11-06
SF/PF,Rui Hachimura,5100,WAS,MEM,2022-11-06
SG,Collin Sexton,5000,UTA,LAC,2022-11-06
SF/SG,Malik Beasley,4700,UTA,LAC,2022-11-06
PG,Reggie Jackson,4700,LAC,UTA,2022-11-06
C,Andre Drummond,4700,CHI,TOR,2022-11-06
PF/SF,Robert Covington,4600,LAC,UTA,2022-11-06
SF/SG,John Konchar,4600,MEM,WAS,2022-11-06
PF,Santi Aldama,4600,MEM,WAS,2022-11-06
PG/SG,Alex Caruso,4600,CHI,TOR,2022-11-06
PG/SG,Delon Wright,4500,WAS,MEM,2022-11-06
PF/C,Precious Achiuwa,4500,TOR,CHI,2022-11-06
SG/SF,Will Barton,4500,WAS,MEM,2022-11-06
SG/SF,Talen Horton-Tucker,4400,UTA,LAC,2022-11-06
SF/PF,Otto Porter,4400,TOR,CHI,2022-11-06
C,Walker Kessler,4300,UTA,LAC,2022-11-06
PF/C,Brandon Clarke,4300,MEM,WAS,2022-11-06
SF/SG,Norman Powell,4300,LAC,UTA,2022-11-06
PG,Goran Dragic,4200,CHI,TOR,2022-11-06
SG/SF,Nickeil Alexander-Walker,4100,UTA,LAC,2022-11-06
SG/SF,Javonte Green,4100,CHI,TOR,2022-11-06
SF/PF,Patrick Williams,4100,CHI,TOR,2022-11-06
C,Moses Brown,4000,LAC,UTA,2022-11-06
PF/SF,Rudy Gay,4000,UTA,LAC,2022-11-06
PF,David Roddy,4000,MEM,WAS,2022-11-06
SG/SF,Terance Mann,4000,LAC,UTA,2022-11-06
PG/SG,Coby White,4000,CHI,TOR,2022-11-06
C,Christian Koloko,4000,TOR,CHI,2022-11-06
SF/PF,Deni Avdija,3900,WAS,MEM,2022-11-06
PF,Anthony Gill,3900,WAS,MEM,2022-11-06
SF/PF,Derrick Jones,3900,CHI,TOR,2022-11-06
PF,Jake LaRavia,3900,MEM,WAS,2022-11-06
SG/SF,Luke Kennard,3900,LAC,UTA,2022-11-06
SF/PF,Nicolas Batum,3800,LAC,UTA,2022-11-06
SF,Ziaire Williams,3800,MEM,WAS,2022-11-06
PF,Xavier Tillman,3800,MEM,WAS,2022-11-06
PF,Thaddeus Young,3800,TOR,CHI,2022-11-06
SG,Ochai Agbaji,3700,UTA,LAC,2022-11-06
SF,Corey Kispert,3700,WAS,MEM,2022-11-06
SF/SG,Amir Coffey,3700,LAC,UTA,2022-11-06
C,Daniel Gafford,3700,WAS,MEM,2022-11-06
PG,Dalano Banton,3600,TOR,CHI,2022-11-06
C,Udoka Azubuike,3600,UTA,LAC,2022-11-06
SF/PF,Juancho Hernangomez,3600,TOR,CHI,2022-11-06
PG/SG,Malachi Flynn,3600,TOR,CHI,2022-11-06
C/PF,Khem Birch,3600,TOR,CHI,2022-11-06
SG,Dalen Terry,3600,CHI,TOR,2022-11-06
SG,Johnny Davis,3600,WAS,MEM,2022-11-06
C,Taj Gibson,3500,WAS,MEM,2022-11-06
PF,Micah Potter,3500,UTA,LAC,2022-11-06
SG/SF,Danny Green,3500,MEM,WAS,2022-11-06
SF,Jordan Schakel,3500,WAS,MEM,2022-11-06
PG,Jason Preston,3500,LAC,UTA,2022-11-06
SG,Brandon Boston,3500,LAC,UTA,2022-11-06
C,Marko Simonovic,3500,CHI,TOR,2022-11-06
SF,Leandro Bolmaro,3500,UTA,LAC,2022-11-06
SF,Justin Champagnie,3500,TOR,CHI,2022-11-06
SF,Johnny Juzang,3500,UTA,LAC,2022-11-06
SF,Ron Harper,3500,TOR,CHI,2022-11-06
PF,Kenneth Lofton,3500,MEM,WAS,2022-11-06
PF/C,Vernon Carey,3500,WAS,MEM,2022-11-06
PG,Lonzo Ball,3500,CHI,TOR,2022-11-06
PG,Jordan Goodwin,3500,WAS,MEM,2022-11-06
SF,Simone Fontecchio,3500,UTA,LAC,2022-11-06
PF/C,Tony Bradley,3500,CHI,TOR,2022-11-06
PF/C,Jaren Jackson,3500,MEM,WAS,2022-11-06
PG,Jeff Dowtin,3500,TOR,CHI,2022-11-06
SF,Malcolm Hill,3500,CHI,TOR,2022-11-06
PF,Isaiah Todd,3500,WAS,MEM,2022-11-06
PG,Kennedy Chandler,3500,MEM,WAS,2022-11-06
SG,Vince Williams,3500,MEM,WAS,2022-11-06
PF,Kostas Antetokounmpo,3500,CHI,TOR,2022-11-06
PF,Moussa Diabate,3500,LAC,UTA,2022-11-06
