pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12200,MIL,POR,2023-02-06
PG/SG,Luka Doncic,11800,DAL,UTA,2023-02-06
PF/SF,Jayson Tatum,10800,BOS,DET,2023-02-06
SG/PG,Shai Gilgeous-Alexander,10400,OKC,GS,2023-02-06
SF/PF,Kawhi Leonard,10200,LAC,BKN,2023-02-06
PG,Damian Lillard,10200,POR,MIL,2023-02-06
PG/SG,Kyrie Irving,10000,DAL,UTA,2023-02-06
PG,Stephen Curry,9800,GS,OKC,2023-02-06
SF/PF,Kevin Durant,9700,BKN,LAC,2023-02-06
C/PF,Domantas Sabonis,9500,SAC,HOU,2023-02-06
C/PF,Kristaps Porzingis,9400,WAS,CLE,2023-02-06
PG,De'Aaron Fox,8900,SAC,HOU,2023-02-06
SF/SG,Jaylen Brown,8600,BOS,DET,2023-02-06
PF/SF,Lauri Markkanen,8500,UTA,DAL,2023-02-06
C,Nic Claxton,8400,BKN,LAC,2023-02-06
SG/SF,DeMar DeRozan,8400,CHI,SA,2023-02-06
SG/SF,Paul George,8300,LAC,BKN,2023-02-06
C,Nikola Vucevic,8300,CHI,SA,2023-02-06
SG/PG,Darius Garland,8200,CLE,WAS,2023-02-06
SG/PG,Donovan Mitchell,8100,CLE,WAS,2023-02-06
SG/PG,Josh Giddey,8000,OKC,GS,2023-02-06
C,Alperen Sengun,8000,HOU,SAC,2023-02-06
PG/SG,Spencer Dinwiddie,7900,BKN,LAC,2023-02-06
PF/C,Christian Wood,7900,DAL,UTA,2023-02-06
PF/C,Evan Mobley,7800,CLE,WAS,2023-02-06
SG,Bradley Beal,7800,WAS,CLE,2023-02-06
SF/PF,Kyle Kuzma,7700,WAS,CLE,2023-02-06
SG/SF,Klay Thompson,7600,GS,OKC,2023-02-06
SG/SF,Zach LaVine,7600,CHI,SA,2023-02-06
PG,Kevin Porter,7500,HOU,SAC,2023-02-06
PG/SG,Jrue Holiday,7500,MIL,POR,2023-02-06
PG/SG,Jordan Poole,7400,GS,OKC,2023-02-06
PF/C,Draymond Green,7400,GS,OKC,2023-02-06
PF/SF,Keldon Johnson,7300,SA,CHI,2023-02-06
C/PF,Jarrett Allen,7200,CLE,WAS,2023-02-06
C,Jusuf Nurkic,7100,POR,MIL,2023-02-06
C,Walker Kessler,7000,UTA,DAL,2023-02-06
PG/PF,Ben Simmons,6900,BKN,LAC,2023-02-06
SG/PG,Jalen Green,6800,HOU,SAC,2023-02-06
SF,Saddiq Bey,6700,DET,BOS,2023-02-06
SF/PF,Bojan Bogdanovic,6600,DET,BOS,2023-02-06
C,Jakob Poeltl,6500,SA,CHI,2023-02-06
SF/PF,Deni Avdija,6500,WAS,CLE,2023-02-06
PG/SG,Jordan Clarkson,6500,UTA,DAL,2023-02-06
SG,Devin Vassell,6500,SA,CHI,2023-02-06
PF/C,Bobby Portis,6400,MIL,POR,2023-02-06
SG/PG,Anfernee Simons,6400,POR,MIL,2023-02-06
PF,Jerami Grant,6400,POR,MIL,2023-02-06
SG/PG,Marcus Smart,6300,BOS,DET,2023-02-06
PG,Mike Conley,6300,UTA,DAL,2023-02-06
SF/PF,Andrew Wiggins,6300,GS,OKC,2023-02-06
SF/SG,Khris Middleton,6200,MIL,POR,2023-02-06
C,Brook Lopez,6200,MIL,POR,2023-02-06
SG,Jaden Ivey,6100,DET,BOS,2023-02-06
SF/PF,Harrison Barnes,6000,SAC,HOU,2023-02-06
SG,Cam Thomas,6000,BKN,LAC,2023-02-06
C,Daniel Gafford,6000,WAS,CLE,2023-02-06
PG/SG,Malcolm Brogdon,6000,BOS,DET,2023-02-06
PG/SG,Derrick White,5900,BOS,DET,2023-02-06
PG,Killian Hayes,5900,DET,BOS,2023-02-06
SF,Tari Eason,5900,HOU,SAC,2023-02-06
SF/SG,Norman Powell,5900,LAC,BKN,2023-02-06
SF/PF,Dorian Finney-Smith,5900,BKN,LAC,2023-02-06
SG/SF,Kevin Huerter,5800,SAC,HOU,2023-02-06
PF/C,Robert Williams,5800,BOS,DET,2023-02-06
