pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12000,MIL,MIN,2022-11-04
PG/SG,Luka Doncic,11800,DAL,TOR,2022-11-04
PF/C,Anthony Davis,10600,LAL,UTA,2022-11-04
SF/PF,Kevin Durant,10400,BKN,WAS,2022-11-04
PF/SF,Jayson Tatum,10300,BOS,CHI,2022-11-04
PG,Stephen Curry,10200,GS,NO,2022-11-04
C/PF,Pascal Siakam,10000,TOR,DAL,2022-11-04
C,Joel Embiid,10000,PHI,NY,2022-11-04
PG,Ja Morant,9900,MEM,CHA,2022-11-04
SG/PG,James Harden,9700,PHI,NY,2022-11-04
SF/PF,LeBron James,9500,LAL,UTA,2022-11-04
SG/PG,Donovan Mitchell,9300,CLE,DET,2022-11-04
PG/SG,Kyrie Irving,9200,BKN,WAS,2022-11-04
PF/C,Karl-Anthony Towns,9000,MIN,MIL,2022-11-04
SG,Devin Booker,8900,PHO,POR,2022-11-04
SG/SF,Paul George,8800,LAC,SA,2022-11-04
PG,Damian Lillard,8800,POR,PHO,2022-11-04
C,Rudy Gobert,8700,MIN,MIL,2022-11-04
PG/SG,Tyrese Haliburton,8700,IND,MIA,2022-11-04
SF/PF,Jimmy Butler,8500,MIA,IND,2022-11-04
PG/SG,Cade Cunningham,8400,DET,CLE,2022-11-04
SG/SF,DeMar DeRozan,8400,CHI,BOS,2022-11-04
PG,LaMelo Ball,8300,CHA,MEM,2022-11-04
PG/SG,Jrue Holiday,8300,MIL,MIN,2022-11-04
SF/SG,Jaylen Brown,8300,BOS,CHI,2022-11-04
PF,Zion Williamson,8300,NO,GS,2022-11-04
C/PF,Bam Adebayo,8300,MIA,IND,2022-11-04
C,Nikola Vucevic,8200,CHI,BOS,2022-11-04
C/PF,Kristaps Porzingis,8200,WAS,BKN,2022-11-04
PG/SG,Tyrese Maxey,8200,PHI,NY,2022-11-04
SG,Bradley Beal,8100,WAS,BKN,2022-11-04
SG/SF,Desmond Bane,8100,MEM,CHA,2022-11-04
PG/SG,CJ McCollum,8000,NO,GS,2022-11-04
SG/SF,Anthony Edwards,8000,MIN,MIL,2022-11-04
SG/PG,Darius Garland,7900,CLE,DET,2022-11-04
SG/PG,Terry Rozier,7800,CHA,MEM,2022-11-04
SG/PG,Anfernee Simons,7800,POR,PHO,2022-11-04
