pos,name,salary,team,opp,date
SF/PF,LeBron James,10800,LAL,GS,2022-10-18
C,Joel Embiid,10700,PHI,BOS,2022-10-18
PF/C,Anthony Davis,10100,LAL,GS,2022-10-18
PG,Stephen Curry,10000,GS,LAL,2022-10-18
PF/SF,Jayson Tatum,9800,BOS,PHI,2022-10-18
SG/PG,James Harden,8900,PHI,BOS,2022-10-18
SF/SG,Jaylen Brown,8000,BOS,PHI,2022-10-18
PG,Russell Westbrook,7000,LAL,GS,2022-10-18
SG/SF,Klay Thompson,6800,GS,LAL,2022-10-18
SF/PF,Andrew Wiggins,6700,GS,LAL,2022-10-18
SF/PF,Tobias Harris,6600,PHI,BOS,2022-10-18
PG/SG,Tyrese Maxey,6500,PHI,BOS,2022-10-18
PF/C,Draymond Green,6300,GS,LAL,2022-10-18
PG/SG,Malcolm Brogdon,6200,BOS,PHI,2022-10-18
C/PF,Al Horford,6000,BOS,PHI,2022-10-18
PG/SG,Jordan Poole,6000,GS,LAL,2022-10-18
SG/PG,Marcus Smart,5900,BOS,PHI,2022-10-18
C,Thomas Bryant,5100,LAL,GS,2022-10-18
C,James Wiseman,5000,GS,LAL,2022-10-18
PG/SG,Patrick Beverley,4900,LAL,GS,2022-10-18
C/PF,Kevon Looney,4800,GS,LAL,2022-10-18
SG/PG,Dennis Schroder,4700,LAL,GS,2022-10-18
PF,Grant Williams,4600,BOS,PHI,2022-10-18
C,Damian Jones,4500,LAL,GS,2022-10-18
PG/SG,Derrick White,4400,BOS,PHI,2022-10-18
SG/PG,Kendrick Nunn,4300,LAL,GS,2022-10-18
C,Montrezl Harrell,4300,PHI,BOS,2022-10-18
PG/SG,De'Anthony Melton,4200,PHI,BOS,2022-10-18
SG/SF,Donte DiVincenzo,4100,GS,LAL,2022-10-18
PF,P.J. Tucker,4100,PHI,BOS,2022-10-18
SF,Jonathan Kuminga,4000,GS,LAL,2022-10-18
SG/SF,Lonnie Walker,4000,LAL,GS,2022-10-18
PF,Juan Toscano-Anderson,3900,LAL,GS,2022-10-18
SF/SG,Austin Reaves,3900,LAL,GS,2022-10-18
PF/C,JaMychal Green,3800,GS,LAL,2022-10-18
SF,Matisse Thybulle,3800,PHI,BOS,2022-10-18
PF,Georges Niang,3800,PHI,BOS,2022-10-18
C,Paul Reed,3700,PHI,BOS,2022-10-18
PF/C,Blake Griffin,3700,BOS,PHI,2022-10-18
SG/SF,Furkan Korkmaz,3600,PHI,BOS,2022-10-18
SG,Moses Moody,3600,GS,LAL,2022-10-18
SF,Danuel House,3600,PHI,BOS,2022-10-18
SF,Sam Hauser,3500,BOS,PHI,2022-10-18
SG,Lester Quinones,3500,GS,LAL,2022-10-18
SF,Dwayne Bacon,3500,LAL,GS,2022-10-18
PF,Shareef O'Neal,3500,LAL,GS,2022-10-18
SG,Quinndary Weatherspoon,3500,GS,LAL,2022-10-18
PG,Scotty Pippen,3500,LAL,GS,2022-10-18
C,Charles Bassey,3500,PHI,BOS,2022-10-18
PF,Michael Foster,3500,PHI,BOS,2022-10-18
SF,Mfiondu Kabengele,3500,BOS,PHI,2022-10-18
PG,Jaden Springer,3500,PHI,BOS,2022-10-18
SF,Justin Jackson,3500,BOS,PHI,2022-10-18
SF,Cole Swider,3500,LAL,GS,2022-10-18
SF/PF,Danilo Gallinari,3500,BOS,PHI,2022-10-18
PF,Noah Vonleh,3500,BOS,PHI,2022-10-18
PG/SG,Pat Spencer,3500,GS,LAL,2022-10-18
SF,Charlie Brown,3500,PHI,BOS,2022-10-18
PF,Luka Samanic,3500,BOS,PHI,2022-10-18
PG/SG,Payton Pritchard,3500,BOS,PHI,2022-10-18
SF,Anthony Lamb,3500,GS,LAL,2022-10-18
SF,Troy Brown,3500,LAL,GS,2022-10-18
SF,Andre Iguodala,3500,GS,LAL,2022-10-18
SF,Julian Champagnie,3500,PHI,BOS,2022-10-18
SG,Jerome Robinson,3500,GS,LAL,2022-10-18
SG,Brodric Thomas,3500,BOS,PHI,2022-10-18
SG,Javante McCoy,3500,LAL,GS,2022-10-18
PG,Shake Milton,3500,PHI,BOS,2022-10-18
PF,Wenyen Gabriel,3500,LAL,GS,2022-10-18
SF,Jake Layman,3500,BOS,PHI,2022-10-18
PF/C,Robert Williams,3500,BOS,PHI,2022-10-18
SG,Max Christie,3500,LAL,GS,2022-10-18
SG,Mason Jones,3500,LAL,GS,2022-10-18
SF,Matt Ryan,3500,LAL,GS,2022-10-18
PG,JD Davison,3500,BOS,PHI,2022-10-18
PG,Ty Jerome,3500,GS,LAL,2022-10-18
PF,Luke Kornet,3500,BOS,PHI,2022-10-18
C,Jay Huff,3500,LAL,GS,2022-10-18
SG,Ryan Rollins,3500,GS,LAL,2022-10-18
SF,Patrick Baldwin,3500,GS,LAL,2022-10-18
