pos,name,salary,team,opp,date
C,Nikola Jokic,12000,DEN,MEM,2023-03-03
PF/C,Anthony Davis,11500,LAL,MIN,2023-03-03
PF/SF,Jayson Tatum,11000,BOS,BKN,2023-03-03
PG,Damian Lillard,10800,POR,ATL,2023-03-03
SG/PG,Shai Gilgeous-Alexander,10500,OKC,UTA,2023-03-03
SF/PF,LeBron James,10200,LAL,MIN,2023-03-03
PG,Ja Morant,10100,MEM,DEN,2023-03-03
SF/PF,Kawhi Leonard,10000,LAC,SAC,2023-03-03
SF/PF,Kevin Durant,9900,PHO,CHI,2023-03-03
PG,Trae Young,9800,ATL,POR,2023-03-03
SG,Devin Booker,9700,PHO,CHI,2023-03-03
C/PF,Domantas Sabonis,9600,SAC,LAC,2023-03-03
PF,Julius Randle,9500,NY,MIA,2023-03-03
SG/SF,Anthony Edwards,9400,MIN,LAL,2023-03-03
PG,De'Aaron Fox,9400,SAC,LAC,2023-03-03
C,Deandre Ayton,9200,PHO,CHI,2023-03-03
PG,Stephen Curry,9200,GS,NO,2023-03-03
SG/SF,Paul George,9000,LAC,SAC,2023-03-03
C,Nikola Vucevic,8900,CHI,PHO,2023-03-03
SF/PF,Jimmy Butler,8900,MIA,NY,2023-03-03
C,Bam Adebayo,8800,MIA,NY,2023-03-03
PF/C,Karl-Anthony Towns,8700,MIN,LAL,2023-03-03
PF/SF,Lauri Markkanen,8600,UTA,OKC,2023-03-03
SF/SG,Jaylen Brown,8600,BOS,BKN,2023-03-03
SG/PG,Dejounte Murray,8500,ATL,POR,2023-03-03
SF,DeMar DeRozan,8500,CHI,PHO,2023-03-03
PG,Jamal Murray,8400,DEN,MEM,2023-03-03
PG,Jalen Brunson,8400,NY,MIA,2023-03-03
SF,Brandon Ingram,8300,NO,GS,2023-03-03
SG/SF,Desmond Bane,8200,MEM,DEN,2023-03-03
PG/SG,CJ McCollum,8100,NO,GS,2023-03-03
PF,Zion Williamson,8100,NO,GS,2023-03-03
SG,Klay Thompson,8000,GS,NO,2023-03-03
PF/C,Jaren Jackson,8000,MEM,DEN,2023-03-03
SG/PG,Josh Giddey,8000,OKC,UTA,2023-03-03
C,Walker Kessler,8000,UTA,OKC,2023-03-03
SG/SF,Zach LaVine,8000,CHI,PHO,2023-03-03
SG/SF,Mikal Bridges,7900,BKN,BOS,2023-03-03
SG/SF,Tyler Herro,7900,MIA,NY,2023-03-03
C,Rudy Gobert,7900,MIN,LAL,2023-03-03
PG,Russell Westbrook,7900,LAC,SAC,2023-03-03
SG/PG,Terry Rozier,7800,CHA,ORL,2023-03-03
PF/C,Draymond Green,7700,GS,NO,2023-03-03
PG,Spencer Dinwiddie,7600,BKN,BOS,2023-03-03
PG/SG,Jordan Poole,7600,GS,NO,2023-03-03
PF/SF,Paolo Banchero,7600,ORL,CHA,2023-03-03
PG,Chris Paul,7600,PHO,CHI,2023-03-03
