pos,name,salary,team,opp,date
C,Nikola Jokic,11200,DEN,POR,2022-10-24
PF/SF,Jayson Tatum,10500,BOS,CHI,2022-10-24
C,Joel Embiid,10300,PHI,IND,2022-10-24
PG,Ja Morant,10100,MEM,BKN,2022-10-24
SG/PG,James Harden,10000,PHI,IND,2022-10-24
SF/PF,Kevin Durant,10000,BKN,MEM,2022-10-24
SG/SF,DeMar DeRozan,9200,CHI,BOS,2022-10-24
C,Rudy Gobert,9100,MIN,SA,2022-10-24
C/PF,Pascal Siakam,9000,TOR,MIA,2022-10-24
PG,Damian Lillard,8800,POR,DEN,2022-10-24
PG/SG,Kyrie Irving,8700,BKN,MEM,2022-10-24
PF/C,Karl-Anthony Towns,8500,MIN,SA,2022-10-24
PG/SG,Tyrese Haliburton,8500,IND,PHI,2022-10-24
SF/PF,Jimmy Butler,8300,MIA,TOR,2022-10-24
C,Nikola Vucevic,8200,CHI,BOS,2022-10-24
SF/SG,Jaylen Brown,8200,BOS,CHI,2022-10-24
PF/C,Julius Randle,7900,NY,ORL,2022-10-24
C/PF,Bam Adebayo,7700,MIA,TOR,2022-10-24
PF/SF,Lauri Markkanen,7600,UTA,HOU,2022-10-24
PF/SF,Paolo Banchero,7500,ORL,NY,2022-10-24
SG/SF,Anthony Edwards,7400,MIN,SA,2022-10-24
PG,Fred VanVleet,7300,TOR,MIA,2022-10-24
PF/SF,Keldon Johnson,7300,SA,MIN,2022-10-24
PG/SG,D'Angelo Russell,7300,MIN,SA,2022-10-24
PG,Kevin Porter,7200,HOU,UTA,2022-10-24
SG/SF,Zach LaVine,7200,CHI,BOS,2022-10-24
C/PF,Wendell Carter,7100,ORL,NY,2022-10-24
PF/SF,Scottie Barnes,7000,TOR,MIA,2022-10-24
PG/SG,Jalen Brunson,7000,NY,ORL,2022-10-24
SF/PF,OG Anunoby,6800,TOR,MIA,2022-10-24
C,Jusuf Nurkic,6700,POR,DEN,2022-10-24
SG/SF,Desmond Bane,6600,MEM,BKN,2022-10-24
SG/SF,Tyler Herro,6500,MIA,TOR,2022-10-24
PF,Jerami Grant,6500,POR,DEN,2022-10-24
PG,Mike Conley,6500,UTA,HOU,2022-10-24
PG/SG,Tyrese Maxey,6500,PHI,IND,2022-10-24
