pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12500,MIL,LAL,2023-02-09
C,Nikola Jokic,11700,DEN,ORL,2023-02-09
PF/C,Anthony Davis,10900,LAL,MIL,2023-02-09
SF/PF,LeBron James,10500,LAL,MIL,2023-02-09
SF/PF,Kevin Durant,9700,PHO,ATL,2023-02-09
PG,Trae Young,9400,ATL,PHO,2023-02-09
C,Nikola Vucevic,9000,CHI,BKN,2023-02-09
SG/PG,Dejounte Murray,8800,ATL,PHO,2023-02-09
C,Deandre Ayton,8600,PHO,ATL,2023-02-09
SG,Devin Booker,8500,PHO,ATL,2023-02-09
SG/SF,DeMar DeRozan,8500,CHI,BKN,2023-02-09
C,Nic Claxton,8400,BKN,CHI,2023-02-09
PG/SG,Jamal Murray,8300,DEN,ORL,2023-02-09
PG,Chris Paul,8100,PHO,ATL,2023-02-09
PG/SG,Spencer Dinwiddie,7900,BKN,CHI,2023-02-09
PG/SG,Jrue Holiday,7800,MIL,LAL,2023-02-09
PF/SF,Paolo Banchero,7700,ORL,DEN,2023-02-09
SG/SF,Zach LaVine,7600,CHI,BKN,2023-02-09
PF/C,Aaron Gordon,7400,DEN,ORL,2023-02-09
SG/SF,Cam Thomas,7300,BKN,CHI,2023-02-09
SG/SF,Mikal Bridges,7200,BKN,CHI,2023-02-09
C,Clint Capela,6800,ATL,PHO,2023-02-09
PF/SF,Michael Porter,6800,DEN,ORL,2023-02-09
C,Brook Lopez,6600,MIL,LAL,2023-02-09
PG/SG,Markelle Fultz,6500,ORL,DEN,2023-02-09
C/PF,Wendell Carter,6500,ORL,DEN,2023-02-09
PF/C,Bobby Portis,6400,MIL,LAL,2023-02-09
PG/PF,Ben Simmons,6200,BKN,CHI,2023-02-09
SF/SG,Khris Middleton,6200,MIL,LAL,2023-02-09
SF/SG,Bogdan Bogdanovic,6100,ATL,PHO,2023-02-09
SF/SG,Franz Wagner,6000,ORL,DEN,2023-02-09
PG/SG,Cole Anthony,5800,ORL,DEN,2023-02-09
PF/C,John Collins,5800,ATL,PHO,2023-02-09
SF/SG,Bruce Brown,5700,DEN,ORL,2023-02-09
SF/PF,De'Andre Hunter,5600,ATL,PHO,2023-02-09
SG/PG,Dennis Schroder,5600,LAL,MIL,2023-02-09
SF/PF,Dorian Finney-Smith,5600,BKN,CHI,2023-02-09
SG/SF,Kentavious Caldwell-Pope,5300,DEN,ORL,2023-02-09
SF/PF,Rui Hachimura,5200,LAL,MIL,2023-02-09
PG/SG,Ayo Dosunmu,5200,CHI,BKN,2023-02-09
SF/PF,Patrick Williams,5100,CHI,BKN,2023-02-09
SF/PF,Royce O'Neale,5100,BKN,CHI,2023-02-09
SF/PF,Cameron Johnson,5100,BKN,CHI,2023-02-09
C,Onyeka Okongwu,5000,ATL,PHO,2023-02-09
PG/SG,Alex Caruso,4900,CHI,BKN,2023-02-09
PG/SG,Seth Curry,4900,BKN,CHI,2023-02-09
PG/SG,Jalen Suggs,4800,ORL,DEN,2023-02-09
PG/SG,Patrick Beverley,4800,ORL,DEN,2023-02-09
SG/SF,Grayson Allen,4800,MIL,LAL,2023-02-09
PG/SG,Edmond Sumner,4700,BKN,CHI,2023-02-09
PG/SG,Cameron Payne,4600,PHO,ATL,2023-02-09
PF,Moritz Wagner,4600,ORL,DEN,2023-02-09
C,Thomas Bryant,4600,DEN,ORL,2023-02-09
SF/PF,Torrey Craig,4500,PHO,ATL,2023-02-09
SF/PF,T.J. Warren,4400,BKN,CHI,2023-02-09
SF/SG,Pat Connaughton,4400,MIL,LAL,2023-02-09
SF/PF,Jonathan Isaac,4400,ORL,DEN,2023-02-09
C,Andre Drummond,4400,CHI,BKN,2023-02-09
SG/SF,Joe Harris,4400,BKN,CHI,2023-02-09
SG/SF,Lonnie Walker,4300,LAL,MIL,2023-02-09
SG,Christian Braun,4300,DEN,ORL,2023-02-09
SG/SF,Yuta Watanabe,4300,BKN,CHI,2023-02-09
SF,Vlatko Cancar,4200,DEN,ORL,2023-02-09
PG,Saben Lee,4200,PHO,ATL,2023-02-09
C,Bismack Biyombo,4200,PHO,ATL,2023-02-09
SG/SF,Gary Harris,4200,ORL,DEN,2023-02-09
C,Bol Bol,4200,ORL,DEN,2023-02-09
SG,Landry Shamet,4200,PHO,ATL,2023-02-09
PG/SG,Coby White,4200,CHI,BKN,2023-02-09
PF/C,Day'Ron Sharpe,4100,BKN,CHI,2023-02-09
PF/C,Zeke Nnaji,4000,DEN,ORL,2023-02-09
SF,Troy Brown,4000,LAL,MIL,2023-02-09
SG/SF,Javonte Green,3900,CHI,BKN,2023-02-09
C,Mo Bamba,3900,LAL,MIL,2023-02-09
SG,Damion Lee,3900,PHO,ATL,2023-02-09
PF,Wenyen Gabriel,3900,LAL,MIL,2023-02-09
PG/SG,Ish Smith,3900,DEN,ORL,2023-02-09
PG,Aaron Holiday,3900,ATL,PHO,2023-02-09
PF,Chuma Okeke,3800,ORL,DEN,2023-02-09
SG/SF,Joe Ingles,3800,MIL,LAL,2023-02-09
SG/PG,Patty Mills,3800,BKN,CHI,2023-02-09
PG/SG,Jevon Carter,3800,MIL,LAL,2023-02-09
SF,AJ Griffin,3800,ATL,PHO,2023-02-09
SF,Ish Wainright,3700,PHO,ATL,2023-02-09
