pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12000,DAL,DET,2023-01-30
C,Joel Embiid,11600,PHI,ORL,2023-01-30
SF/PF,LeBron James,10900,LAL,BKN,2023-01-30
PF/C,Anthony Davis,10700,LAL,BKN,2023-01-30
SG/PG,Shai Gilgeous-Alexander,10500,OKC,GS,2023-01-30
PG/SG,Kyrie Irving,10400,BKN,LAL,2023-01-30
PG,Damian Lillard,10200,POR,ATL,2023-01-30
SF/PF,Kevin Durant,10200,BKN,LAL,2023-01-30
SG/PG,James Harden,10000,PHI,ORL,2023-01-30
PG,Stephen Curry,9900,GS,OKC,2023-01-30
PG,Trae Young,9700,ATL,POR,2023-01-30
C/PF,Domantas Sabonis,9600,SAC,MIN,2023-01-30
C/PF,Pascal Siakam,9500,TOR,PHO,2023-01-30
SG/SF,Anthony Edwards,9300,MIN,SAC,2023-01-30
SG,Devin Booker,9000,PHO,TOR,2023-01-30
PF/C,Karl-Anthony Towns,9000,MIN,SAC,2023-01-30
C/PF,Kristaps Porzingis,8900,WAS,SA,2023-01-30
PG,Fred VanVleet,8800,TOR,PHO,2023-01-30
SF/PF,Kyle Kuzma,8500,WAS,SA,2023-01-30
PG,De'Aaron Fox,8500,SAC,MIN,2023-01-30
PG/SG,Spencer Dinwiddie,8400,DAL,DET,2023-01-30
C,Nic Claxton,8400,BKN,LAL,2023-01-30
SG/PG,Dejounte Murray,8300,ATL,POR,2023-01-30
PG,Chris Paul,8300,PHO,TOR,2023-01-30
PF/SF,Scottie Barnes,8100,TOR,PHO,2023-01-30
PF/C,Christian Wood,8000,DAL,DET,2023-01-30
SG,Bradley Beal,8000,WAS,SA,2023-01-30
C,Rudy Gobert,8000,MIN,SAC,2023-01-30
C,Deandre Ayton,7900,PHO,TOR,2023-01-30
SG/PG,Josh Giddey,7900,OKC,GS,2023-01-30
PG,Russell Westbrook,7800,LAL,BKN,2023-01-30
PG/SG,Jordan Poole,7600,GS,OKC,2023-01-30
C,Jusuf Nurkic,7500,POR,ATL,2023-01-30
SG/SF,Klay Thompson,7400,GS,OKC,2023-01-30
PF/SF,Paolo Banchero,7400,ORL,PHI,2023-01-30
C/PF,Wendell Carter,7300,ORL,PHI,2023-01-30
