pos,name,salary,team,opp,date
C,Nikola Jokic,12200,DEN,LAL,2022-12-16
PG/SG,Luka Doncic,12000,DAL,POR,2022-12-16
PF/C,Anthony Davis,11800,LAL,DEN,2022-12-16
C,Joel Embiid,11500,PHI,GS,2022-12-16
PF/SF,Jayson Tatum,10800,BOS,ORL,2022-12-16
SF/PF,LeBron James,10600,LAL,DEN,2022-12-16
SG/PG,James Harden,10300,PHI,GS,2022-12-16
SF/PF,Kevin Durant,10300,BKN,TOR,2022-12-16
SG/PG,Shai Gilgeous-Alexander,10200,OKC,MIN,2022-12-16
PG,Stephen Curry,10000,GS,PHI,2022-12-16
C/PF,Pascal Siakam,9800,TOR,BKN,2022-12-16
PG,Trae Young,9800,ATL,CHA,2022-12-16
PG,Damian Lillard,9700,POR,DAL,2022-12-16
PG/SG,Tyrese Haliburton,9400,IND,CLE,2022-12-16
SG/PG,Donovan Mitchell,9100,CLE,IND,2022-12-16
SG/PG,Dejounte Murray,9000,ATL,CHA,2022-12-16
SF/SG,Jaylen Brown,9000,BOS,ORL,2022-12-16
C/PF,Domantas Sabonis,8900,SAC,DET,2022-12-16
SG/SF,Anthony Edwards,8800,MIN,OKC,2022-12-16
PF/C,Karl-Anthony Towns,8700,MIN,OKC,2022-12-16
PG/SG,Kyrie Irving,8700,BKN,TOR,2022-12-16
PG,Fred VanVleet,8700,TOR,BKN,2022-12-16
PG,De'Aaron Fox,8400,SAC,DET,2022-12-16
SG/SF,DeMar DeRozan,8400,CHI,NY,2022-12-16
PF/C,Julius Randle,8300,NY,CHI,2022-12-16
PF/SF,Scottie Barnes,8200,TOR,BKN,2022-12-16
PF/SF,Paolo Banchero,8100,ORL,BOS,2022-12-16
PG,LaMelo Ball,8000,CHA,ATL,2022-12-16
C,Rudy Gobert,8000,MIN,OKC,2022-12-16
SF/SG,Kelly Oubre,8000,CHA,ATL,2022-12-16
C,Nikola Vucevic,7900,CHI,NY,2022-12-16
SG/PG,Terry Rozier,7900,CHA,ATL,2022-12-16
PG/SG,Tyrese Maxey,7800,PHI,GS,2022-12-16
SF/PF,Tobias Harris,7700,PHI,GS,2022-12-16
PG/SG,Jordan Poole,7700,GS,PHI,2022-12-16
SG/PG,Darius Garland,7700,CLE,IND,2022-12-16
C/PF,Myles Turner,7700,IND,CLE,2022-12-16
PG/SG,Jalen Brunson,7600,NY,CHI,2022-12-16
PG,Russell Westbrook,7600,LAL,DEN,2022-12-16
PF/C,Evan Mobley,7500,CLE,IND,2022-12-16
SF/SG,OG Anunoby,7500,TOR,BKN,2022-12-16
SG/PG,Josh Giddey,7400,OKC,MIN,2022-12-16
SG/PG,Anfernee Simons,7400,POR,DAL,2022-12-16
SG/SF,Klay Thompson,7300,GS,PHI,2022-12-16
C,Jusuf Nurkic,7300,POR,DAL,2022-12-16
SG/SF,Zach LaVine,7300,CHI,NY,2022-12-16
PG/SG,D'Angelo Russell,7300,MIN,OKC,2022-12-16
PG/SG,Jamal Murray,7200,DEN,LAL,2022-12-16
PG/PF,Ben Simmons,7200,BKN,TOR,2022-12-16
SF/SG,RJ Barrett,7200,NY,CHI,2022-12-16
SF/SG,Franz Wagner,7100,ORL,BOS,2022-12-16
C/PF,Jarrett Allen,7000,CLE,IND,2022-12-16
PG/SG,Spencer Dinwiddie,6900,DAL,POR,2022-12-16
PF,Jerami Grant,6900,POR,DAL,2022-12-16
SF/SG,Gordon Hayward,6700,CHA,ATL,2022-12-16
PG,Killian Hayes,6700,DET,SAC,2022-12-16
C/PF,Wendell Carter,6700,ORL,BOS,2022-12-16
SF/PF,Andrew Wiggins,6600,GS,PHI,2022-12-16
PF/C,Aaron Gordon,6500,DEN,LAL,2022-12-16
PF/C,Christian Wood,6500,DAL,POR,2022-12-16
PG/SG,Markelle Fultz,6500,ORL,BOS,2022-12-16
SG/PG,Marcus Smart,6400,BOS,ORL,2022-12-16
C,Mason Plumlee,6400,CHA,ATL,2022-12-16
C,Bol Bol,6400,ORL,BOS,2022-12-16
PF/C,John Collins,6300,ATL,CHA,2022-12-16
PG/SG,De'Anthony Melton,6300,PHI,GS,2022-12-16
C,Nic Claxton,6300,BKN,TOR,2022-12-16
SG/SF,Gary Trent,6200,TOR,BKN,2022-12-16
SG/SF,Kevin Huerter,6200,SAC,DET,2022-12-16
C,Clint Capela,6200,ATL,CHA,2022-12-16
SG/SF,Buddy Hield,6100,IND,CLE,2022-12-16
SF/PF,Bojan Bogdanovic,6100,DET,SAC,2022-12-16
PF/SF,Michael Porter,6000,DEN,LAL,2022-12-16
SG,Jaden Ivey,6000,DET,SAC,2022-12-16
SF/SG,Bogdan Bogdanovic,6000,ATL,CHA,2022-12-16
C/PF,Isaiah Stewart,6000,DET,SAC,2022-12-16
PF/SF,Jalen McDaniels,5900,CHA,ATL,2022-12-16
PF/C,P.J. Washington,5900,CHA,ATL,2022-12-16
PF/C,Draymond Green,5900,GS,PHI,2022-12-16
C,Mitchell Robinson,5800,NY,CHI,2022-12-16
C,Jalen Duren,5800,DET,SAC,2022-12-16
SG/SF,Josh Hart,5700,POR,DAL,2022-12-16
PG,Bones Hyland,5700,DEN,LAL,2022-12-16
PG/SG,Jalen Suggs,5700,ORL,BOS,2022-12-16
PG,Dennis Smith,5700,CHA,ATL,2022-12-16
SF/PF,Harrison Barnes,5600,SAC,DET,2022-12-16
PG/SG,Alec Burks,5600,DET,SAC,2022-12-16
SF/PF,Royce O'Neale,5600,BKN,TOR,2022-12-16
PG/SG,Cole Anthony,5600,ORL,BOS,2022-12-16
PG/SG,Malcolm Brogdon,5600,BOS,ORL,2022-12-16
SF/PF,Kyle Anderson,5500,MIN,OKC,2022-12-16
PF,Moritz Wagner,5500,ORL,BOS,2022-12-16
SF/SG,Austin Reaves,5500,LAL,DEN,2022-12-16
SG,Bruce Brown,5400,DEN,LAL,2022-12-16
SF/PF,De'Andre Hunter,5400,ATL,CHA,2022-12-16
PF/C,Aleksej Pokusevski,5300,OKC,MIN,2022-12-16
SF/SG,Luguentz Dort,5300,OKC,MIN,2022-12-16
SG/SF,Donte DiVincenzo,5300,GS,PHI,2022-12-16
SG,Bennedict Mathurin,5300,IND,CLE,2022-12-16
PG,Jaylen Nowell,5300,MIN,OKC,2022-12-16
C/PF,Al Horford,5300,BOS,ORL,2022-12-16
SF/PF,Keegan Murray,5300,SAC,DET,2022-12-16
SF,Saddiq Bey,5300,DET,SAC,2022-12-16
SG/SF,Tim Hardaway,5300,DAL,POR,2022-12-16
C,Mo Bamba,5200,ORL,BOS,2022-12-16
PF/C,Marvin Bagley,5200,DET,SAC,2022-12-16
SG/SF,Lonnie Walker,5200,LAL,DEN,2022-12-16
SG,Andrew Nembhard,5200,IND,CLE,2022-12-16
SF,Justise Winslow,5200,POR,DAL,2022-12-16
SG,Jalen Williams,5200,OKC,MIN,2022-12-16
C,Onyeka Okongwu,5200,ATL,CHA,2022-12-16
PF/C,Jalen Smith,5200,IND,CLE,2022-12-16
SF,Jalen Johnson,5100,ATL,CHA,2022-12-16
C/PF,Kevon Looney,5100,GS,PHI,2022-12-16
SG/SF,Caris LeVert,5100,CLE,IND,2022-12-16
PG,Shake Milton,5000,PHI,GS,2022-12-16
SG,Malik Monk,5000,SAC,DET,2022-12-16
SG,Aaron Nesmith,5000,IND,CLE,2022-12-16
PF,Thaddeus Young,5000,TOR,BKN,2022-12-16
SG/PG,Immanuel Quickley,5000,NY,CHI,2022-12-16
PG/SG,Derrick White,4900,BOS,ORL,2022-12-16
C/PF,Chris Boucher,4900,TOR,BKN,2022-12-16
SG/SF,Quentin Grimes,4900,NY,CHI,2022-12-16
SF,Jonathan Kuminga,4900,GS,PHI,2022-12-16
PF/SF,Darius Bazley,4800,OKC,MIN,2022-12-16
PF/C,Robert Williams,4800,BOS,ORL,2022-12-16
SF,AJ Griffin,4800,ATL,CHA,2022-12-16
PF,Grant Williams,4800,BOS,ORL,2022-12-16
SG/PG,Dennis Schroder,4800,LAL,DEN,2022-12-16
PF/SF,Dean Wade,4800,CLE,IND,2022-12-16
C,Thomas Bryant,4700,LAL,DEN,2022-12-16
SG,Trent Forrest,4700,ATL,CHA,2022-12-16
SG/SF,Kentavious Caldwell-Pope,4600,DEN,LAL,2022-12-16
SF/PF,Jaden McDaniels,4600,MIN,OKC,2022-12-16
PG/SG,Alex Caruso,4600,CHI,NY,2022-12-16
SG,Josh Green,4600,DAL,POR,2022-12-16
PF/C,Isaiah Hartenstein,4600,NY,CHI,2022-12-16
SF/PF,Juancho Hernangomez,4500,TOR,BKN,2022-12-16
PF/C,Maxi Kleber,4500,DAL,POR,2022-12-16
PG,Aaron Holiday,4500,ATL,CHA,2022-12-16
C,Naz Reid,4500,MIN,OKC,2022-12-16
SF/PF,Patrick Williams,4500,CHI,NY,2022-12-16
PF/C,Precious Achiuwa,4500,TOR,BKN,2022-12-16
PF,Lamar Stevens,4500,CLE,IND,2022-12-16
