pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12000,MIL,BOS,2023-02-14
PF/SF,Jayson Tatum,10800,BOS,MIL,2023-02-14
PG,Damian Lillard,10400,POR,WAS,2023-02-14
C/PF,Pascal Siakam,9800,TOR,ORL,2023-02-14
SF/PF,Kevin Durant,9700,PHO,SAC,2023-02-14
PG,Stephen Curry,9600,GS,LAC,2023-02-14
SF/PF,Kawhi Leonard,9600,LAC,GS,2023-02-14
C/PF,Domantas Sabonis,9500,SAC,PHO,2023-02-14
PG,De'Aaron Fox,9300,SAC,PHO,2023-02-14
C/PF,Kristaps Porzingis,9100,WAS,POR,2023-02-14
SG,Devin Booker,9000,PHO,SAC,2023-02-14
PG,Fred VanVleet,8800,TOR,ORL,2023-02-14
C,Deandre Ayton,8600,PHO,SAC,2023-02-14
SG,Bradley Beal,8600,WAS,POR,2023-02-14
SF/SG,Jaylen Brown,8500,BOS,MIL,2023-02-14
PG/SG,Jordan Poole,8400,GS,LAC,2023-02-14
SG/SF,Paul George,8300,LAC,GS,2023-02-14
PG,Chris Paul,8200,PHO,SAC,2023-02-14
SG/SF,Klay Thompson,8000,GS,LAC,2023-02-14
SF/PF,Kyle Kuzma,7700,WAS,POR,2023-02-14
PG/SG,Jrue Holiday,7500,MIL,BOS,2023-02-14
PF/SF,Paolo Banchero,7400,ORL,TOR,2023-02-14
PF/SF,Scottie Barnes,7300,TOR,ORL,2023-02-14
PG/SG,Derrick White,7200,BOS,MIL,2023-02-14
C,Jusuf Nurkic,7100,POR,WAS,2023-02-14
SF/PF,Andrew Wiggins,7100,GS,LAC,2023-02-14
PF/C,Draymond Green,7000,GS,LAC,2023-02-14
C,Brook Lopez,6900,MIL,BOS,2023-02-14
C,Jakob Poeltl,6700,TOR,ORL,2023-02-14
SF/SG,Norman Powell,6600,LAC,GS,2023-02-14
SG/SF,Gary Trent,6500,TOR,ORL,2023-02-14
SF/SG,OG Anunoby,6500,TOR,ORL,2023-02-14
PG/SG,Markelle Fultz,6400,ORL,TOR,2023-02-14
PF/C,Bobby Portis,6400,MIL,BOS,2023-02-14
SG/PG,Marcus Smart,6300,BOS,MIL,2023-02-14
C/PF,Wendell Carter,6300,ORL,TOR,2023-02-14
PF/C,Robert Williams,6200,BOS,MIL,2023-02-14
SG/PG,Anfernee Simons,6200,POR,WAS,2023-02-14
SF/PF,Deni Avdija,6100,WAS,POR,2023-02-14
PF/SF,Jerami Grant,6000,POR,WAS,2023-02-14
SF/SG,Khris Middleton,6000,MIL,BOS,2023-02-14
C,Daniel Gafford,6000,WAS,POR,2023-02-14
C,Ivica Zubac,5900,LAC,GS,2023-02-14
PG/SG,Cole Anthony,5900,ORL,TOR,2023-02-14
SG/SF,Kevin Huerter,5900,SAC,PHO,2023-02-14
C,Mason Plumlee,5800,LAC,GS,2023-02-14
SF/SG,Eric Gordon,5700,LAC,GS,2023-02-14
SF/SG,Franz Wagner,5700,ORL,TOR,2023-02-14
PF/C,Precious Achiuwa,5700,TOR,ORL,2023-02-14
SG,Malik Monk,5600,SAC,PHO,2023-02-14
PG/SG,Malcolm Brogdon,5600,BOS,MIL,2023-02-14
SF/PF,Torrey Craig,5500,PHO,SAC,2023-02-14
C/PF,Chris Boucher,5500,TOR,ORL,2023-02-14
SG/SF,Donte DiVincenzo,5400,GS,LAC,2023-02-14
SF/PF,Harrison Barnes,5300,SAC,PHO,2023-02-14
C/PF,Al Horford,5300,BOS,MIL,2023-02-14
SF/PF,Keegan Murray,5200,SAC,PHO,2023-02-14
C/PF,Kevon Looney,5200,GS,LAC,2023-02-14
PG,Monte Morris,5100,WAS,POR,2023-02-14
SF/SG,Josh Okogie,5100,PHO,SAC,2023-02-14
PG/SG,Terance Mann,5100,LAC,GS,2023-02-14
SG/SF,Terence Davis,5000,SAC,PHO,2023-02-14
PF,Grant Williams,5000,BOS,MIL,2023-02-14
PG/SG,Delon Wright,4900,WAS,POR,2023-02-14
SF,Sam Hauser,4800,BOS,MIL,2023-02-14
PG/SG,Jalen Suggs,4800,ORL,TOR,2023-02-14
SF/SG,Pat Connaughton,4700,MIL,BOS,2023-02-14
SF,Justise Winslow,4700,POR,WAS,2023-02-14
PF,Moritz Wagner,4700,ORL,TOR,2023-02-14
SG,Brandon Boston,4600,LAC,GS,2023-02-14
PF/SF,Marcus Morris,4600,LAC,GS,2023-02-14
PG/SG,Cameron Payne,4600,PHO,SAC,2023-02-14
C/PF,Drew Eubanks,4600,POR,WAS,2023-02-14
SG,Shaedon Sharpe,4500,POR,WAS,2023-02-14
SF/PF,T.J. Warren,4400,PHO,SAC,2023-02-14
PG,Ty Jerome,4400,GS,LAC,2023-02-14
PF/SF,Robert Covington,4300,LAC,GS,2023-02-14
SF,Ish Wainright,4300,PHO,SAC,2023-02-14
SG/SF,Grayson Allen,4300,MIL,BOS,2023-02-14
PF/C,JaMychal Green,4200,GS,LAC,2023-02-14
PF,Trey Lyles,4200,SAC,PHO,2023-02-14
SF/PF,Jonathan Isaac,4200,ORL,TOR,2023-02-14
SG/PG,Kendrick Nunn,4200,WAS,POR,2023-02-14
SG/SF,Gary Harris,4200,ORL,TOR,2023-02-14
C,Mike Muscala,4200,BOS,MIL,2023-02-14
C,Bol Bol,4200,ORL,TOR,2023-02-14
SG,Landry Shamet,4200,PHO,SAC,2023-02-14
