pos,name,salary,team,opp,date
C/PF,Nikola Jokic,11300,DEN,GS,2022-10-21
PG,Stephen Curry,10700,GS,DEN,2022-10-21
PF/SF,Jayson Tatum,10400,BOS,MIA,2022-10-21
SF/PF,Kevin Durant,10000,BKN,TOR,2022-10-21
SG/SF,DeMar DeRozan,9600,CHI,WAS,2022-10-21
PG/SG,Dejounte Murray,9500,ATL,ORL,2022-10-21
PG,Ja Morant,9400,MEM,HOU,2022-10-21
PF/C,Karl-Anthony Towns,9000,MIN,UTA,2022-10-21
PF,Zion Williamson,8800,NO,CHA,2022-10-21
PG,Trae Young,8700,ATL,ORL,2022-10-21
PG/SG,Kyrie Irving,8600,BKN,TOR,2022-10-21
C,Rudy Gobert,8600,MIN,UTA,2022-10-21
C/PF,Pascal Siakam,8500,TOR,BKN,2022-10-21
SF/PF,Jimmy Butler,8400,MIA,BOS,2022-10-21
SG,Devin Booker,8300,PHO,POR,2022-10-21
SG,Bradley Beal,8200,WAS,CHI,2022-10-21
C,Nikola Vucevic,8100,CHI,WAS,2022-10-21
SF/SG,Jaylen Brown,8100,BOS,MIA,2022-10-21
PF/C,Julius Randle,8000,NY,DET,2022-10-21
PG,Damian Lillard,8000,POR,PHO,2022-10-21
PG,LaMelo Ball,7900,CHA,NO,2022-10-21
PG/SG,Cade Cunningham,7900,DET,NY,2022-10-21
C/PF,Kristaps Porzingis,7900,WAS,CHI,2022-10-21
C/PF,Bam Adebayo,7900,MIA,BOS,2022-10-21
PG/SG,Tyrese Haliburton,7900,IND,SA,2022-10-21
SF/SG,Brandon Ingram,7800,NO,CHA,2022-10-21
SG/PG,Terry Rozier,7700,CHA,NO,2022-10-21
PG,Fred VanVleet,7700,TOR,BKN,2022-10-21
PG/SG,CJ McCollum,7600,NO,CHA,2022-10-21
SG/SF,Anthony Edwards,7500,MIN,UTA,2022-10-21
PG,Chris Paul,7400,PHO,POR,2022-10-21
SF/PF,Kyle Kuzma,7300,WAS,CHI,2022-10-21
SG/SF,Zach LaVine,7300,CHI,WAS,2022-10-21
PF/SF,Keldon Johnson,7200,SA,IND,2022-10-21
PF/C,Wendell Carter,7100,ORL,ATL,2022-10-21
PG/SG,Jalen Brunson,7100,NY,DET,2022-10-21
C,Deandre Ayton,7000,PHO,POR,2022-10-21
C,Jonas Valanciunas,6900,NO,CHA,2022-10-21
SG/SF,Klay Thompson,6800,GS,DEN,2022-10-21
PF/SF,Paolo Banchero,6800,ORL,ATL,2022-10-21
PG,Kevin Porter,6800,HOU,MEM,2022-10-21
C,Jakob Poeltl,6700,SA,IND,2022-10-21
PF,Jerami Grant,6700,POR,PHO,2022-10-21
SF/PF,Andrew Wiggins,6700,GS,DEN,2022-10-21
PF/SF,Scottie Barnes,6600,TOR,BKN,2022-10-21
PG/PF,Ben Simmons,6500,BKN,TOR,2022-10-21
SF/SG,RJ Barrett,6500,NY,DET,2022-10-21
PG/SG,D'Angelo Russell,6500,MIN,UTA,2022-10-21
SG/PG,Jalen Green,6400,HOU,MEM,2022-10-21
SF/PF,OG Anunoby,6400,TOR,BKN,2022-10-21
SG/SF,Desmond Bane,6300,MEM,HOU,2022-10-21
SG/SF,Tyler Herro,6200,MIA,BOS,2022-10-21
C,Jusuf Nurkic,6200,POR,PHO,2022-10-21
PF/SF,Lauri Markkanen,6200,UTA,MIN,2022-10-21
SF/SG,Gordon Hayward,6100,CHA,NO,2022-10-21
PF/C,John Collins,6100,ATL,ORL,2022-10-21
C/PF,Myles Turner,6100,IND,SA,2022-10-21
PG/SG,Jamal Murray,6000,DEN,GS,2022-10-21
C/PF,Al Horford,6000,BOS,MIA,2022-10-21
