pos,name,salary,team,opp,date
C,Joel Embiid,12000,PHI,BOS,2023-02-25
C,Nikola Jokic,11800,DEN,MEM,2023-02-25
PF/SF,Jayson Tatum,11000,BOS,PHI,2023-02-25
PG,LaMelo Ball,10500,CHA,MIA,2023-02-25
SG/PG,James Harden,10000,PHI,BOS,2023-02-25
PG,Ja Morant,9900,MEM,DEN,2023-02-25
SF/PF,Jimmy Butler,9600,MIA,CHA,2023-02-25
PF,Julius Randle,9300,NY,NO,2023-02-25
C,Bam Adebayo,9100,MIA,CHA,2023-02-25
PG/SG,Tyrese Haliburton,8800,IND,ORL,2023-02-25
SF/SG,Jaylen Brown,8700,BOS,PHI,2023-02-25
PF/SF,Lauri Markkanen,8600,UTA,SA,2023-02-25
PF/C,Jaren Jackson,8500,MEM,DEN,2023-02-25
PG,Jalen Brunson,8400,NY,NO,2023-02-25
PG,Jamal Murray,8300,DEN,MEM,2023-02-25
PF,Zion Williamson,8100,NO,NY,2023-02-25
C,Myles Turner,8000,IND,ORL,2023-02-25
SG/SF,Desmond Bane,7900,MEM,DEN,2023-02-25
SF,Brandon Ingram,7800,NO,NY,2023-02-25
PF,Aaron Gordon,7700,DEN,MEM,2023-02-25
SG/PG,Terry Rozier,7700,CHA,MIA,2023-02-25
PG/SG,CJ McCollum,7600,NO,NY,2023-02-25
SG/SF,Tyler Herro,7600,MIA,CHA,2023-02-25
C,Walker Kessler,7400,UTA,SA,2023-02-25
PF/SF,Paolo Banchero,7300,ORL,IND,2023-02-25
PF/SF,Keldon Johnson,7200,SA,UTA,2023-02-25
PF/C,P.J. Washington,7100,CHA,MIA,2023-02-25
PF/SF,Michael Porter,7000,DEN,MEM,2023-02-25
PG/SG,Jordan Clarkson,6900,UTA,SA,2023-02-25
PG,Markelle Fultz,6900,ORL,IND,2023-02-25
C,Steven Adams,6800,MEM,DEN,2023-02-25
PF/C,Zach Collins,6800,SA,UTA,2023-02-25
C/PF,Wendell Carter,6700,ORL,IND,2023-02-25
SG,Devin Vassell,6700,SA,UTA,2023-02-25
PG/SG,Derrick White,6600,BOS,PHI,2023-02-25
SF/SG,Kelly Oubre,6400,CHA,MIA,2023-02-25
PG/SG,Tyrese Maxey,6400,PHI,BOS,2023-02-25
SG/SF,Buddy Hield,6300,IND,ORL,2023-02-25
PG,Marcus Smart,6300,BOS,PHI,2023-02-25
C,Kelly Olynyk,6200,UTA,SA,2023-02-25
C,Mitchell Robinson,6200,NY,NO,2023-02-25
C,Jonas Valanciunas,6100,NO,NY,2023-02-25
PG/SG,Malcolm Brogdon,6100,BOS,PHI,2023-02-25
SF/SG,Franz Wagner,6000,ORL,IND,2023-02-25
PF,Tobias Harris,6000,PHI,BOS,2023-02-25
C,Robert Williams,6000,BOS,PHI,2023-02-25
SF/SG,RJ Barrett,6000,NY,NO,2023-02-25
SG/SF,Talen Horton-Tucker,5900,UTA,SA,2023-02-25
SF/SG,Josh Richardson,5900,NO,NY,2023-02-25
PG,Tre Jones,5900,SA,UTA,2023-02-25
SG/SF,Josh Hart,5800,NY,NO,2023-02-25
C,Mark Williams,5800,CHA,MIA,2023-02-25
SG,Kentavious Caldwell-Pope,5800,DEN,MEM,2023-02-25
SG/PG,Immanuel Quickley,5800,NY,NO,2023-02-25
SG,Collin Sexton,5700,UTA,SA,2023-02-25
SF,Malaki Branham,5700,SA,UTA,2023-02-25
C/PF,Al Horford,5700,BOS,PHI,2023-02-25
PG/SG,Cole Anthony,5700,ORL,IND,2023-02-25
SF/SG,Gordon Hayward,5600,CHA,MIA,2023-02-25
SG/SF,Bennedict Mathurin,5600,IND,ORL,2023-02-25
SG,Victor Oladipo,5500,MIA,CHA,2023-02-25
SF/PF,Caleb Martin,5400,MIA,CHA,2023-02-25
SF,Trey Murphy,5400,NO,NY,2023-02-25
SF/PF,Jeremy Sochan,5400,SA,UTA,2023-02-25
PG/SG,Gabe Vincent,5300,MIA,CHA,2023-02-25
SG/SF,Herbert Jones,5300,NO,NY,2023-02-25
PF,Keita Bates-Diop,5300,SA,UTA,2023-02-25
SF/SG,Bruce Brown,5300,DEN,MEM,2023-02-25
PF/C,Brandon Clarke,5300,MEM,DEN,2023-02-25
PF/C,Larry Nance,5200,NO,NY,2023-02-25
PG,Tyus Jones,5200,MEM,DEN,2023-02-25
SF/PF,Aaron Nesmith,5200,IND,ORL,2023-02-25
