pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,11400,MIL,DET,2023-01-23
PF/SF,Jayson Tatum,11100,BOS,ORL,2023-01-23
PG,Damian Lillard,10200,POR,SA,2023-01-23
C/PF,Domantas Sabonis,10100,SAC,MEM,2023-01-23
PG,Ja Morant,9900,MEM,SAC,2023-01-23
PG,Trae Young,9700,ATL,CHI,2023-01-23
PG,LaMelo Ball,9500,CHA,UTA,2023-01-23
SG/SF,Zach LaVine,9100,CHI,ATL,2023-01-23
PF/C,Karl-Anthony Towns,9000,MIN,HOU,2023-01-23
SG/SF,Anthony Edwards,8900,MIN,HOU,2023-01-23
PG/SG,Jrue Holiday,8800,MIL,DET,2023-01-23
C,Nikola Vucevic,8700,CHI,ATL,2023-01-23
PF/SF,Lauri Markkanen,8600,UTA,CHA,2023-01-23
SG/PG,Dejounte Murray,8500,ATL,CHI,2023-01-23
C,Alperen Sengun,8400,HOU,MIN,2023-01-23
SF/SG,Jaylen Brown,8400,BOS,ORL,2023-01-23
PG,De'Aaron Fox,8300,SAC,MEM,2023-01-23
PF/C,Jaren Jackson,8200,MEM,SAC,2023-01-23
SG/PG,Terry Rozier,8100,CHA,UTA,2023-01-23
SG/SF,DeMar DeRozan,8000,CHI,ATL,2023-01-23
C,Walker Kessler,7900,UTA,CHA,2023-01-23
PG,Kevin Porter,7800,HOU,MIN,2023-01-23
SG/SF,Desmond Bane,7800,MEM,SAC,2023-01-23
PF/SF,Paolo Banchero,7700,ORL,BOS,2023-01-23
SG/PG,Jalen Green,7600,HOU,MIN,2023-01-23
C,Mason Plumlee,7500,CHA,UTA,2023-01-23
PG/SG,Markelle Fultz,7400,ORL,BOS,2023-01-23
PG/SG,Jordan Clarkson,7300,UTA,CHA,2023-01-23
SF/PF,Kyle Anderson,7300,MIN,HOU,2023-01-23
C,Jusuf Nurkic,7200,POR,SA,2023-01-23
PF/SF,Keldon Johnson,7100,SA,POR,2023-01-23
C,Jakob Poeltl,7000,SA,POR,2023-01-23
C,Rudy Gobert,7000,MIN,HOU,2023-01-23
C,Steven Adams,6900,MEM,SAC,2023-01-23
SF/SG,Franz Wagner,6900,ORL,BOS,2023-01-23
SF/SG,Khris Middleton,6900,MIL,DET,2023-01-23
PF/C,Bobby Portis,6800,MIL,DET,2023-01-23
PG,Killian Hayes,6700,DET,MIL,2023-01-23
SF/PF,Bojan Bogdanovic,6700,DET,MIL,2023-01-23
C/PF,Wendell Carter,6600,ORL,BOS,2023-01-23
PF,Jerami Grant,6600,POR,SA,2023-01-23
SF/SG,Kelly Oubre,6600,CHA,UTA,2023-01-23
PF/C,P.J. Washington,6500,CHA,UTA,2023-01-23
PG,Tre Jones,6500,SA,POR,2023-01-23
SG,Devin Vassell,6500,SA,POR,2023-01-23
PG/SG,D'Angelo Russell,6500,MIN,HOU,2023-01-23
SF,Saddiq Bey,6400,DET,MIL,2023-01-23
SF/PF,Harrison Barnes,6300,SAC,MEM,2023-01-23
SG/PG,Marcus Smart,6300,BOS,ORL,2023-01-23
C,Clint Capela,6200,ATL,CHI,2023-01-23
C,Brook Lopez,6200,MIL,DET,2023-01-23
PG,Tyus Jones,6100,MEM,SAC,2023-01-23
SG/SF,Kevin Huerter,6100,SAC,MEM,2023-01-23
SG/PG,Anfernee Simons,6100,POR,SA,2023-01-23
SG,Jaden Ivey,6100,DET,MIL,2023-01-23
PF/C,John Collins,6000,ATL,CHI,2023-01-23
PG/SG,Malcolm Brogdon,6000,BOS,ORL,2023-01-23
PF/C,Robert Williams,5900,BOS,ORL,2023-01-23
PF/SF,Jalen McDaniels,5900,CHA,UTA,2023-01-23
SF/SG,Bogdan Bogdanovic,5900,ATL,CHI,2023-01-23
SG/SF,Josh Hart,5800,POR,SA,2023-01-23
PF,Jabari Smith,5800,HOU,MIN,2023-01-23
SF/SG,Josh Richardson,5800,SA,POR,2023-01-23
C,Naz Reid,5800,MIN,HOU,2023-01-23
C/PF,Isaiah Stewart,5800,DET,MIL,2023-01-23
PF,Jarred Vanderbilt,5700,UTA,CHA,2023-01-23
C,Jalen Duren,5700,DET,MIL,2023-01-23
PG,Mike Conley,5700,UTA,CHA,2023-01-23
SF/PF,Jaden McDaniels,5700,MIN,HOU,2023-01-23
PG/SG,Alex Caruso,5700,CHI,ATL,2023-01-23
PF,Grant Williams,5600,BOS,ORL,2023-01-23
PG/SG,Cole Anthony,5600,ORL,BOS,2023-01-23
PG,Dennis Smith,5600,CHA,UTA,2023-01-23
PG/SG,Derrick White,5500,BOS,ORL,2023-01-23
C/PF,Al Horford,5500,BOS,ORL,2023-01-23
SF/PF,De'Andre Hunter,5500,ATL,CHI,2023-01-23
C,Onyeka Okongwu,5500,ATL,CHI,2023-01-23
SF/SG,Malik Beasley,5400,UTA,CHA,2023-01-23
SG/SF,Dillon Brooks,5400,MEM,SAC,2023-01-23
PF/C,Zach Collins,5400,SA,POR,2023-01-23
SF/PF,Kenyon Martin,5300,HOU,MIN,2023-01-23
SF/PF,Keegan Murray,5300,SAC,MEM,2023-01-23
SF/SG,Gordon Hayward,5200,CHA,UTA,2023-01-23
SF/SG,Eric Gordon,5200,HOU,MIN,2023-01-23
SF/PF,Patrick Williams,5200,CHI,ATL,2023-01-23
SF/PF,Jeremy Sochan,5100,SA,POR,2023-01-23
PG/SG,Coby White,5100,CHI,ATL,2023-01-23
PF/C,Brandon Clarke,5100,MEM,SAC,2023-01-23
SF/SG,Pat Connaughton,5000,MIL,DET,2023-01-23
SG,Collin Sexton,5000,UTA,CHA,2023-01-23
PF,Moritz Wagner,5000,ORL,BOS,2023-01-23
C/PF,Kelly Olynyk,4900,UTA,CHA,2023-01-23
PG/SG,Jalen Suggs,4900,ORL,BOS,2023-01-23
SG/SF,Hamidou Diallo,4900,DET,MIL,2023-01-23
PG/SG,Alec Burks,4800,DET,MIL,2023-01-23
SF,Justise Winslow,4800,POR,SA,2023-01-23
SF/PF,Taurean Prince,4700,MIN,HOU,2023-01-23
PF,Trey Lyles,4700,SAC,MEM,2023-01-23
PF,Santi Aldama,4700,MEM,SAC,2023-01-23
PF/C,Marvin Bagley,4600,DET,MIL,2023-01-23
