pos,name,salary,team,opp,date
C,Joel Embiid,11500,PHI,POR,2023-01-19
PF/SF,Jayson Tatum,11000,BOS,GS,2023-01-19
SG/PG,James Harden,10300,PHI,POR,2023-01-19
SF/PF,Kevin Durant,10200,BKN,PHO,2023-01-19
PG,Damian Lillard,10000,POR,PHI,2023-01-19
PG,Stephen Curry,9500,GS,BOS,2023-01-19
C/PF,Pascal Siakam,9300,TOR,MIN,2023-01-19
PG/SG,Kyrie Irving,9200,BKN,PHO,2023-01-19
SG,Devin Booker,9000,PHO,BKN,2023-01-19
PF/C,Karl-Anthony Towns,9000,MIN,TOR,2023-01-19
SG/SF,Anthony Edwards,8700,MIN,TOR,2023-01-19
SF/SG,Jaylen Brown,8300,BOS,GS,2023-01-19
PF/SF,Scottie Barnes,8200,TOR,MIN,2023-01-19
PG,Fred VanVleet,7900,TOR,MIN,2023-01-19
C,Jusuf Nurkic,7800,POR,PHI,2023-01-19
PG,Chris Paul,7800,PHO,BKN,2023-01-19
PG/SG,Jordan Poole,7600,GS,BOS,2023-01-19
C,Nic Claxton,7500,BKN,PHO,2023-01-19
PG/PF,Ben Simmons,7400,BKN,PHO,2023-01-19
SG/SF,Klay Thompson,7400,GS,BOS,2023-01-19
C,Deandre Ayton,7400,PHO,BKN,2023-01-19
SG/SF,Mikal Bridges,7100,PHO,BKN,2023-01-19
C,Rudy Gobert,7000,MIN,TOR,2023-01-19
SG/SF,Gary Trent,7000,TOR,MIN,2023-01-19
SF/PF,Tobias Harris,6900,PHI,POR,2023-01-19
SF/SG,OG Anunoby,6900,TOR,MIN,2023-01-19
PF,Jerami Grant,6700,POR,PHI,2023-01-19
SF/PF,Andrew Wiggins,6700,GS,BOS,2023-01-19
SG/PG,Anfernee Simons,6600,POR,PHI,2023-01-19
PF/C,Draymond Green,6600,GS,BOS,2023-01-19
SF/PF,Kyle Anderson,6500,MIN,TOR,2023-01-19
PG/SG,Tyrese Maxey,6500,PHI,POR,2023-01-19
PG/SG,D'Angelo Russell,6400,MIN,TOR,2023-01-19
SG/PG,Marcus Smart,6300,BOS,GS,2023-01-19
PG/SG,Malcolm Brogdon,6000,BOS,GS,2023-01-19
PF/C,Robert Williams,5900,BOS,GS,2023-01-19
PG/SG,Derrick White,5800,BOS,GS,2023-01-19
SG/SF,Josh Hart,5800,POR,PHI,2023-01-19
SF/PF,Jaden McDaniels,5700,MIN,TOR,2023-01-19
SF/PF,Royce O'Neale,5600,BKN,PHO,2023-01-19
C/PF,Kevon Looney,5600,GS,BOS,2023-01-19
PF,Grant Williams,5600,BOS,GS,2023-01-19
SF/PF,Torrey Craig,5300,PHO,BKN,2023-01-19
SG,Landry Shamet,5300,PHO,BKN,2023-01-19
C/PF,Al Horford,5200,BOS,GS,2023-01-19
PG/SG,Seth Curry,5100,BKN,PHO,2023-01-19
SF/PF,T.J. Warren,5000,BKN,PHO,2023-01-19
C,Naz Reid,5000,MIN,TOR,2023-01-19
PG/SG,Cameron Payne,5000,PHO,BKN,2023-01-19
PF,Dario Saric,4900,PHO,BKN,2023-01-19
SG/SF,Donte DiVincenzo,4900,GS,BOS,2023-01-19
SG,Damion Lee,4800,PHO,BKN,2023-01-19
PG/SG,De'Anthony Melton,4800,PHI,POR,2023-01-19
SF,Justise Winslow,4800,POR,PHI,2023-01-19
SF/PF,Taurean Prince,4700,MIN,TOR,2023-01-19
SF,Anthony Lamb,4700,GS,BOS,2023-01-19
PF/C,Precious Achiuwa,4500,TOR,MIN,2023-01-19
PG,Shake Milton,4500,PHI,POR,2023-01-19
SF,Jonathan Kuminga,4500,GS,BOS,2023-01-19
PG,Jaylen Nowell,4500,MIN,TOR,2023-01-19
SF/PF,Cameron Johnson,4500,PHO,BKN,2023-01-19
C/PF,Drew Eubanks,4400,POR,PHI,2023-01-19
SG,Duane Washington,4300,PHO,BKN,2023-01-19
C,Bismack Biyombo,4300,PHO,BKN,2023-01-19
SF/SG,Josh Okogie,4300,PHO,BKN,2023-01-19
C/PF,Chris Boucher,4200,TOR,MIN,2023-01-19
