pos,name,salary,team,opp,date
PF,Zion Williamson,10400,NO,SA,2022-12-22
C/PF,Kristaps Porzingis,9900,WAS,UTA,2022-12-22
SG,Bradley Beal,9000,WAS,UTA,2022-12-22
PG/SG,CJ McCollum,8500,NO,SA,2022-12-22
SF/PF,Kyle Kuzma,8300,WAS,UTA,2022-12-22
PF/SF,Lauri Markkanen,8200,UTA,WAS,2022-12-22
SF/SG,Brandon Ingram,7700,NO,SA,2022-12-22
PG/SG,Jordan Clarkson,7500,UTA,WAS,2022-12-22
PF/SF,Keldon Johnson,7400,SA,NO,2022-12-22
C,Jakob Poeltl,7100,SA,NO,2022-12-22
SG,Devin Vassell,7000,SA,NO,2022-12-22
PF,Jarred Vanderbilt,6800,UTA,WAS,2022-12-22
C,Jonas Valanciunas,6600,NO,SA,2022-12-22
PG,Tre Jones,6300,SA,NO,2022-12-22
C/PF,Kelly Olynyk,6000,UTA,WAS,2022-12-22
PF/C,Larry Nance,5800,NO,SA,2022-12-22
C,Walker Kessler,5800,UTA,WAS,2022-12-22
SF/PF,Deni Avdija,5700,WAS,UTA,2022-12-22
PG,Mike Conley,5700,UTA,WAS,2022-12-22
PG,Monte Morris,5500,WAS,UTA,2022-12-22
SG,Collin Sexton,5400,UTA,WAS,2022-12-22
SF/SG,Malik Beasley,5300,UTA,WAS,2022-12-22
PF/C,Zach Collins,5300,SA,NO,2022-12-22
C,Daniel Gafford,5300,WAS,UTA,2022-12-22
SF,Trey Murphy,5200,NO,SA,2022-12-22
SG/SF,Herbert Jones,5100,NO,SA,2022-12-22
PG,Jose Alvarado,5100,NO,SA,2022-12-22
SG/SF,Will Barton,5000,WAS,UTA,2022-12-22
SG,Romeo Langford,4900,SA,NO,2022-12-22
PG,Jordan Goodwin,4800,WAS,UTA,2022-12-22
PF,Keita Bates-Diop,4700,SA,NO,2022-12-22
SG/SF,Nickeil Alexander-Walker,4600,UTA,WAS,2022-12-22
SF,Naji Marshall,4600,NO,SA,2022-12-22
SF/SG,Josh Richardson,4600,SA,NO,2022-12-22
SF/PF,Rui Hachimura,4500,WAS,UTA,2022-12-22
PG/SG,Delon Wright,4500,WAS,UTA,2022-12-22
PF/C,Willy Hernangomez,4400,NO,SA,2022-12-22
SF/PF,Jeremy Sochan,4300,SA,NO,2022-12-22
C,Charles Bassey,4200,SA,NO,2022-12-22
SG/SF,Talen Horton-Tucker,4100,UTA,WAS,2022-12-22
PF/SF,Doug McDermott,4100,SA,NO,2022-12-22
SF,Malaki Branham,4100,SA,NO,2022-12-22
PG,Dyson Daniels,4000,NO,SA,2022-12-22
SF,Stanley Johnson,4000,SA,NO,2022-12-22
C,Gorgui Dieng,3900,SA,NO,2022-12-22
SF,Corey Kispert,3900,WAS,UTA,2022-12-22
C,Taj Gibson,3800,WAS,UTA,2022-12-22
PF/C,Isaiah Roby,3800,SA,NO,2022-12-22
SF,Simone Fontecchio,3700,UTA,WAS,2022-12-22
PF/SF,Rudy Gay,3700,UTA,WAS,2022-12-22
SG,Ochai Agbaji,3600,UTA,WAS,2022-12-22
PG,Devonte' Graham,3600,NO,SA,2022-12-22
PF,Jaxson Hayes,3500,NO,SA,2022-12-22
PF,E.J. Liddell,3500,NO,SA,2022-12-22
SF,Johnny Juzang,3500,UTA,WAS,2022-12-22
PF,Anthony Gill,3500,WAS,UTA,2022-12-22
PF,Micah Potter,3500,UTA,WAS,2022-12-22
SG,Dereon Seabron,3500,NO,SA,2022-12-22
SF,Dominick Barlow,3500,SA,NO,2022-12-22
C,Udoka Azubuike,3500,UTA,WAS,2022-12-22
PF/C,Vernon Carey,3500,WAS,UTA,2022-12-22
PG,Kira Lewis,3500,NO,SA,2022-12-22
SF,Garrett Temple,3500,NO,SA,2022-12-22
SG,Devon Dotson,3500,WAS,UTA,2022-12-22
PF,Isaiah Todd,3500,WAS,UTA,2022-12-22
SG,Blake Wesley,3500,SA,NO,2022-12-22
SG,Johnny Davis,3500,WAS,UTA,2022-12-22
SF,Leandro Bolmaro,3500,UTA,WAS,2022-12-22
