pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12200,MIL,ORL,2023-03-07
PG/SG,Luka Doncic,12000,DAL,UTA,2023-03-07
C,Joel Embiid,11800,PHI,MIN,2023-03-07
PF/C,Anthony Davis,11500,LAL,MEM,2023-03-07
SG/PG,Shai Gilgeous-Alexander,10800,OKC,GS,2023-03-07
SG/PG,James Harden,10600,PHI,MIN,2023-03-07
SF/PF,LeBron James,10300,LAL,MEM,2023-03-07
PG,Ja Morant,10100,MEM,LAL,2023-03-07
PF,Julius Randle,10000,NY,CHA,2023-03-07
PG/SG,Kyrie Irving,9900,DAL,UTA,2023-03-07
C/PF,Kristaps Porzingis,9700,WAS,DET,2023-03-07
PG,Stephen Curry,9500,GS,OKC,2023-03-07
SG/SF,Anthony Edwards,8900,MIN,PHI,2023-03-07
PG,Jalen Brunson,8700,NY,CHA,2023-03-07
SG,Bradley Beal,8700,WAS,DET,2023-03-07
PF/C,Karl-Anthony Towns,8600,MIN,PHI,2023-03-07
PF/SF,Lauri Markkanen,8600,UTA,DAL,2023-03-07
SG/SF,Mikal Bridges,8500,BKN,HOU,2023-03-07
PG,Spencer Dinwiddie,8400,BKN,HOU,2023-03-07
PG,Jrue Holiday,8300,MIL,ORL,2023-03-07
SG/PG,Josh Giddey,8200,OKC,GS,2023-03-07
SG/SF,Desmond Bane,8200,MEM,LAL,2023-03-07
PF/C,Jaren Jackson,8100,MEM,LAL,2023-03-07
C,Walker Kessler,8000,UTA,DAL,2023-03-07
SF/SG,Kelly Oubre,8000,CHA,NY,2023-03-07
SG/PG,Terry Rozier,7900,CHA,NY,2023-03-07
C,Rudy Gobert,7900,MIN,PHI,2023-03-07
SF/PF,Kyle Kuzma,7800,WAS,DET,2023-03-07
SG,Klay Thompson,7800,GS,OKC,2023-03-07
PG,Kevin Porter,7700,HOU,BKN,2023-03-07
SF/SG,Jalen Williams,7600,OKC,GS,2023-03-07
PF/SF,Paolo Banchero,7600,ORL,MIL,2023-03-07
C,Alperen Sengun,7500,HOU,BKN,2023-03-07
PG,Tyus Jones,7500,MEM,LAL,2023-03-07
PG/SG,Jordan Poole,7500,GS,OKC,2023-03-07
PG/SG,Jordan Clarkson,7400,UTA,DAL,2023-03-07
PF/C,Draymond Green,7400,GS,OKC,2023-03-07
C,Nic Claxton,7300,BKN,HOU,2023-03-07
SG/PG,Immanuel Quickley,7300,NY,CHA,2023-03-07
SG/PG,Jalen Green,7200,HOU,BKN,2023-03-07
SF,Andrew Wiggins,7200,GS,OKC,2023-03-07
PF/C,P.J. Washington,7100,CHA,NY,2023-03-07
PG,D'Angelo Russell,7100,LAL,MEM,2023-03-07
PF/C,Marvin Bagley,7000,DET,WAS,2023-03-07
C,Brook Lopez,7000,MIL,ORL,2023-03-07
PG,Markelle Fultz,7000,ORL,MIL,2023-03-07
SF/SG,Gordon Hayward,6700,CHA,NY,2023-03-07
C/PF,Wendell Carter,6700,ORL,MIL,2023-03-07
C,Daniel Gafford,6700,WAS,DET,2023-03-07
C,Mitchell Robinson,6600,NY,CHA,2023-03-07
C,Steven Adams,6500,MEM,LAL,2023-03-07
SF/PF,Bojan Bogdanovic,6500,DET,WAS,2023-03-07
C,Mark Williams,6500,CHA,NY,2023-03-07
SF/SG,RJ Barrett,6500,NY,CHA,2023-03-07
PG,Dennis Smith,6500,CHA,NY,2023-03-07
SF/PF,Kyle Anderson,6400,MIN,PHI,2023-03-07
SG/PG,Dennis Schroder,6400,LAL,MEM,2023-03-07
SG,Khris Middleton,6400,MIL,ORL,2023-03-07
PG/SG,Tyrese Maxey,6400,PHI,MIN,2023-03-07
PG,Killian Hayes,6300,DET,WAS,2023-03-07
SG/SF,Josh Hart,6300,NY,CHA,2023-03-07
SF/PF,Kenyon Martin,6300,HOU,BKN,2023-03-07
SF/SG,Luguentz Dort,6300,OKC,GS,2023-03-07
SG/SF,Talen Horton-Tucker,6300,UTA,DAL,2023-03-07
PF/C,Bobby Portis,6200,MIL,ORL,2023-03-07
SF,Tari Eason,6200,HOU,BKN,2023-03-07
PG/SG,Cole Anthony,6200,ORL,MIL,2023-03-07
SG,Jaden Ivey,6100,DET,WAS,2023-03-07
SG/SF,Donte DiVincenzo,6000,GS,OKC,2023-03-07
SG/SF,Hamidou Diallo,6000,DET,WAS,2023-03-07
PF/C,Christian Wood,6000,DAL,UTA,2023-03-07
SF/PF,Cameron Johnson,6000,BKN,HOU,2023-03-07
PF,Jarred Vanderbilt,6000,LAL,MEM,2023-03-07
SF/PF,Deni Avdija,5900,WAS,DET,2023-03-07
SF/SG,Franz Wagner,5900,ORL,MIL,2023-03-07
PG/SG,Delon Wright,5900,WAS,DET,2023-03-07
C,Kelly Olynyk,5800,UTA,DAL,2023-03-07
PF,Tobias Harris,5800,PHI,MIN,2023-03-07
PG,Mike Conley,5800,MIN,PHI,2023-03-07
SF/PF,Jaden McDaniels,5800,MIN,PHI,2023-03-07
PG/PF,Ben Simmons,5700,BKN,HOU,2023-03-07
SG,Collin Sexton,5700,UTA,DAL,2023-03-07
C,Naz Reid,5700,MIN,PHI,2023-03-07
PF/C,Xavier Tillman,5700,MEM,LAL,2023-03-07
PG,Kris Dunn,5600,UTA,DAL,2023-03-07
C/PF,Isaiah Stewart,5600,DET,WAS,2023-03-07
C,James Wiseman,5600,DET,WAS,2023-03-07
SF/PF,Dorian Finney-Smith,5600,BKN,HOU,2023-03-07
PF,Jabari Smith,5500,HOU,BKN,2023-03-07
PF,Rui Hachimura,5500,LAL,MEM,2023-03-07
PG/SG,Jalen Suggs,5400,ORL,MIL,2023-03-07
SG/SF,Tim Hardaway,5400,DAL,UTA,2023-03-07
SF/SG,Malik Beasley,5300,LAL,MEM,2023-03-07
PF/C,Santi Aldama,5300,MEM,LAL,2023-03-07
C,Kevon Looney,5300,GS,OKC,2023-03-07
C,Jalen Duren,5300,DET,WAS,2023-03-07
PG,Monte Morris,5300,WAS,DET,2023-03-07
SG,Aaron Wiggins,5200,OKC,GS,2023-03-07
SG/SF,Cam Thomas,5200,BKN,HOU,2023-03-07
SF,Jonathan Kuminga,5200,GS,OKC,2023-03-07
PF/C,Brandon Clarke,5100,MEM,LAL,2023-03-07
C,Dwight Powell,5100,DAL,UTA,2023-03-07
SF/SG,Austin Reaves,5100,LAL,MEM,2023-03-07
PG/SG,Alec Burks,5000,DET,WAS,2023-03-07
SF,Troy Brown,5000,LAL,MEM,2023-03-07
PF/C,Jaylin Williams,5000,OKC,GS,2023-03-07
SG/SF,Dillon Brooks,5000,MEM,LAL,2023-03-07
SF,Kenrich Williams,4800,OKC,GS,2023-03-07
C,Nick Richards,4800,CHA,NY,2023-03-07
SG/SF,Reggie Bullock,4700,DAL,UTA,2023-03-07
SF/PF,Jae'Sean Tate,4700,HOU,BKN,2023-03-07
SG/SF,Grayson Allen,4700,MIL,ORL,2023-03-07
PG,Isaiah Joe,4700,OKC,GS,2023-03-07
C,Paul Reed,4700,PHI,MIN,2023-03-07
PF/C,Isaiah Hartenstein,4700,NY,CHA,2023-03-07
SG/SF,Quentin Grimes,4600,NY,CHA,2023-03-07
C,Mo Bamba,4600,LAL,MEM,2023-03-07
PG/SG,De'Anthony Melton,4600,PHI,MIN,2023-03-07
PG,Jaylen Nowell,4600,MIN,PHI,2023-03-07
SG/SF,Nickeil Alexander-Walker,4600,MIN,PHI,2023-03-07
SF,Corey Kispert,4500,WAS,DET,2023-03-07
