pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12400,DAL,LAC,2022-11-15
SF/PF,Kevin Durant,11300,BKN,SAC,2022-11-15
PG,Ja Morant,10000,MEM,NO,2022-11-15
C/PF,Domantas Sabonis,9600,SAC,BKN,2022-11-15
SG/SF,Paul George,9400,LAC,DAL,2022-11-15
PG,Damian Lillard,9000,POR,SA,2022-11-15
PG/SG,Kyrie Irving,8800,BKN,SAC,2022-11-15
PG,De'Aaron Fox,8800,SAC,BKN,2022-11-15
PF,Zion Williamson,8600,NO,MEM,2022-11-15
PG/SG,CJ McCollum,8400,NO,MEM,2022-11-15
SF/SG,Brandon Ingram,8000,NO,MEM,2022-11-15
SG/SF,Desmond Bane,7900,MEM,NO,2022-11-15
PF/SF,Lauri Markkanen,7600,UTA,NY,2022-11-15
PF/C,Julius Randle,7500,NY,UTA,2022-11-15
SG/PG,Anfernee Simons,7500,POR,SA,2022-11-15
PG/SG,Jalen Brunson,7400,NY,UTA,2022-11-15
PF/SF,Keldon Johnson,7100,SA,POR,2022-11-15
PF,Jerami Grant,7000,POR,SA,2022-11-15
PG/SG,Spencer Dinwiddie,7000,DAL,LAC,2022-11-15
SG,Devin Vassell,6800,SA,POR,2022-11-15
SF/PF,Kawhi Leonard,6800,LAC,DAL,2022-11-15
C,Jakob Poeltl,6700,SA,POR,2022-11-15
C,Jusuf Nurkic,6600,POR,SA,2022-11-15
C,Nic Claxton,6400,BKN,SAC,2022-11-15
SF/SG,RJ Barrett,6400,NY,UTA,2022-11-15
C,Ivica Zubac,6400,LAC,DAL,2022-11-15
PF/C,Christian Wood,6300,DAL,LAC,2022-11-15
SG/SF,Josh Hart,6200,POR,SA,2022-11-15
PG/SG,Jordan Clarkson,6200,UTA,NY,2022-11-15
C,Jonas Valanciunas,6200,NO,MEM,2022-11-15
C,Steven Adams,6000,MEM,NO,2022-11-15
PG,Tre Jones,5900,SA,POR,2022-11-15
SG/SF,Kevin Huerter,5800,SAC,BKN,2022-11-15
PG/PF,Ben Simmons,5700,BKN,SAC,2022-11-15
SF/PF,Keegan Murray,5600,SAC,BKN,2022-11-15
PG,Mike Conley,5600,UTA,NY,2022-11-15
SF/PF,Harrison Barnes,5500,SAC,BKN,2022-11-15
PF,Santi Aldama,5500,MEM,NO,2022-11-15
PF/SF,Marcus Morris,5500,LAC,DAL,2022-11-15
PG,Tyus Jones,5500,MEM,NO,2022-11-15
SF,Justise Winslow,5500,POR,SA,2022-11-15
SF/SG,Malik Beasley,5400,UTA,NY,2022-11-15
C/PF,Kelly Olynyk,5300,UTA,NY,2022-11-15
SG/PG,Immanuel Quickley,5300,NY,UTA,2022-11-15
SG/SF,Dillon Brooks,5200,MEM,NO,2022-11-15
SG/PG,Cam Thomas,5200,BKN,SAC,2022-11-15
SF/SG,Norman Powell,5200,LAC,DAL,2022-11-15
PF,Jarred Vanderbilt,5200,UTA,NY,2022-11-15
SF/PF,Royce O'Neale,5100,BKN,SAC,2022-11-15
PF/C,Jaren Jackson,5100,MEM,NO,2022-11-15
PG/SG,John Wall,5000,LAC,DAL,2022-11-15
SG,Collin Sexton,5000,UTA,NY,2022-11-15
PG,Reggie Jackson,5000,LAC,DAL,2022-11-15
PF/C,Larry Nance,4900,NO,MEM,2022-11-15
C,Charles Bassey,4800,SA,POR,2022-11-15
SF,Trey Murphy,4800,NO,MEM,2022-11-15
PG,Jose Alvarado,4800,NO,MEM,2022-11-15
PF,Isaiah Hartenstein,4800,NY,UTA,2022-11-15
SF/SG,Josh Richardson,4700,SA,POR,2022-11-15
PG/SG,Seth Curry,4700,BKN,SAC,2022-11-15
C,Mitchell Robinson,4700,NY,UTA,2022-11-15
SG/SF,Herbert Jones,4600,NO,MEM,2022-11-15
SG/SF,Cam Reddish,4500,NY,UTA,2022-11-15
PF/C,Zach Collins,4500,SA,POR,2022-11-15
SG/SF,Tim Hardaway,4500,DAL,LAC,2022-11-15
SG,Malik Monk,4400,SAC,BKN,2022-11-15
SG,Yuta Watanabe,4400,BKN,SAC,2022-11-15
PF,Trendon Watford,4300,POR,SA,2022-11-15
SF/PF,Jeremy Sochan,4300,SA,POR,2022-11-15
C/PF,Drew Eubanks,4300,POR,SA,2022-11-15
PG/SG,Edmond Sumner,4200,BKN,SAC,2022-11-15
SG/SF,Talen Horton-Tucker,4000,UTA,NY,2022-11-15
PF/C,Brandon Clarke,4000,MEM,NO,2022-11-15
SF/SG,John Konchar,4000,MEM,NO,2022-11-15
SF,Naji Marshall,4000,NO,MEM,2022-11-15
C,Olivier Sarr,4000,POR,SA,2022-11-15
SG/SF,Terance Mann,4000,LAC,DAL,2022-11-15
SF/PF,Dorian Finney-Smith,4000,DAL,LAC,2022-11-15
SG/SF,Luke Kennard,4000,LAC,DAL,2022-11-15
PF,Obi Toppin,3900,NY,UTA,2022-11-15
C,Jericho Sims,3800,NY,UTA,2022-11-15
PF/SF,Markieff Morris,3800,BKN,SAC,2022-11-15
PG,Devonte' Graham,3800,NO,MEM,2022-11-15
SG/SF,Joe Harris,3800,BKN,SAC,2022-11-15
C,Walker Kessler,3700,UTA,NY,2022-11-15
C/PF,Dwight Powell,3700,DAL,LAC,2022-11-15
SG/SF,Terence Davis,3700,SAC,BKN,2022-11-15
SG,Gary Payton,3700,POR,SA,2022-11-15
SG/PG,Patty Mills,3700,BKN,SAC,2022-11-15
C,Chimezie Metu,3700,SAC,BKN,2022-11-15
PF,David Roddy,3700,MEM,NO,2022-11-15
PF/SF,Robert Covington,3600,LAC,DAL,2022-11-15
SG/SF,Evan Fournier,3600,NY,UTA,2022-11-15
PF/SF,Doug McDermott,3600,SA,POR,2022-11-15
SF/PF,T.J. Warren,3600,BKN,SAC,2022-11-15
SF/PF,Nicolas Batum,3600,LAC,DAL,2022-11-15
PG,Davion Mitchell,3600,SAC,BKN,2022-11-15
PF/C,Maxi Kleber,3600,DAL,LAC,2022-11-15
PG/SG,Derrick Rose,3500,NY,UTA,2022-11-15
PF,Jaxson Hayes,3500,NO,MEM,2022-11-15
PF,E.J. Liddell,3500,NO,MEM,2022-11-15
SF,Nassir Little,3500,POR,SA,2022-11-15
SG,Ochai Agbaji,3500,UTA,NY,2022-11-15
PF,John Butler,3500,POR,SA,2022-11-15
PG,Dyson Daniels,3500,NO,MEM,2022-11-15
C,JaVale McGee,3500,DAL,LAC,2022-11-15
PF/C,Isaiah Roby,3500,SA,POR,2022-11-15
SG,Jaden Hardy,3500,DAL,LAC,2022-11-15
SG/SF,Theo Pinson,3500,DAL,LAC,2022-11-15
PF,Micah Potter,3500,UTA,NY,2022-11-15
SG/SF,Nickeil Alexander-Walker,3500,UTA,NY,2022-11-15
SG/SF,Danny Green,3500,MEM,NO,2022-11-15
SG,Shaedon Sharpe,3500,POR,SA,2022-11-15
C,Moses Brown,3500,LAC,DAL,2022-11-15
SF,Garrett Temple,3500,NO,MEM,2022-11-15
SF,Jordan Hall,3500,SA,POR,2022-11-15
SG/SF,Reggie Bullock,3500,DAL,LAC,2022-11-15
SF,Chima Moneke,3500,SAC,BKN,2022-11-15
PF,Trey Lyles,3500,SAC,BKN,2022-11-15
PG,Matthew Dellavedova,3500,SAC,BKN,2022-11-15
PF/SF,Rudy Gay,3500,UTA,NY,2022-11-15
PG,Jason Preston,3500,LAC,DAL,2022-11-15
SG,Keon Johnson,3500,POR,SA,2022-11-15
SG,Brandon Boston,3500,LAC,DAL,2022-11-15
C,Neemias Queta,3500,SAC,BKN,2022-11-15
SF,Leandro Bolmaro,3500,UTA,NY,2022-11-15
PF,Greg Brown,3500,POR,SA,2022-11-15
SG/SF,Quentin Grimes,3500,NY,UTA,2022-11-15
SG,David Duke,3500,BKN,SAC,2022-11-15
PG,Miles McBride,3500,NY,UTA,2022-11-15
SF/SG,Amir Coffey,3500,LAC,DAL,2022-11-15
PG,McKinley Wright,3500,DAL,LAC,2022-11-15
SF,Johnny Juzang,3500,UTA,NY,2022-11-15
PG,Facundo Campazzo,3500,DAL,LAC,2022-11-15
SF,Kessler Edwards,3500,BKN,SAC,2022-11-15
PF,Day'Ron Sharpe,3500,BKN,SAC,2022-11-15
SF,Ziaire Williams,3500,MEM,NO,2022-11-15
SG,Dereon Seabron,3500,NO,MEM,2022-11-15
C/PF,Richaun Holmes,3500,SAC,BKN,2022-11-15
PF/C,Willy Hernangomez,3500,NO,MEM,2022-11-15
SG,Keon Ellis,3500,SAC,BKN,2022-11-15
SF,Dominick Barlow,3500,SA,POR,2022-11-15
SG,Alondes Williams,3500,BKN,SAC,2022-11-15
C,Gorgui Dieng,3500,SA,POR,2022-11-15
C,Udoka Azubuike,3500,UTA,NY,2022-11-15
PF,Kenneth Lofton,3500,MEM,NO,2022-11-15
PG,Kira Lewis,3500,NO,MEM,2022-11-15
PG,Frank Ntilikina,3500,DAL,LAC,2022-11-15
SG,Josh Green,3500,DAL,LAC,2022-11-15
SF,Feron Hunt,3500,NY,UTA,2022-11-15
SF,Simone Fontecchio,3500,UTA,NY,2022-11-15
PF,Xavier Tillman,3500,MEM,NO,2022-11-15
PG/SG,Ryan Arcidiacono,3500,NY,UTA,2022-11-15
C/PF,Alex Len,3500,SAC,BKN,2022-11-15
SF,Davis Bertans,3500,DAL,LAC,2022-11-15
PF,Keita Bates-Diop,3500,SA,POR,2022-11-15
SF,KZ Okpala,3500,SAC,BKN,2022-11-15
SG,Blake Wesley,3500,SA,POR,2022-11-15
SG,Tyler Dorsey,3500,DAL,LAC,2022-11-15
SF,Malaki Branham,3500,SA,POR,2022-11-15
SG,Svi Mykhailiuk,3500,NY,UTA,2022-11-15
PG,Kennedy Chandler,3500,MEM,NO,2022-11-15
SG,Vince Williams,3500,MEM,NO,2022-11-15
PF,Jake LaRavia,3500,MEM,NO,2022-11-15
SG,Romeo Langford,3500,SA,POR,2022-11-15
SF,Jabari Walker,3500,POR,SA,2022-11-15
PF,Moussa Diabate,3500,LAC,DAL,2022-11-15
SG,Trevor Keels,3500,NY,UTA,2022-11-15
