pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12000,DAL,BOS,2022-11-23
PF/SF,Giannis Antetokounmpo,11800,MIL,CHI,2022-11-23
C,Joel Embiid,11600,PHI,CHA,2022-11-23
SF/PF,Kevin Durant,10800,BKN,TOR,2022-11-23
SG/PG,Shai Gilgeous-Alexander,10500,OKC,DEN,2022-11-23
C,Nikola Jokic,10500,DEN,OKC,2022-11-23
PG,Stephen Curry,10400,GS,LAC,2022-11-23
PF/SF,Jayson Tatum,10200,BOS,DAL,2022-11-23
PG,Trae Young,9900,ATL,SAC,2022-11-23
PG,De'Aaron Fox,9700,SAC,ATL,2022-11-23
SG/PG,Donovan Mitchell,9600,CLE,POR,2022-11-23
SG/PG,Dejounte Murray,9500,ATL,SAC,2022-11-23
SG/PG,James Harden,9500,PHI,CHA,2022-11-23
C/PF,Pascal Siakam,9500,TOR,BKN,2022-11-23
C/PF,Domantas Sabonis,9500,SAC,ATL,2022-11-23
PG/SG,Tyrese Haliburton,9400,IND,MIN,2022-11-23
PG,Damian Lillard,9100,POR,CLE,2022-11-23
SG/SF,Paul George,9000,LAC,GS,2022-11-23
PF/C,Karl-Anthony Towns,9000,MIN,IND,2022-11-23
SF/PF,Jimmy Butler,8800,MIA,WAS,2022-11-23
PG,Fred VanVleet,8800,TOR,BKN,2022-11-23
C/PF,Bam Adebayo,8800,MIA,WAS,2022-11-23
PG/SG,Kyrie Irving,8700,BKN,TOR,2022-11-23
C/PF,Kristaps Porzingis,8600,WAS,MIA,2022-11-23
SF/SG,Jaylen Brown,8500,BOS,DAL,2022-11-23
SF/PF,Tobias Harris,8400,PHI,CHA,2022-11-23
SG/PG,Anfernee Simons,8300,POR,CLE,2022-11-23
SG/PG,Darius Garland,8300,CLE,POR,2022-11-23
PG,LaMelo Ball,8200,CHA,PHI,2022-11-23
SG,Bradley Beal,8200,WAS,MIA,2022-11-23
SG/SF,DeMar DeRozan,8200,CHI,MIL,2022-11-23
SF/SG,OG Anunoby,8200,TOR,BKN,2022-11-23
SF/SG,Brandon Ingram,8100,NO,SA,2022-11-23
PG/SG,CJ McCollum,8000,NO,SA,2022-11-23
PF,Zion Williamson,8000,NO,SA,2022-11-23
PG/SG,Cade Cunningham,7900,DET,UTA,2022-11-23
PF/SF,Lauri Markkanen,7900,UTA,DET,2022-11-23
PF/SF,Scottie Barnes,7800,TOR,BKN,2022-11-23
C,Nikola Vucevic,7800,CHI,MIL,2022-11-23
PG/SG,Jrue Holiday,7800,MIL,CHI,2022-11-23
SG/SF,Anthony Edwards,7800,MIN,IND,2022-11-23
SG/PG,Terry Rozier,7700,CHA,PHI,2022-11-23
C/PF,Myles Turner,7700,IND,MIN,2022-11-23
PG/SG,Tyrese Maxey,7700,PHI,CHA,2022-11-23
SF/PF,Kyle Kuzma,7600,WAS,MIA,2022-11-23
PG/PF,Ben Simmons,7600,BKN,TOR,2022-11-23
C,Jakob Poeltl,7500,SA,NO,2022-11-23
PF,Jerami Grant,7400,POR,CLE,2022-11-23
PG,Kyle Lowry,7400,MIA,WAS,2022-11-23
PG/SG,De'Anthony Melton,7400,PHI,CHA,2022-11-23
SF/SG,Khris Middleton,7400,MIL,CHI,2022-11-23
PF/C,Evan Mobley,7300,CLE,POR,2022-11-23
C,Rudy Gobert,7200,MIN,IND,2022-11-23
SG/SF,Tyler Herro,7200,MIA,WAS,2022-11-23
SF/SG,Kelly Oubre,7200,CHA,PHI,2022-11-23
SG,Devin Vassell,7100,SA,NO,2022-11-23
SG,Jaden Ivey,7000,DET,UTA,2022-11-23
PF/SF,Keldon Johnson,7000,SA,NO,2022-11-23
SG/SF,Zach LaVine,6900,CHI,MIL,2022-11-23
C/PF,Jarrett Allen,6900,CLE,POR,2022-11-23
SG/PG,Josh Giddey,6800,OKC,DEN,2022-11-23
PF/C,Christian Wood,6800,DAL,BOS,2022-11-23
C,Brook Lopez,6800,MIL,CHI,2022-11-23
SG/SF,Buddy Hield,6700,IND,MIN,2022-11-23
SG/PG,Marcus Smart,6700,BOS,DAL,2022-11-23
PG/SG,Jamal Murray,6700,DEN,OKC,2022-11-23
PF/C,Aaron Gordon,6700,DEN,OKC,2022-11-23
PG/SG,Spencer Dinwiddie,6600,DAL,BOS,2022-11-23
PG/SG,Jordan Poole,6600,GS,LAC,2022-11-23
PF/C,P.J. Washington,6600,CHA,PHI,2022-11-23
PG,Bones Hyland,6500,DEN,OKC,2022-11-23
SG/SF,Josh Hart,6500,POR,CLE,2022-11-23
C,Clint Capela,6500,ATL,SAC,2022-11-23
SF/PF,Andrew Wiggins,6500,GS,LAC,2022-11-23
SF/SG,Gordon Hayward,6400,CHA,PHI,2022-11-23
PG,Tre Jones,6400,SA,NO,2022-11-23
PG/SG,Jordan Clarkson,6300,UTA,DET,2022-11-23
PG/SG,D'Angelo Russell,6300,MIN,IND,2022-11-23
SF/PF,Kawhi Leonard,6200,LAC,GS,2022-11-23
PF/SF,Michael Porter,6200,DEN,OKC,2022-11-23
PG/SG,John Wall,6100,LAC,GS,2022-11-23
SG,Bruce Brown,6100,DEN,OKC,2022-11-23
C,Jusuf Nurkic,6100,POR,CLE,2022-11-23
SG/SF,Max Strus,6000,MIA,WAS,2022-11-23
PF/C,Bobby Portis,6000,MIL,CHI,2022-11-23
SG/SF,Klay Thompson,6000,GS,LAC,2022-11-23
C,DeAndre Jordan,6000,DEN,OKC,2022-11-23
PG/SG,Derrick White,6000,BOS,DAL,2022-11-23
C/PF,Chris Boucher,6000,TOR,BKN,2022-11-23
PG,Shake Milton,6000,PHI,CHA,2022-11-23
PG,Dennis Smith,6000,CHA,PHI,2022-11-23
SF/PF,Bojan Bogdanovic,5900,DET,UTA,2022-11-23
SG/SF,Caris LeVert,5900,CLE,POR,2022-11-23
PF,Thaddeus Young,5900,TOR,BKN,2022-11-23
SF/PF,Harrison Barnes,5900,SAC,ATL,2022-11-23
C,Ivica Zubac,5800,LAC,GS,2022-11-23
PF/C,Draymond Green,5800,GS,LAC,2022-11-23
SG/SF,Kevin Huerter,5800,SAC,ATL,2022-11-23
C/PF,Isaiah Stewart,5800,DET,UTA,2022-11-23
SF/PF,Royce O'Neale,5800,BKN,TOR,2022-11-23
PF,Aleksej Pokusevski,5700,OKC,DEN,2022-11-23
C,Mason Plumlee,5700,CHA,PHI,2022-11-23
SF/SG,Malik Beasley,5700,UTA,DET,2022-11-23
PG,Killian Hayes,5600,DET,UTA,2022-11-23
C,Jonas Valanciunas,5600,NO,SA,2022-11-23
PF/C,John Collins,5600,ATL,SAC,2022-11-23
PG,Reggie Jackson,5500,LAC,GS,2022-11-23
C/PF,Al Horford,5500,BOS,DAL,2022-11-23
PG,Mike Conley,5500,UTA,DET,2022-11-23
SF/SG,Luguentz Dort,5500,OKC,DEN,2022-11-23
SG/SF,Gary Trent,5500,TOR,BKN,2022-11-23
C,Nic Claxton,5500,BKN,TOR,2022-11-23
SF/SG,Caleb Martin,5400,MIA,WAS,2022-11-23
SG,Bennedict Mathurin,5400,IND,MIN,2022-11-23
C,Jalen Duren,5400,DET,UTA,2022-11-23
SF,Saddiq Bey,5400,DET,UTA,2022-11-23
C,Paul Reed,5400,PHI,CHA,2022-11-23
C/PF,Kelly Olynyk,5300,UTA,DET,2022-11-23
SF/PF,Jaden McDaniels,5300,MIN,IND,2022-11-23
PF/C,Jalen Smith,5300,IND,MIN,2022-11-23
SG/SF,Kentavious Caldwell-Pope,5200,DEN,OKC,2022-11-23
