pos,name,salary,team,opp,date
C,Nikola Jokic,12300,DEN,SAC,2022-12-28
PF/SF,Giannis Antetokounmpo,11700,MIL,CHI,2022-12-28
SF/PF,LeBron James,11400,LAL,MIA,2022-12-28
PF/C,Anthony Davis,10900,LAL,MIA,2022-12-28
SF/PF,Kevin Durant,10400,BKN,ATL,2022-12-28
C/PF,Domantas Sabonis,10300,SAC,DEN,2022-12-28
PF,Zion Williamson,10100,NO,MIN,2022-12-28
PG,Trae Young,10000,ATL,BKN,2022-12-28
SF/PF,Jimmy Butler,9700,MIA,LAL,2022-12-28
PG,Stephen Curry,9500,GS,UTA,2022-12-28
SG,Devin Booker,9300,PHO,WAS,2022-12-28
SG/SF,Anthony Edwards,9100,MIN,NO,2022-12-28
C/PF,Kristaps Porzingis,9000,WAS,PHO,2022-12-28
PF/C,Karl-Anthony Towns,8900,MIN,NO,2022-12-28
C/PF,Bam Adebayo,8800,MIA,LAL,2022-12-28
PG/SG,CJ McCollum,8700,NO,MIN,2022-12-28
PG/SG,Kyrie Irving,8600,BKN,ATL,2022-12-28
SG/SF,DeMar DeRozan,8600,CHI,MIL,2022-12-28
PG,De'Aaron Fox,8500,SAC,DEN,2022-12-28
SG/PG,Dejounte Murray,8400,ATL,BKN,2022-12-28
PG/SG,Jrue Holiday,8300,MIL,CHI,2022-12-28
SG,Bradley Beal,8200,WAS,PHO,2022-12-28
PF/SF,Lauri Markkanen,8200,UTA,GS,2022-12-28
SF/PF,Kyle Kuzma,8100,WAS,PHO,2022-12-28
PG,Chris Paul,8100,PHO,WAS,2022-12-28
C,Deandre Ayton,8000,PHO,WAS,2022-12-28
PG,Russell Westbrook,8000,LAL,MIA,2022-12-28
C,Nikola Vucevic,7900,CHI,MIL,2022-12-28
SG/SF,Tyler Herro,7900,MIA,LAL,2022-12-28
PF/SF,Paolo Banchero,7800,ORL,DET,2022-12-28
C,Rudy Gobert,7800,MIN,NO,2022-12-28
SF/SG,Brandon Ingram,7700,NO,MIN,2022-12-28
PG/SG,Jamal Murray,7700,DEN,SAC,2022-12-28
PF/C,Aaron Gordon,7600,DEN,SAC,2022-12-28
PG/SG,Jordan Poole,7600,GS,UTA,2022-12-28
SG/SF,Zach LaVine,7500,CHI,MIL,2022-12-28
SG/SF,Klay Thompson,7400,GS,UTA,2022-12-28
PG/SG,Jordan Clarkson,7300,UTA,GS,2022-12-28
PG/PF,Ben Simmons,7200,BKN,ATL,2022-12-28
PG/SG,D'Angelo Russell,7100,MIN,NO,2022-12-28
SF/PF,Andrew Wiggins,7000,GS,UTA,2022-12-28
SF/SG,Khris Middleton,6900,MIL,CHI,2022-12-28
SF/SG,Franz Wagner,6800,ORL,DET,2022-12-28
PF/C,Draymond Green,6800,GS,UTA,2022-12-28
C,Jonas Valanciunas,6700,NO,MIN,2022-12-28
C/PF,Wendell Carter,6600,ORL,DET,2022-12-28
C,Nic Claxton,6600,BKN,ATL,2022-12-28
C,Brook Lopez,6500,MIL,CHI,2022-12-28
PG,Kyle Lowry,6400,MIA,LAL,2022-12-28
PF/C,John Collins,6300,ATL,BKN,2022-12-28
PG/SG,Markelle Fultz,6300,ORL,DET,2022-12-28
C,Clint Capela,6200,ATL,BKN,2022-12-28
SF/SG,Bogdan Bogdanovic,6200,ATL,BKN,2022-12-28
SG/SF,Mikal Bridges,6100,PHO,WAS,2022-12-28
SG/SF,Donte DiVincenzo,6100,GS,UTA,2022-12-28
C,Naz Reid,6100,MIN,NO,2022-12-28
C/PF,Kelly Olynyk,6000,UTA,GS,2022-12-28
PG,Killian Hayes,6000,DET,ORL,2022-12-28
SF/PF,Bojan Bogdanovic,6000,DET,ORL,2022-12-28
C,Walker Kessler,6000,UTA,GS,2022-12-28
PG/SG,Cole Anthony,6000,ORL,DET,2022-12-28
C,Bol Bol,5900,ORL,DET,2022-12-28
PF,Jaxson Hayes,5900,NO,MIN,2022-12-28
SG,Jaden Ivey,5900,DET,ORL,2022-12-28
C,Onyeka Okongwu,5900,ATL,BKN,2022-12-28
PF/SF,Michael Porter,5800,DEN,SAC,2022-12-28
SG/SF,Lonnie Walker,5800,LAL,MIA,2022-12-28
PF,Moritz Wagner,5800,ORL,DET,2022-12-28
C,Jalen Duren,5800,DET,ORL,2022-12-28
SF/PF,Keegan Murray,5800,SAC,DEN,2022-12-28
SF/PF,Harrison Barnes,5700,SAC,DEN,2022-12-28
PG/SG,Jalen Suggs,5700,ORL,DET,2022-12-28
C,Thomas Bryant,5700,LAL,MIA,2022-12-28
PG,Mike Conley,5700,UTA,GS,2022-12-28
PF/C,Larry Nance,5600,NO,MIN,2022-12-28
C,Orlando Robinson,5600,MIA,LAL,2022-12-28
SG,Bruce Brown,5600,DEN,SAC,2022-12-28
SG,Landry Shamet,5600,PHO,WAS,2022-12-28
SF/PF,Jaden McDaniels,5600,MIN,NO,2022-12-28
PG,Monte Morris,5600,WAS,PHO,2022-12-28
SF/PF,Kyle Anderson,5500,MIN,NO,2022-12-28
PF/C,Bobby Portis,5500,MIL,CHI,2022-12-28
C/PF,Kevon Looney,5500,GS,UTA,2022-12-28
SG/SF,Kevin Huerter,5500,SAC,DEN,2022-12-28
PF,Jarred Vanderbilt,5500,UTA,GS,2022-12-28
C/PF,Isaiah Stewart,5500,DET,ORL,2022-12-28
SG,Collin Sexton,5400,UTA,GS,2022-12-28
SF/PF,De'Andre Hunter,5400,ATL,BKN,2022-12-28
SF/PF,Torrey Craig,5400,PHO,WAS,2022-12-28
SF/SG,Austin Reaves,5400,LAL,MIA,2022-12-28
SF/SG,Malik Beasley,5300,UTA,GS,2022-12-28
C,Daniel Gafford,5300,WAS,PHO,2022-12-28
SG/PG,Dennis Schroder,5300,LAL,MIA,2022-12-28
SG/PG,Victor Oladipo,5300,MIA,LAL,2022-12-28
SF,Naji Marshall,5300,NO,MIN,2022-12-28
SG/SF,Max Strus,5200,MIA,LAL,2022-12-28
SF/PF,Deni Avdija,5200,WAS,PHO,2022-12-28
