pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,11300,MIL,PHI,2022-10-20
SF/PF,LeBron James,10800,LAL,LAC,2022-10-20
C,Joel Embiid,10200,PHI,MIL,2022-10-20
PF/C,Anthony Davis,9900,LAL,LAC,2022-10-20
SG/PG,James Harden,9700,PHI,MIL,2022-10-20
SG/SF,Paul George,9200,LAC,LAL,2022-10-20
PG/SG,Jrue Holiday,8800,MIL,PHI,2022-10-20
SF/PF,Kawhi Leonard,8600,LAC,LAL,2022-10-20
SF/SG,Khris Middleton,7500,MIL,PHI,2022-10-20
PG,Russell Westbrook,7200,LAL,LAC,2022-10-20
PG/SG,Tyrese Maxey,6600,PHI,MIL,2022-10-20
SF/PF,Tobias Harris,6300,PHI,MIL,2022-10-20
PG/SG,John Wall,6000,LAC,LAL,2022-10-20
SF/SG,Norman Powell,5900,LAC,LAL,2022-10-20
PF/C,Bobby Portis,5800,MIL,PHI,2022-10-20
C,Ivica Zubac,5500,LAC,LAL,2022-10-20
PG,Reggie Jackson,5400,LAC,LAL,2022-10-20
PF/SF,Robert Covington,5200,LAC,LAL,2022-10-20
C,Thomas Bryant,5100,LAL,LAC,2022-10-20
PG/SG,Patrick Beverley,5000,LAL,LAC,2022-10-20
C,Brook Lopez,4900,MIL,PHI,2022-10-20
SG/PG,Dennis Schroder,4700,LAL,LAC,2022-10-20
PF/SF,Marcus Morris,4600,LAC,LAL,2022-10-20
SF/PF,Pat Connaughton,4500,MIL,PHI,2022-10-20
SG/SF,Lonnie Walker,4400,LAL,LAC,2022-10-20
PF/SF,Jordan Nwora,4300,MIL,PHI,2022-10-20
SG/SF,Terance Mann,4300,LAC,LAL,2022-10-20
SG/PG,Kendrick Nunn,4200,LAL,LAC,2022-10-20
SF/PF,Nicolas Batum,4100,LAC,LAL,2022-10-20
PF,P.J. Tucker,4100,PHI,MIL,2022-10-20
C,Damian Jones,4000,LAL,LAC,2022-10-20
SG,Wesley Matthews,3800,MIL,PHI,2022-10-20
PG/SG,De'Anthony Melton,3800,PHI,MIL,2022-10-20
C,Montrezl Harrell,3800,PHI,MIL,2022-10-20
SG/SF,Grayson Allen,3800,MIL,PHI,2022-10-20
SF,Matisse Thybulle,3800,PHI,MIL,2022-10-20
SG/SF,Luke Kennard,3800,LAC,LAL,2022-10-20
PF,Juan Toscano-Anderson,3700,LAL,LAC,2022-10-20
C,Paul Reed,3700,PHI,MIL,2022-10-20
SF/SG,Austin Reaves,3700,LAL,LAC,2022-10-20
SF/SG,Amir Coffey,3600,LAC,LAL,2022-10-20
SF,MarJon Beauchamp,3600,MIL,PHI,2022-10-20
C,Moses Brown,3600,LAC,LAL,2022-10-20
SG/SF,Furkan Korkmaz,3600,PHI,MIL,2022-10-20
PG,George Hill,3600,MIL,PHI,2022-10-20
PF,Georges Niang,3600,PHI,MIL,2022-10-20
SF,Danuel House,3600,PHI,MIL,2022-10-20
SF/PF,Thanasis Antetokounmpo,3500,MIL,PHI,2022-10-20
PG,Scotty Pippen,3500,LAL,LAC,2022-10-20
PF,Michael Foster,3500,PHI,MIL,2022-10-20
PG,Jaden Springer,3500,PHI,MIL,2022-10-20
PF/C,Sandro Mamukelashvili,3500,MIL,PHI,2022-10-20
SG,A.J. Green,3500,MIL,PHI,2022-10-20
SF,Cole Swider,3500,LAL,LAC,2022-10-20
SG/SF,Joe Ingles,3500,MIL,PHI,2022-10-20
SF,Troy Brown,3500,LAL,LAC,2022-10-20
SF,Julian Champagnie,3500,PHI,MIL,2022-10-20
PG,Shake Milton,3500,PHI,MIL,2022-10-20
PG/SG,Jevon Carter,3500,MIL,PHI,2022-10-20
PF,Wenyen Gabriel,3500,LAL,LAC,2022-10-20
PF/C,Serge Ibaka,3500,MIL,PHI,2022-10-20
SG,Max Christie,3500,LAL,LAC,2022-10-20
SF,Matt Ryan,3500,LAL,LAC,2022-10-20
PG,Jason Preston,3500,LAC,LAL,2022-10-20
SG,Brandon Boston,3500,LAC,LAL,2022-10-20
PF,Moussa Diabate,3500,LAC,LAL,2022-10-20
