pos,name,salary,team,opp,date
PG,Stephen Curry,10700,GS,SAC,2022-10-23
SG/SF,Paul George,9000,LAC,PHO,2022-10-23
PG,De'Aaron Fox,8400,SAC,GS,2022-10-23
SG,Devin Booker,8300,PHO,LAC,2022-10-23
SF/PF,Kawhi Leonard,7700,LAC,PHO,2022-10-23
C/PF,Domantas Sabonis,7700,SAC,GS,2022-10-23
PG,Chris Paul,7400,PHO,LAC,2022-10-23
C,Ivica Zubac,7000,LAC,PHO,2022-10-23
C,Deandre Ayton,7000,PHO,LAC,2022-10-23
SG/SF,Klay Thompson,6800,GS,SAC,2022-10-23
SF/PF,Andrew Wiggins,6700,GS,SAC,2022-10-23
PG/SG,Jordan Poole,6000,GS,SAC,2022-10-23
PF/C,Draymond Green,5900,GS,SAC,2022-10-23
PG/SG,John Wall,5700,LAC,PHO,2022-10-23
SG/SF,Mikal Bridges,5400,PHO,LAC,2022-10-23
SF/PF,Harrison Barnes,5300,SAC,GS,2022-10-23
SG/SF,Kevin Huerter,5300,SAC,GS,2022-10-23
SF/PF,Keegan Murray,5200,SAC,GS,2022-10-23
PG,Reggie Jackson,5000,LAC,PHO,2022-10-23
C,James Wiseman,5000,GS,SAC,2022-10-23
SF/SG,Norman Powell,4900,LAC,PHO,2022-10-23
PF/SF,Marcus Morris,4600,LAC,PHO,2022-10-23
C/PF,Kevon Looney,4500,GS,SAC,2022-10-23
PF/SF,Robert Covington,4400,LAC,PHO,2022-10-23
PG,Davion Mitchell,4400,SAC,GS,2022-10-23
SF/PF,Cameron Johnson,4300,PHO,LAC,2022-10-23
SG/SF,Terence Davis,4100,SAC,GS,2022-10-23
PG/SG,Cameron Payne,4000,PHO,LAC,2022-10-23
SF,Jonathan Kuminga,4000,GS,SAC,2022-10-23
PF,Dario Saric,3900,PHO,LAC,2022-10-23
C/PF,Richaun Holmes,3900,SAC,GS,2022-10-23
SG,Malik Monk,3900,SAC,GS,2022-10-23
SG,Damion Lee,3900,PHO,LAC,2022-10-23
PF/C,JaMychal Green,3800,GS,SAC,2022-10-23
SG/SF,Donte DiVincenzo,3800,GS,SAC,2022-10-23
SF/PF,Nicolas Batum,3800,LAC,PHO,2022-10-23
SG/SF,Terance Mann,3800,LAC,PHO,2022-10-23
SG/SF,Luke Kennard,3800,LAC,PHO,2022-10-23
SG/SF,Torrey Craig,3700,PHO,LAC,2022-10-23
PF,Trey Lyles,3700,SAC,GS,2022-10-23
SF,KZ Okpala,3700,SAC,GS,2022-10-23
SG,Landry Shamet,3700,PHO,LAC,2022-10-23
SF/SG,Amir Coffey,3600,LAC,PHO,2022-10-23
SG,Duane Washington,3600,PHO,LAC,2022-10-23
C,Moses Brown,3600,LAC,PHO,2022-10-23
C,Bismack Biyombo,3600,PHO,LAC,2022-10-23
SG,Moses Moody,3600,GS,SAC,2022-10-23
SG,Keon Ellis,3500,SAC,GS,2022-10-23
SF,Ish Wainright,3500,PHO,LAC,2022-10-23
SF,Anthony Lamb,3500,GS,SAC,2022-10-23
PF/SF,Jae Crowder,3500,PHO,LAC,2022-10-23
C,Jock Landale,3500,PHO,LAC,2022-10-23
SF,Andre Iguodala,3500,GS,SAC,2022-10-23
C/PF,Alex Len,3500,SAC,GS,2022-10-23
SF/SG,Josh Okogie,3500,PHO,LAC,2022-10-23
SF,Chima Moneke,3500,SAC,GS,2022-10-23
C,Chimezie Metu,3500,SAC,GS,2022-10-23
PG,Matthew Dellavedova,3500,SAC,GS,2022-10-23
PG,Jason Preston,3500,LAC,PHO,2022-10-23
SG,Brandon Boston,3500,LAC,PHO,2022-10-23
C,Neemias Queta,3500,SAC,GS,2022-10-23
PF,Moussa Diabate,3500,LAC,PHO,2022-10-23
PG,Ty Jerome,3500,GS,SAC,2022-10-23
SG,Ryan Rollins,3500,GS,SAC,2022-10-23
SF,Patrick Baldwin,3500,GS,SAC,2022-10-23
