pos,name,salary,team,opp,date
C,Nikola Jokic,12200,DEN,HOU,2023-02-28
PG/SG,Luka Doncic,12000,DAL,IND,2023-02-28
PF/SF,Giannis Antetokounmpo,11800,MIL,BKN,2023-02-28
PG,Damian Lillard,11200,POR,GS,2023-02-28
PF/C,Anthony Davis,11000,LAL,MEM,2023-02-28
SG/PG,Shai Gilgeous-Alexander,10700,OKC,SAC,2023-02-28
SF/PF,Kawhi Leonard,10500,LAC,MIN,2023-02-28
SF/PF,LeBron James,10200,LAL,MEM,2023-02-28
PG,Ja Morant,10000,MEM,LAL,2023-02-28
PG,Trae Young,9800,ATL,WAS,2023-02-28
PG/SG,Kyrie Irving,9700,DAL,IND,2023-02-28
C/PF,Domantas Sabonis,9600,SAC,OKC,2023-02-28
PF,Pascal Siakam,9400,TOR,CHI,2023-02-28
SG/SF,Anthony Edwards,9400,MIN,LAC,2023-02-28
PG,De'Aaron Fox,9400,SAC,OKC,2023-02-28
SG,Bradley Beal,9300,WAS,ATL,2023-02-28
PG,Stephen Curry,9200,GS,POR,2023-02-28
C/PF,Kristaps Porzingis,9100,WAS,ATL,2023-02-28
SG/SF,Paul George,9000,LAC,MIN,2023-02-28
PG/SG,Tyrese Haliburton,8900,IND,DAL,2023-02-28
C,Nikola Vucevic,8800,CHI,TOR,2023-02-28
PF/C,Karl-Anthony Towns,8700,MIN,LAC,2023-02-28
PF/SF,Lauri Markkanen,8600,UTA,SA,2023-02-28
PG,Jrue Holiday,8600,MIL,BKN,2023-02-28
SG/PG,Dejounte Murray,8500,ATL,WAS,2023-02-28
C,Jakob Poeltl,8400,TOR,CHI,2023-02-28
PF/C,Jaren Jackson,8300,MEM,LAL,2023-02-28
SG,Klay Thompson,8200,GS,POR,2023-02-28
PG,Fred VanVleet,8200,TOR,CHI,2023-02-28
SF,DeMar DeRozan,8200,CHI,TOR,2023-02-28
PG,Jamal Murray,8100,DEN,HOU,2023-02-28
SG/SF,Zach LaVine,8000,CHI,TOR,2023-02-28
C,Myles Turner,8000,IND,DAL,2023-02-28
C,Rudy Gobert,7900,MIN,LAC,2023-02-28
PF/SF,Scottie Barnes,7800,TOR,CHI,2023-02-28
SG/SF,Mikal Bridges,7800,BKN,MIL,2023-02-28
C,Walker Kessler,7800,UTA,SA,2023-02-28
PF,Aaron Gordon,7700,DEN,HOU,2023-02-28
SG/PG,Josh Giddey,7700,OKC,SAC,2023-02-28
PG,Spencer Dinwiddie,7600,BKN,MIL,2023-02-28
PG/SG,Jordan Poole,7600,GS,POR,2023-02-28
PG,Russell Westbrook,7600,LAC,MIN,2023-02-28
SG/SF,Desmond Bane,7600,MEM,LAL,2023-02-28
SF/PF,Kyle Kuzma,7500,WAS,ATL,2023-02-28
PG,Kevin Porter,7500,HOU,DEN,2023-02-28
SG/PG,Jalen Green,7400,HOU,DEN,2023-02-28
C,Nic Claxton,7400,BKN,MIL,2023-02-28
C,Alperen Sengun,7300,HOU,DEN,2023-02-28
PF/SF,Keldon Johnson,7200,SA,UTA,2023-02-28
C,Brook Lopez,7200,MIL,BKN,2023-02-28
SF,Andrew Wiggins,7200,GS,POR,2023-02-28
