pos,name,salary,team,opp,date
PF/C,Anthony Davis,11500,LAL,PHO,2022-11-22
C,Joel Embiid,11200,PHI,BKN,2022-11-22
SF/PF,Kevin Durant,11000,BKN,PHI,2022-11-22
SF/PF,LeBron James,10800,LAL,PHO,2022-11-22
C,Nikola Jokic,10500,DEN,DET,2022-11-22
PG,Ja Morant,10100,MEM,SAC,2022-11-22
SG,Devin Booker,9900,PHO,LAL,2022-11-22
PG,De'Aaron Fox,9600,SAC,MEM,2022-11-22
SG/PG,James Harden,9500,PHI,BKN,2022-11-22
C/PF,Domantas Sabonis,9500,SAC,MEM,2022-11-22
PG/SG,Kyrie Irving,8800,BKN,PHI,2022-11-22
SF/PF,Tobias Harris,8500,PHI,BKN,2022-11-22
PF/C,Jaren Jackson,8200,MEM,SAC,2022-11-22
SG/SF,Dillon Brooks,8000,MEM,SAC,2022-11-22
PG/SG,Cade Cunningham,7900,DET,DEN,2022-11-22
SG/SF,Desmond Bane,7900,MEM,SAC,2022-11-22
PG/PF,Ben Simmons,7800,BKN,PHI,2022-11-22
PG/SG,Tyrese Maxey,7700,PHI,BKN,2022-11-22
C,Deandre Ayton,7500,PHO,LAL,2022-11-22
PG/SG,De'Anthony Melton,7400,PHI,BKN,2022-11-22
PG,Chris Paul,7300,PHO,LAL,2022-11-22
PG,Russell Westbrook,7200,LAL,PHO,2022-11-22
SG/SF,Mikal Bridges,7200,PHO,LAL,2022-11-22
SG,Jaden Ivey,6900,DET,DEN,2022-11-22
PG/SG,Cameron Payne,6800,PHO,LAL,2022-11-22
PG/SG,Jamal Murray,6700,DEN,DET,2022-11-22
PF/C,Aaron Gordon,6700,DEN,DET,2022-11-22
PG,Bones Hyland,6500,DEN,DET,2022-11-22
SF/SG,John Konchar,6300,MEM,SAC,2022-11-22
SF/PF,Royce O'Neale,6300,BKN,PHI,2022-11-22
PF/SF,Michael Porter,6200,DEN,DET,2022-11-22
SG,Bruce Brown,6100,DEN,DET,2022-11-22
SF/PF,Harrison Barnes,6000,SAC,MEM,2022-11-22
PG,Tyus Jones,5900,MEM,SAC,2022-11-22
SG/SF,Kevin Huerter,5900,SAC,MEM,2022-11-22
C/PF,Isaiah Stewart,5800,DET,DEN,2022-11-22
SF/PF,Bojan Bogdanovic,5800,DET,DEN,2022-11-22
PG,Shake Milton,5800,PHI,BKN,2022-11-22
C,DeAndre Jordan,5700,DEN,DET,2022-11-22
SG/SF,Torrey Craig,5600,PHO,LAL,2022-11-22
PG,Killian Hayes,5600,DET,DEN,2022-11-22
SF,Saddiq Bey,5600,DET,DEN,2022-11-22
C,Nic Claxton,5500,BKN,PHI,2022-11-22
PF,Santi Aldama,5500,MEM,SAC,2022-11-22
C,Jalen Duren,5400,DET,DEN,2022-11-22
SF/SG,Austin Reaves,5400,LAL,PHO,2022-11-22
SG/SF,Kentavious Caldwell-Pope,5300,DEN,DET,2022-11-22
C,Steven Adams,5300,MEM,SAC,2022-11-22
C,Montrezl Harrell,5300,PHI,BKN,2022-11-22
SF/PF,Keegan Murray,5200,SAC,MEM,2022-11-22
PF/C,Marvin Bagley,5200,DET,DEN,2022-11-22
SG/SF,Lonnie Walker,5200,LAL,PHO,2022-11-22
SG/PG,Dennis Schroder,5100,LAL,PHO,2022-11-22
PF/C,Brandon Clarke,5000,MEM,SAC,2022-11-22
PF,Georges Niang,5000,PHI,BKN,2022-11-22
SG,Malik Monk,5000,SAC,MEM,2022-11-22
C,Paul Reed,5000,PHI,BKN,2022-11-22
PF,P.J. Tucker,4700,PHI,BKN,2022-11-22
PG/SG,Alec Burks,4700,DET,DEN,2022-11-22
PG/SG,Seth Curry,4700,BKN,PHI,2022-11-22
C,Bismack Biyombo,4600,PHO,LAL,2022-11-22
C,Thomas Bryant,4600,LAL,PHO,2022-11-22
SF,Danuel House,4500,PHI,BKN,2022-11-22
PG,Cory Joseph,4400,DET,DEN,2022-11-22
SG,Damion Lee,4400,PHO,LAL,2022-11-22
SG/SF,Joe Harris,4400,BKN,PHI,2022-11-22
SG,Yuta Watanabe,4400,BKN,PHI,2022-11-22
SG/SF,Terence Davis,4300,SAC,MEM,2022-11-22
PF/SF,Markieff Morris,4300,BKN,PHI,2022-11-22
SF,Troy Brown,4300,LAL,PHO,2022-11-22
PG/SG,Patrick Beverley,4200,LAL,PHO,2022-11-22
SG,Landry Shamet,4200,PHO,LAL,2022-11-22
