pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12000,MIL,LAL,2022-12-02
C,Joel Embiid,11500,PHI,MEM,2022-12-02
C,Nikola Jokic,11200,DEN,ATL,2022-12-02
PF/C,Anthony Davis,11000,LAL,MIL,2022-12-02
PF/SF,Jayson Tatum,10800,BOS,MIA,2022-12-02
SF/PF,Kevin Durant,10600,BKN,TOR,2022-12-02
PG,Stephen Curry,10300,GS,CHI,2022-12-02
SG,Devin Booker,10200,PHO,HOU,2022-12-02
SF/PF,LeBron James,10100,LAL,MIL,2022-12-02
PG,Ja Morant,9900,MEM,PHI,2022-12-02
PG,Trae Young,9800,ATL,DEN,2022-12-02
PG/SG,Tyrese Haliburton,9600,IND,UTA,2022-12-02
C/PF,Pascal Siakam,9400,TOR,BKN,2022-12-02
SG/PG,James Harden,9300,PHI,MEM,2022-12-02
C/PF,Kristaps Porzingis,9100,WAS,CHA,2022-12-02
C/PF,Bam Adebayo,9000,MIA,BOS,2022-12-02
PF,Zion Williamson,8900,NO,SA,2022-12-02
SG/PG,Dejounte Murray,8800,ATL,DEN,2022-12-02
SF/PF,Jimmy Butler,8800,MIA,BOS,2022-12-02
SG/PG,Donovan Mitchell,8700,CLE,ORL,2022-12-02
SG/SF,DeMar DeRozan,8600,CHI,GS,2022-12-02
SG/PG,Darius Garland,8500,CLE,ORL,2022-12-02
SG,Bradley Beal,8400,WAS,CHA,2022-12-02
PG,Fred VanVleet,8300,TOR,BKN,2022-12-02
PG,LaMelo Ball,8200,CHA,WAS,2022-12-02
PG/SG,Kyrie Irving,8100,BKN,TOR,2022-12-02
SF/SG,Jaylen Brown,8100,BOS,MIA,2022-12-02
C,Deandre Ayton,8000,PHO,HOU,2022-12-02
C/PF,Myles Turner,7900,IND,UTA,2022-12-02
SG/SF,Desmond Bane,7900,MEM,PHI,2022-12-02
PF/C,Jaren Jackson,7800,MEM,PHI,2022-12-02
PG/SG,Tyrese Maxey,7800,PHI,MEM,2022-12-02
PG/SG,Jrue Holiday,7800,MIL,LAL,2022-12-02
PF/SF,Paolo Banchero,7700,ORL,CLE,2022-12-02
PG,Kevin Porter,7700,HOU,PHO,2022-12-02
SF/SG,Brandon Ingram,7600,NO,SA,2022-12-02
SF/PF,Kyle Kuzma,7600,WAS,CHA,2022-12-02
PG/SG,CJ McCollum,7600,NO,SA,2022-12-02
C,Nikola Vucevic,7500,CHI,GS,2022-12-02
PF/SF,Lauri Markkanen,7500,UTA,IND,2022-12-02
SF/SG,OG Anunoby,7500,TOR,BKN,2022-12-02
C,Jakob Poeltl,7400,SA,NO,2022-12-02
SG/PG,Terry Rozier,7400,CHA,WAS,2022-12-02
SG/SF,Tyler Herro,7400,MIA,BOS,2022-12-02
PG,Kyle Lowry,7400,MIA,BOS,2022-12-02
SF/SG,Khris Middleton,7400,MIL,LAL,2022-12-02
PG/PF,Ben Simmons,7300,BKN,TOR,2022-12-02
PF/SF,Scottie Barnes,7300,TOR,BKN,2022-12-02
SG/SF,Zach LaVine,7300,CHI,GS,2022-12-02
PF/C,Evan Mobley,7200,CLE,ORL,2022-12-02
SF/SG,Kelly Oubre,7200,CHA,WAS,2022-12-02
PG/SG,Jamal Murray,7100,DEN,ATL,2022-12-02
C,Alperen Sengun,7100,HOU,PHO,2022-12-02
PG,Chris Paul,7100,PHO,HOU,2022-12-02
C/PF,Wendell Carter,7000,ORL,CLE,2022-12-02
PF/SF,Keldon Johnson,7000,SA,NO,2022-12-02
PG,Russell Westbrook,7000,LAL,MIL,2022-12-02
SG,Devin Vassell,7000,SA,NO,2022-12-02
SF/PF,Andrew Wiggins,7000,GS,CHI,2022-12-02
SG/SF,Mikal Bridges,6900,PHO,HOU,2022-12-02
