pos,name,salary,team,opp,date
C/PF,Nikola Jokic,11600,DEN,UTA,2022-10-19
PG/SG,Luka Doncic,10900,DAL,PHO,2022-10-19
SF/PF,Kevin Durant,10000,BKN,NO,2022-10-19
PG,Ja Morant,9600,MEM,NY,2022-10-19
PF/C,Karl-Anthony Towns,9300,MIN,OKC,2022-10-19
PG,Trae Young,9100,ATL,HOU,2022-10-19
PG/SG,Kyrie Irving,8900,BKN,NO,2022-10-19
PG/SG,Dejounte Murray,8800,ATL,HOU,2022-10-19
SG/SF,DeMar DeRozan,8700,CHI,MIA,2022-10-19
PF,Zion Williamson,8600,NO,BKN,2022-10-19
C/PF,Domantas Sabonis,8600,SAC,POR,2022-10-19
C/PF,Pascal Siakam,8500,TOR,CLE,2022-10-19
SF/PF,Jimmy Butler,8400,MIA,CHI,2022-10-19
SG,Devin Booker,8300,PHO,DAL,2022-10-19
SG,Bradley Beal,8200,WAS,IND,2022-10-19
PG,Damian Lillard,8200,POR,SAC,2022-10-19
SG/PG,Shai Gilgeous-Alexander,8100,OKC,MIN,2022-10-19
SG/PG,Darius Garland,8100,CLE,TOR,2022-10-19
PG,De'Aaron Fox,8000,SAC,POR,2022-10-19
PG/SG,Tyrese Haliburton,8000,IND,WAS,2022-10-19
PG,LaMelo Ball,7900,CHA,SA,2022-10-19
PG/SG,Cade Cunningham,7900,DET,ORL,2022-10-19
SG/PG,Donovan Mitchell,7900,CLE,TOR,2022-10-19
C/PF,Kristaps Porzingis,7900,WAS,IND,2022-10-19
C/PF,Bam Adebayo,7900,MIA,CHI,2022-10-19
C,Rudy Gobert,7800,MIN,OKC,2022-10-19
PG,Chris Paul,7800,PHO,DAL,2022-10-19
PG,Fred VanVleet,7700,TOR,CLE,2022-10-19
SG/SF,Anthony Edwards,7700,MIN,OKC,2022-10-19
C,Nikola Vucevic,7600,CHI,MIA,2022-10-19
PG,Ben Simmons,7600,BKN,NO,2022-10-19
SF/SG,Brandon Ingram,7500,NO,BKN,2022-10-19
PF/C,Julius Randle,7500,NY,MEM,2022-10-19
PG/SF,Kevin Porter,7400,HOU,ATL,2022-10-19
C/PF,Evan Mobley,7300,CLE,TOR,2022-10-19
PG/SG,CJ McCollum,7300,NO,BKN,2022-10-19
SG/SF,Zach LaVine,7300,CHI,MIA,2022-10-19
SG/PG,Terry Rozier,7200,CHA,SA,2022-10-19
PF/C,Wendell Carter,7100,ORL,DET,2022-10-19
PG/SG,Jalen Brunson,7100,NY,MEM,2022-10-19
