pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,11600,MIL,ATL,2023-01-11
C,Nikola Jokic,11500,DEN,PHO,2023-01-11
PF/SF,Jayson Tatum,10600,BOS,NO,2023-01-11
PF/C,Julius Randle,10200,NY,IND,2023-01-11
PG,Ja Morant,10100,MEM,SA,2023-01-11
C/PF,Domantas Sabonis,9900,SAC,HOU,2023-01-11
PF,Zion Williamson,9700,NO,BOS,2023-01-11
PG,Trae Young,9600,ATL,MIL,2023-01-11
PG/SG,Tyrese Haliburton,9500,IND,NY,2023-01-11
SG,Devin Booker,9200,PHO,DEN,2023-01-11
PF/C,Karl-Anthony Towns,9000,MIN,DET,2023-01-11
PG/SG,CJ McCollum,8800,NO,BOS,2023-01-11
C/PF,Kristaps Porzingis,8700,WAS,CHI,2023-01-11
PG,De'Aaron Fox,8600,SAC,HOU,2023-01-11
SG/SF,Anthony Edwards,8600,MIN,DET,2023-01-11
SG/SF,Zach LaVine,8500,CHI,WAS,2023-01-11
SF/SG,Jaylen Brown,8500,BOS,NO,2023-01-11
C,Nikola Vucevic,8400,CHI,WAS,2023-01-11
SG/SF,DeMar DeRozan,8400,CHI,WAS,2023-01-11
PG/SG,Jalen Brunson,8300,NY,IND,2023-01-11
SG/PG,Dejounte Murray,8200,ATL,MIL,2023-01-11
SG,Bradley Beal,8100,WAS,CHI,2023-01-11
PG/SG,Jamal Murray,8000,DEN,PHO,2023-01-11
PF/C,Jaren Jackson,8000,MEM,SA,2023-01-11
PG,Kevin Porter,7900,HOU,SAC,2023-01-11
C/PF,Myles Turner,7900,IND,NY,2023-01-11
PG,Chris Paul,7800,PHO,DEN,2023-01-11
C,Deandre Ayton,7700,PHO,DEN,2023-01-11
SF/SG,Brandon Ingram,7600,NO,BOS,2023-01-11
C,Rudy Gobert,7500,MIN,DET,2023-01-11
PG/SG,Jrue Holiday,7500,MIL,ATL,2023-01-11
SF/PF,Kyle Kuzma,7400,WAS,CHI,2023-01-11
SG/SF,Desmond Bane,7400,MEM,SA,2023-01-11
C,Steven Adams,7300,MEM,SA,2023-01-11
C,Jonas Valanciunas,7200,NO,BOS,2023-01-11
PG,Killian Hayes,7100,DET,MIN,2023-01-11
PF/C,John Collins,7100,ATL,MIL,2023-01-11
SG/PG,Jalen Green,7000,HOU,SAC,2023-01-11
PG/SG,D'Angelo Russell,7000,MIN,DET,2023-01-11
SF/SG,RJ Barrett,6900,NY,IND,2023-01-11
PF/C,Aaron Gordon,6800,DEN,PHO,2023-01-11
SF/SG,Khris Middleton,6800,MIL,ATL,2023-01-11
PF/SF,Keldon Johnson,6700,SA,MEM,2023-01-11
SG,Devin Vassell,6700,SA,MEM,2023-01-11
SG/SF,Buddy Hield,6600,IND,NY,2023-01-11
PG,Tyus Jones,6600,MEM,SA,2023-01-11
PF/C,Bobby Portis,6500,MIL,ATL,2023-01-11
C,Brook Lopez,6500,MIL,ATL,2023-01-11
C,Jakob Poeltl,6400,SA,MEM,2023-01-11
PG,Tre Jones,6400,SA,MEM,2023-01-11
SF/PF,Bojan Bogdanovic,6300,DET,MIN,2023-01-11
C,Alperen Sengun,6300,HOU,SAC,2023-01-11
SF/PF,Kyle Anderson,6200,MIN,DET,2023-01-11
C,Mitchell Robinson,6200,NY,IND,2023-01-11
SG/SF,Mikal Bridges,6100,PHO,DEN,2023-01-11
SF/PF,De'Andre Hunter,6100,ATL,MIL,2023-01-11
C,Clint Capela,6100,ATL,MIL,2023-01-11
SG/SF,Dillon Brooks,6100,MEM,SA,2023-01-11
SF,Naji Marshall,6100,NO,BOS,2023-01-11
SG/SF,Kevin Huerter,6000,SAC,HOU,2023-01-11
C/PF,Isaiah Stewart,6000,DET,MIN,2023-01-11
C,Onyeka Okongwu,6000,ATL,MIL,2023-01-11
