pos,name,salary,team,opp,date
C,Joel Embiid,11500,PHI,SA,2023-02-03
PF/SF,Jayson Tatum,11000,BOS,PHO,2023-02-03
PG,Damian Lillard,10200,POR,WAS,2023-02-03
C/PF,Domantas Sabonis,9900,SAC,IND,2023-02-03
SG/SF,Anthony Edwards,9700,MIN,ORL,2023-02-03
PG,Trae Young,9500,ATL,UTA,2023-02-03
C/PF,Kristaps Porzingis,9400,WAS,POR,2023-02-03
SG/PG,James Harden,9300,PHI,SA,2023-02-03
C/PF,Pascal Siakam,9200,TOR,HOU,2023-02-03
PG,LaMelo Ball,9100,CHA,DET,2023-02-03
PG/SG,Tyrese Haliburton,9100,IND,SAC,2023-02-03
SG,Devin Booker,9000,PHO,BOS,2023-02-03
PF/C,Karl-Anthony Towns,9000,MIN,ORL,2023-02-03
PG,Fred VanVleet,8900,TOR,HOU,2023-02-03
PG,De'Aaron Fox,8800,SAC,IND,2023-02-03
PF/SF,Lauri Markkanen,8700,UTA,ATL,2023-02-03
SG/PG,Dejounte Murray,8600,ATL,UTA,2023-02-03
SF/SG,Jaylen Brown,8500,BOS,PHO,2023-02-03
C,Alperen Sengun,8400,HOU,TOR,2023-02-03
PG,Chris Paul,8300,PHO,BOS,2023-02-03
PF/SF,Scottie Barnes,8200,TOR,HOU,2023-02-03
SF/PF,Kyle Kuzma,8100,WAS,POR,2023-02-03
SG,Bradley Beal,8000,WAS,POR,2023-02-03
SG/PG,Terry Rozier,7900,CHA,DET,2023-02-03
C,Deandre Ayton,7900,PHO,BOS,2023-02-03
PG,Kevin Porter,7800,HOU,TOR,2023-02-03
PF/SF,Paolo Banchero,7700,ORL,MIN,2023-02-03
C,Rudy Gobert,7600,MIN,ORL,2023-02-03
PF/SF,Keldon Johnson,7500,SA,PHI,2023-02-03
C/PF,Myles Turner,7500,IND,SAC,2023-02-03
SG/SF,Mikal Bridges,7400,PHO,BOS,2023-02-03
C,Walker Kessler,7300,UTA,ATL,2023-02-03
PG/SG,D'Angelo Russell,7200,MIN,ORL,2023-02-03
C,Mason Plumlee,7100,CHA,DET,2023-02-03
SG/PG,Jalen Green,7000,HOU,TOR,2023-02-03
C,Jusuf Nurkic,7000,POR,WAS,2023-02-03
C,Clint Capela,6900,ATL,UTA,2023-02-03
SG/SF,Buddy Hield,6800,IND,SAC,2023-02-03
C/PF,Wendell Carter,6800,ORL,MIN,2023-02-03
SF/PF,Bojan Bogdanovic,6700,DET,CHA,2023-02-03
PF,Jerami Grant,6700,POR,WAS,2023-02-03
SF/SG,Franz Wagner,6600,ORL,MIN,2023-02-03
PG/SG,Jordan Clarkson,6600,UTA,ATL,2023-02-03
PG/SG,Markelle Fultz,6600,ORL,MIN,2023-02-03
SF/SG,OG Anunoby,6600,TOR,HOU,2023-02-03
SF/SG,Kelly Oubre,6500,CHA,DET,2023-02-03
PF/C,Precious Achiuwa,6500,TOR,HOU,2023-02-03
SG,Devin Vassell,6500,SA,PHI,2023-02-03
SF,Saddiq Bey,6500,DET,CHA,2023-02-03
C,Jakob Poeltl,6400,SA,PHI,2023-02-03
SF/PF,Kyle Anderson,6400,MIN,ORL,2023-02-03
SG/PG,Anfernee Simons,6400,POR,WAS,2023-02-03
SG/PG,Marcus Smart,6300,BOS,PHO,2023-02-03
SF/PF,Tobias Harris,6300,PHI,SA,2023-02-03
SG/SF,Gary Trent,6300,TOR,HOU,2023-02-03
SG,Jaden Ivey,6200,DET,CHA,2023-02-03
PF/C,P.J. Washington,6200,CHA,DET,2023-02-03
PG/SG,Malcolm Brogdon,6200,BOS,PHO,2023-02-03
PG,Killian Hayes,6100,DET,CHA,2023-02-03
SF/PF,Deni Avdija,6100,WAS,POR,2023-02-03
C,Daniel Gafford,6100,WAS,POR,2023-02-03
PG,Mike Conley,6100,UTA,ATL,2023-02-03
SG/SF,Bennedict Mathurin,6000,IND,SAC,2023-02-03
SF,Tari Eason,6000,HOU,TOR,2023-02-03
C,Jalen Duren,6000,DET,CHA,2023-02-03
SF/SG,Bogdan Bogdanovic,6000,ATL,UTA,2023-02-03
PG/SG,Tyrese Maxey,6000,PHI,SA,2023-02-03
PG/SG,T.J. McConnell,6000,IND,SAC,2023-02-03
PG/SG,Derrick White,5900,BOS,PHO,2023-02-03
PF/C,Robert Williams,5900,BOS,PHO,2023-02-03
SG/SF,Josh Hart,5800,POR,WAS,2023-02-03
SF/PF,Kenyon Martin,5800,HOU,TOR,2023-02-03
SF/PF,Harrison Barnes,5700,SAC,IND,2023-02-03
SF/SG,Gordon Hayward,5700,CHA,DET,2023-02-03
PF,Jabari Smith,5700,HOU,TOR,2023-02-03
PF/C,John Collins,5600,ATL,UTA,2023-02-03
SF/PF,Jeremy Sochan,5600,SA,PHI,2023-02-03
SF/PF,De'Andre Hunter,5600,ATL,UTA,2023-02-03
C,Naz Reid,5600,MIN,ORL,2023-02-03
PG,Tre Jones,5600,SA,PHI,2023-02-03
SG/SF,Kevin Huerter,5500,SAC,IND,2023-02-03
SF/SG,Josh Richardson,5500,SA,PHI,2023-02-03
PG/SG,Cole Anthony,5500,ORL,MIN,2023-02-03
SF/PF,Keegan Murray,5400,SAC,IND,2023-02-03
SF/SG,Eric Gordon,5400,HOU,TOR,2023-02-03
SF/PF,Jaden McDaniels,5400,MIN,ORL,2023-02-03
PF/C,Zach Collins,5400,SA,PHI,2023-02-03
C/PF,Al Horford,5300,BOS,PHO,2023-02-03
SG,Malik Monk,5300,SAC,IND,2023-02-03
PF,Keita Bates-Diop,5200,SA,PHI,2023-02-03
SG/SF,Hamidou Diallo,5200,DET,CHA,2023-02-03
SF/PF,Cameron Johnson,5200,PHO,BOS,2023-02-03
PF,Dario Saric,5100,PHO,BOS,2023-02-03
