pos,name,salary,team,opp,date
PG/SG,Luka Doncic,11800,DAL,LAC,2023-02-08
C,Joel Embiid,11500,PHI,BOS,2023-02-08
PF/SF,Jayson Tatum,11000,BOS,PHI,2023-02-08
SF/PF,Kawhi Leonard,10200,LAC,DAL,2023-02-08
PG,Damian Lillard,10000,POR,GS,2023-02-08
PG,LaMelo Ball,9900,CHA,WAS,2023-02-08
PG/SG,Kyrie Irving,9800,DAL,LAC,2023-02-08
PG,Stephen Curry,9600,GS,POR,2023-02-08
C/PF,Domantas Sabonis,9500,SAC,HOU,2023-02-08
SG/PG,James Harden,9300,PHI,BOS,2023-02-08
SG/SF,Anthony Edwards,9100,MIN,UTA,2023-02-08
C/PF,Kristaps Porzingis,9000,WAS,CHA,2023-02-08
PG,Fred VanVleet,8900,TOR,SA,2023-02-08
PG,De'Aaron Fox,8900,SAC,HOU,2023-02-08
SF/PF,Jimmy Butler,8800,MIA,IND,2023-02-08
PG/SG,Tyrese Haliburton,8800,IND,MIA,2023-02-08
PF/C,Karl-Anthony Towns,8700,MIN,UTA,2023-02-08
C/PF,Bam Adebayo,8700,MIA,IND,2023-02-08
C/PF,Pascal Siakam,8600,TOR,SA,2023-02-08
SF/SG,Jaylen Brown,8600,BOS,PHI,2023-02-08
PF/SF,Lauri Markkanen,8500,UTA,MIN,2023-02-08
SG/SF,Paul George,8400,LAC,DAL,2023-02-08
SG/PG,Donovan Mitchell,8300,CLE,DET,2023-02-08
SG/PG,Darius Garland,8200,CLE,DET,2023-02-08
C/PF,Myles Turner,8100,IND,MIA,2023-02-08
C,Alperen Sengun,8000,HOU,SAC,2023-02-08
PF/C,Christian Wood,8000,DAL,LAC,2023-02-08
PF/C,Evan Mobley,7900,CLE,DET,2023-02-08
SG/SF,Klay Thompson,7800,GS,POR,2023-02-08
SG,Bradley Beal,7800,WAS,CHA,2023-02-08
SF/PF,Kyle Kuzma,7700,WAS,CHA,2023-02-08
PF/SF,Scottie Barnes,7700,TOR,SA,2023-02-08
PG/SG,Jordan Poole,7600,GS,POR,2023-02-08
PG,Kevin Porter,7500,HOU,SAC,2023-02-08
PF/C,Draymond Green,7500,GS,POR,2023-02-08
C/PF,Jarrett Allen,7400,CLE,DET,2023-02-08
PG/SG,D'Angelo Russell,7400,MIN,UTA,2023-02-08
SG/PG,Terry Rozier,7300,CHA,WAS,2023-02-08
SG/SF,Tyler Herro,7300,MIA,IND,2023-02-08
C,Walker Kessler,7200,UTA,MIN,2023-02-08
C,Rudy Gobert,7200,MIN,UTA,2023-02-08
PF/SF,Keldon Johnson,7100,SA,TOR,2023-02-08
C,Jusuf Nurkic,7100,POR,GS,2023-02-08
C,Mason Plumlee,7000,CHA,WAS,2023-02-08
SG/PG,Jalen Green,6900,HOU,SAC,2023-02-08
SF,Saddiq Bey,6800,DET,CLE,2023-02-08
C,Jakob Poeltl,6700,SA,TOR,2023-02-08
SG/SF,Buddy Hield,6700,IND,MIA,2023-02-08
SF/PF,Bojan Bogdanovic,6600,DET,CLE,2023-02-08
PF,Jerami Grant,6600,POR,GS,2023-02-08
PG/SG,Jordan Clarkson,6500,UTA,MIN,2023-02-08
SG,Devin Vassell,6500,SA,TOR,2023-02-08
SF/SG,OG Anunoby,6500,TOR,SA,2023-02-08
SG/PG,Anfernee Simons,6400,POR,GS,2023-02-08
SF/SG,Kelly Oubre,6400,CHA,WAS,2023-02-08
SG/PG,Marcus Smart,6300,BOS,PHI,2023-02-08
SF/PF,Tobias Harris,6300,PHI,BOS,2023-02-08
PF/C,Precious Achiuwa,6300,TOR,SA,2023-02-08
SF/PF,Andrew Wiggins,6300,GS,POR,2023-02-08
PG,Killian Hayes,6200,DET,CLE,2023-02-08
SF/PF,Deni Avdija,6200,WAS,CHA,2023-02-08
PG,Mike Conley,6200,UTA,MIN,2023-02-08
PG/SG,Derrick White,6100,BOS,PHI,2023-02-08
