pos,name,salary,team,opp,date
SG/PG,Shai Gilgeous-Alexander,10700,OKC,MIN,2022-12-03
PG,Stephen Curry,10500,GS,HOU,2022-12-03
C/PF,Pascal Siakam,9900,TOR,ORL,2022-12-03
PG,Damian Lillard,9200,POR,UTA,2022-12-03
PF/C,Karl-Anthony Towns,8900,MIN,OKC,2022-12-03
SG/SF,Anthony Edwards,8600,MIN,OKC,2022-12-03
SG/PG,Anfernee Simons,8400,POR,UTA,2022-12-03
PF,Jerami Grant,8200,POR,UTA,2022-12-03
PF/SF,Lauri Markkanen,8100,UTA,POR,2022-12-03
PG,Fred VanVleet,8000,TOR,ORL,2022-12-03
PG,Kevin Porter,7900,HOU,GS,2022-12-03
PF/SF,Paolo Banchero,7700,ORL,TOR,2022-12-03
SG/PG,Josh Giddey,7500,OKC,MIN,2022-12-03
SF/SG,OG Anunoby,7400,TOR,ORL,2022-12-03
PF/SF,Scottie Barnes,7300,TOR,ORL,2022-12-03
C,Rudy Gobert,7200,MIN,OKC,2022-12-03
C/PF,Wendell Carter,7000,ORL,TOR,2022-12-03
C,Alperen Sengun,6900,HOU,GS,2022-12-03
PG/SG,D'Angelo Russell,6800,MIN,OKC,2022-12-03
C,Bol Bol,6700,ORL,TOR,2022-12-03
C/PF,Kelly Olynyk,6600,UTA,POR,2022-12-03
SF/SG,Franz Wagner,6600,ORL,TOR,2022-12-03
C,Jusuf Nurkic,6500,POR,UTA,2022-12-03
SG/PG,Jalen Green,6500,HOU,GS,2022-12-03
SG/SF,Josh Hart,6400,POR,UTA,2022-12-03
PF/C,Draymond Green,6300,GS,HOU,2022-12-03
PG/SG,Jordan Clarkson,6200,UTA,POR,2022-12-03
SG/SF,Gary Trent,6100,TOR,ORL,2022-12-03
SF/PF,Andrew Wiggins,6100,GS,HOU,2022-12-03
PG/SG,Jalen Suggs,6000,ORL,TOR,2022-12-03
SG,Collin Sexton,6000,UTA,POR,2022-12-03
SG/SF,Klay Thompson,5900,GS,HOU,2022-12-03
PG/SG,Jordan Poole,5900,GS,HOU,2022-12-03
PG/SG,Cole Anthony,5800,ORL,TOR,2022-12-03
PG,Mike Conley,5700,UTA,POR,2022-12-03
SF,Justise Winslow,5600,POR,UTA,2022-12-03
SF/SG,Luguentz Dort,5500,OKC,MIN,2022-12-03
C/PF,Chris Boucher,5400,TOR,ORL,2022-12-03
SF/SG,Malik Beasley,5300,UTA,POR,2022-12-03
PF,Jabari Smith,5300,HOU,GS,2022-12-03
PF,Aleksej Pokusevski,5200,OKC,MIN,2022-12-03
C,Mo Bamba,5200,ORL,TOR,2022-12-03
SF/PF,Jaden McDaniels,5100,MIN,OKC,2022-12-03
PG,Jaylen Nowell,5100,MIN,OKC,2022-12-03
PG/SG,Markelle Fultz,5000,ORL,TOR,2022-12-03
PF,Jarred Vanderbilt,5000,UTA,POR,2022-12-03
PG,Tre Mann,4900,OKC,MIN,2022-12-03
SG,Jalen Williams,4800,OKC,MIN,2022-12-03
SF/PF,Kyle Anderson,4700,MIN,OKC,2022-12-03
PF,Thaddeus Young,4600,TOR,ORL,2022-12-03
PF/C,Precious Achiuwa,4500,TOR,ORL,2022-12-03
