pos,name,salary,team,opp,date
C,Joel Embiid,12000,PHI,MIA,2023-03-01
PF/SF,Giannis Antetokounmpo,11800,MIL,ORL,2023-03-01
PF/C,Anthony Davis,11500,LAL,OKC,2023-03-01
PG,Damian Lillard,11000,POR,NO,2023-03-01
PF/SF,Jayson Tatum,10700,BOS,CLE,2023-03-01
SG/PG,Shai Gilgeous-Alexander,10500,OKC,LAL,2023-03-01
SF/PF,Jimmy Butler,10300,MIA,PHI,2023-03-01
SF/PF,LeBron James,10200,LAL,OKC,2023-03-01
SG/PG,James Harden,10100,PHI,MIA,2023-03-01
PG,Ja Morant,10000,MEM,HOU,2023-03-01
SF/PF,Kevin Durant,9900,PHO,CHA,2023-03-01
SG,Devin Booker,9700,PHO,CHA,2023-03-01
SG,Donovan Mitchell,9600,CLE,BOS,2023-03-01
PF,Julius Randle,9500,NY,BKN,2023-03-01
C,Deandre Ayton,9200,PHO,CHA,2023-03-01
C,Bam Adebayo,9100,MIA,PHI,2023-03-01
PG,Jrue Holiday,9000,MIL,ORL,2023-03-01
C,Nikola Vucevic,8900,CHI,DET,2023-03-01
SF/SG,Jaylen Brown,8800,BOS,CLE,2023-03-01
PG,Darius Garland,8600,CLE,BOS,2023-03-01
SF,DeMar DeRozan,8500,CHI,DET,2023-03-01
PG,Jalen Brunson,8400,NY,BKN,2023-03-01
SF,Brandon Ingram,8300,NO,POR,2023-03-01
SG/PG,Terry Rozier,8200,CHA,PHO,2023-03-01
PF/C,Jaren Jackson,8200,MEM,HOU,2023-03-01
PF,Zion Williamson,8100,NO,POR,2023-03-01
SG/SF,Zach LaVine,8000,CHI,DET,2023-03-01
PG,Chris Paul,8000,PHO,CHA,2023-03-01
SG/SF,Mikal Bridges,7900,BKN,NY,2023-03-01
SG/SF,Tyler Herro,7900,MIA,PHI,2023-03-01
PG/SG,CJ McCollum,7800,NO,POR,2023-03-01
SG/PG,Josh Giddey,7800,OKC,LAL,2023-03-01
SG/SF,Desmond Bane,7700,MEM,HOU,2023-03-01
C/PF,Jarrett Allen,7700,CLE,BOS,2023-03-01
PG,Spencer Dinwiddie,7600,BKN,NY,2023-03-01
PF/SF,Paolo Banchero,7600,ORL,MIL,2023-03-01
PF/C,Evan Mobley,7500,CLE,BOS,2023-03-01
PG,Kevin Porter,7500,HOU,MEM,2023-03-01
C,Nic Claxton,7400,BKN,NY,2023-03-01
C,Brook Lopez,7400,MIL,ORL,2023-03-01
SG/PG,Jalen Green,7300,HOU,MEM,2023-03-01
C,Alperen Sengun,7300,HOU,MEM,2023-03-01
C/PF,Wendell Carter,7200,ORL,MIL,2023-03-01
PG,Markelle Fultz,7200,ORL,MIL,2023-03-01
PF/C,P.J. Washington,7100,CHA,PHO,2023-03-01
PG,D'Angelo Russell,7100,LAL,OKC,2023-03-01
C,Jusuf Nurkic,7000,POR,NO,2023-03-01
PG/SG,Derrick White,6900,BOS,CLE,2023-03-01
PF/C,Bobby Portis,6900,MIL,ORL,2023-03-01
SF/SG,Franz Wagner,6800,ORL,MIL,2023-03-01
C,Mark Williams,6800,CHA,PHO,2023-03-01
SF/SG,Gordon Hayward,6700,CHA,PHO,2023-03-01
C,Mitchell Robinson,6700,NY,BKN,2023-03-01
PF/SF,Jerami Grant,6600,POR,NO,2023-03-01
PG/SG,Tyrese Maxey,6600,PHI,MIA,2023-03-01
C,Steven Adams,6500,MEM,HOU,2023-03-01
SF/PF,Bojan Bogdanovic,6500,DET,CHI,2023-03-01
PG,Marcus Smart,6400,BOS,CLE,2023-03-01
SF/SG,RJ Barrett,6400,NY,BKN,2023-03-01
SF/SG,Kelly Oubre,6400,CHA,PHO,2023-03-01
SF/SG,Josh Richardson,6300,NO,POR,2023-03-01
SG,Khris Middleton,6300,MIL,ORL,2023-03-01
PG/SG,Malcolm Brogdon,6300,BOS,CLE,2023-03-01
PG,Killian Hayes,6200,DET,CHI,2023-03-01
C,Jonas Valanciunas,6200,NO,POR,2023-03-01
SF/SG,Jalen Williams,6200,OKC,LAL,2023-03-01
PF,Jabari Smith,6200,HOU,MEM,2023-03-01
SF/PF,Kenyon Martin,6100,HOU,MEM,2023-03-01
SG/PG,Anfernee Simons,6100,POR,NO,2023-03-01
PG,Dennis Smith,6100,CHA,PHO,2023-03-01
SF/SG,Luguentz Dort,6000,OKC,LAL,2023-03-01
PF,Tobias Harris,6000,PHI,MIA,2023-03-01
C,Robert Williams,6000,BOS,CLE,2023-03-01
SG,Jaden Ivey,6000,DET,CHI,2023-03-01
SG/SF,Josh Hart,5900,NY,BKN,2023-03-01
SG/SF,Cam Thomas,5900,BKN,NY,2023-03-01
PF,Jarred Vanderbilt,5900,LAL,OKC,2023-03-01
SG/PG,Dennis Schroder,5900,LAL,OKC,2023-03-01
SF/SG,Josh Okogie,5800,PHO,CHA,2023-03-01
C,James Wiseman,5800,DET,CHI,2023-03-01
SG/PG,Immanuel Quickley,5800,NY,BKN,2023-03-01
PG/PF,Ben Simmons,5700,BKN,NY,2023-03-01
C/PF,Al Horford,5700,BOS,CLE,2023-03-01
C/PF,Isaiah Stewart,5700,DET,CHI,2023-03-01
SF/PF,Caleb Martin,5600,MIA,PHI,2023-03-01
PF/C,Marvin Bagley,5600,DET,CHI,2023-03-01
SG/SF,Hamidou Diallo,5600,DET,CHI,2023-03-01
SF/PF,Cameron Johnson,5600,BKN,NY,2023-03-01
PG/SG,Cole Anthony,5600,ORL,MIL,2023-03-01
PF/C,Kevin Love,5500,MIA,PHI,2023-03-01
SF,Tari Eason,5500,HOU,MEM,2023-03-01
SF,Torrey Craig,5500,PHO,CHA,2023-03-01
PG/SG,Jalen Suggs,5400,ORL,MIL,2023-03-01
SG/SF,Cam Reddish,5400,POR,NO,2023-03-01
SF/PF,Patrick Williams,5400,CHI,DET,2023-03-01
PG,Isaiah Joe,5400,OKC,LAL,2023-03-01
SF/SG,Malik Beasley,5300,LAL,OKC,2023-03-01
SG/SF,Caris LeVert,5300,CLE,BOS,2023-03-01
PF/C,Xavier Tillman,5300,MEM,HOU,2023-03-01
C/PF,Drew Eubanks,5300,POR,NO,2023-03-01
PF/C,Larry Nance,5200,NO,POR,2023-03-01
PG/SG,Gabe Vincent,5200,MIA,PHI,2023-03-01
SF,Trey Murphy,5200,NO,POR,2023-03-01
SG/SF,Herbert Jones,5200,NO,POR,2023-03-01
PG,Tyus Jones,5200,MEM,HOU,2023-03-01
PG/SG,Alec Burks,5100,DET,CHI,2023-03-01
PF/C,Brandon Clarke,5100,MEM,HOU,2023-03-01
SF,Naji Marshall,5100,NO,POR,2023-03-01
SG/SF,Max Strus,5000,MIA,PHI,2023-03-01
PF/C,Jaylin Williams,5000,OKC,LAL,2023-03-01
C,Jalen Duren,5000,DET,CHI,2023-03-01
SF,Nassir Little,5000,POR,NO,2023-03-01
SG,Victor Oladipo,5000,MIA,PHI,2023-03-01
SG/SF,Dillon Brooks,5000,MEM,HOU,2023-03-01
PF,Santi Aldama,4900,MEM,HOU,2023-03-01
PF,Rui Hachimura,4900,LAL,OKC,2023-03-01
PG,Kyle Lowry,4900,MIA,PHI,2023-03-01
SF/PF,Jae'Sean Tate,4800,HOU,MEM,2023-03-01
PG/SG,Coby White,4800,CHI,DET,2023-03-01
PG,TyTy Washington,4800,HOU,MEM,2023-03-01
SF,Kenrich Williams,4800,OKC,LAL,2023-03-01
C,Nick Richards,4800,CHA,PHO,2023-03-01
PG/SG,Alex Caruso,4800,CHI,DET,2023-03-01
SF/SG,Pat Connaughton,4700,MIL,ORL,2023-03-01
PG,Ricky Rubio,4700,CLE,BOS,2023-03-01
PG/SG,De'Anthony Melton,4700,PHI,MIA,2023-03-01
SF,Justise Winslow,4700,POR,NO,2023-03-01
PF,Grant Williams,4700,BOS,CLE,2023-03-01
PF/C,Isaiah Hartenstein,4700,NY,BKN,2023-03-01
PF/C,Willy Hernangomez,4600,NO,POR,2023-03-01
C,Mo Bamba,4600,LAL,OKC,2023-03-01
SF/SG,Austin Reaves,4600,LAL,OKC,2023-03-01
SF/PF,Dorian Finney-Smith,4600,BKN,NY,2023-03-01
SF,Sam Hauser,4500,BOS,CLE,2023-03-01
PF,Trendon Watford,4500,POR,NO,2023-03-01
SF/PF,Cedi Osman,4500,CLE,BOS,2023-03-01
PF/SF,Jalen McDaniels,4500,PHI,MIA,2023-03-01
SG,Shaedon Sharpe,4500,POR,NO,2023-03-01
SF/PF,Royce O'Neale,4500,BKN,NY,2023-03-01
PF/C,Day'Ron Sharpe,4400,BKN,NY,2023-03-01
PG/SG,Ayo Dosunmu,4400,CHI,DET,2023-03-01
PG,Jose Alvarado,4400,NO,POR,2023-03-01
PG,Patrick Beverley,4400,CHI,DET,2023-03-01
C,Andre Drummond,4400,CHI,DET,2023-03-01
PF,Moritz Wagner,4400,ORL,MIL,2023-03-01
PF/SF,Jae Crowder,4400,MIL,ORL,2023-03-01
SG,Gary Harris,4400,ORL,MIL,2023-03-01
SF,Ish Wainright,4300,PHO,CHA,2023-03-01
SG/SF,Quentin Grimes,4300,NY,BKN,2023-03-01
PG/SG,Ryan Arcidiacono,4300,POR,NO,2023-03-01
PG,Daishen Nix,4300,HOU,MEM,2023-03-01
PG/SG,Jevon Carter,4300,MIL,ORL,2023-03-01
SG/SF,Grayson Allen,4300,MIL,ORL,2023-03-01
C,Bol Bol,4300,ORL,MIL,2023-03-01
PG/SG,Cameron Payne,4300,PHO,CHA,2023-03-01
C,Mike Muscala,4300,BOS,CLE,2023-03-01
SG/SF,Joe Harris,4300,BKN,NY,2023-03-01
PF,Isaiah Livers,4200,DET,CHI,2023-03-01
SF,Troy Brown,4200,LAL,OKC,2023-03-01
PG/SG,Seth Curry,4200,BKN,NY,2023-03-01
SF,Matisse Thybulle,4200,POR,NO,2023-03-01
SG,Landry Shamet,4200,PHO,CHA,2023-03-01
PF,P.J. Tucker,4200,PHI,MIA,2023-03-01
SF/PF,Jonathan Isaac,4200,ORL,MIL,2023-03-01
SF/SG,Isaac Okoro,4200,CLE,BOS,2023-03-01
SG,Josh Christopher,4100,HOU,MEM,2023-03-01
SG,Aaron Wiggins,4100,OKC,LAL,2023-03-01
SF,Haywood Highsmith,4100,MIA,PHI,2023-03-01
PF/C,Dario Saric,4100,OKC,LAL,2023-03-01
PF/SF,Dean Wade,4100,CLE,BOS,2023-03-01
PF,Blake Griffin,4100,BOS,CLE,2023-03-01
SG,Damion Lee,4100,PHO,CHA,2023-03-01
SF/PF,T.J. Warren,4000,PHO,CHA,2023-03-01
SG,Keon Johnson,4000,POR,NO,2023-03-01
PF,Georges Niang,4000,PHI,MIA,2023-03-01
PF/C,Aleksej Pokusevski,4000,OKC,LAL,2023-03-01
PG,Tre Mann,4000,OKC,LAL,2023-03-01
PG,Cory Joseph,4000,DET,CHI,2023-03-01
