pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12000,DAL,PHI,2023-03-02
C,Joel Embiid,11800,PHI,DAL,2023-03-02
SG/PG,James Harden,10300,PHI,DAL,2023-03-02
SF/PF,Kawhi Leonard,10000,LAC,GS,2023-03-02
PG/SG,Kyrie Irving,9600,DAL,PHI,2023-03-02
SG,Bradley Beal,9400,WAS,TOR,2023-03-02
PF,Pascal Siakam,9300,TOR,WAS,2023-03-02
PG,Stephen Curry,9200,GS,LAC,2023-03-02
PG/SG,Tyrese Haliburton,9200,IND,SA,2023-03-02
C/PF,Kristaps Porzingis,9100,WAS,TOR,2023-03-02
SG/SF,Paul George,9000,LAC,GS,2023-03-02
C,Myles Turner,8600,IND,SA,2023-03-02
C,Jakob Poeltl,8400,TOR,WAS,2023-03-02
SG,Klay Thompson,8300,GS,LAC,2023-03-02
PG,Fred VanVleet,8200,TOR,WAS,2023-03-02
PG,Russell Westbrook,7900,LAC,GS,2023-03-02
PF/SF,Scottie Barnes,7800,TOR,WAS,2023-03-02
SF/PF,Kyle Kuzma,7700,WAS,TOR,2023-03-02
PG/SG,Jordan Poole,7600,GS,LAC,2023-03-02
PF/C,Draymond Green,7400,GS,LAC,2023-03-02
PF/SF,Keldon Johnson,7300,SA,IND,2023-03-02
SF,Andrew Wiggins,7200,GS,LAC,2023-03-02
PF/C,Zach Collins,6800,SA,IND,2023-03-02
SG,Devin Vassell,6700,SA,IND,2023-03-02
C,Daniel Gafford,6600,WAS,TOR,2023-03-02
SF/SG,OG Anunoby,6600,TOR,WAS,2023-03-02
SG/SF,Donte DiVincenzo,6500,GS,LAC,2023-03-02
PG/SG,Tyrese Maxey,6200,PHI,DAL,2023-03-02
PF/C,Christian Wood,6200,DAL,PHI,2023-03-02
SG,Gary Trent,6100,TOR,WAS,2023-03-02
C,Ivica Zubac,6000,LAC,GS,2023-03-02
PF,Tobias Harris,6000,PHI,DAL,2023-03-02
SG/SF,Buddy Hield,5900,IND,SA,2023-03-02
PG,Tre Jones,5900,SA,IND,2023-03-02
C,Kevon Looney,5700,GS,LAC,2023-03-02
SF,Malaki Branham,5700,SA,IND,2023-03-02
C,Mason Plumlee,5500,LAC,GS,2023-03-02
SF/PF,Deni Avdija,5400,WAS,TOR,2023-03-02
SF/SG,Norman Powell,5400,LAC,GS,2023-03-02
SG/SF,Tim Hardaway,5400,DAL,PHI,2023-03-02
SF/PF,Jeremy Sochan,5400,SA,IND,2023-03-02
PG,Monte Morris,5300,WAS,TOR,2023-03-02
PF,Keita Bates-Diop,5300,SA,IND,2023-03-02
