pos,name,salary,team,opp,date
SG/PG,Shai Gilgeous-Alexander,10800,OKC,ORL,2022-11-01
SF/PF,Kevin Durant,10400,BKN,CHI,2022-11-01
PG,Stephen Curry,10000,GS,MIA,2022-11-01
PG/SG,Kyrie Irving,9700,BKN,CHI,2022-11-01
PF/C,Karl-Anthony Towns,9300,MIN,PHO,2022-11-01
SG,Devin Booker,8900,PHO,MIN,2022-11-01
C,Rudy Gobert,8700,MIN,PHO,2022-11-01
SF/PF,Jimmy Butler,8600,MIA,GS,2022-11-01
PF/SF,Paolo Banchero,8500,ORL,OKC,2022-11-01
C,Nikola Vucevic,8300,CHI,BKN,2022-11-01
SG/SF,DeMar DeRozan,8200,CHI,BKN,2022-11-01
SG/SF,Anthony Edwards,8000,MIN,PHO,2022-11-01
C/PF,Bam Adebayo,7900,MIA,GS,2022-11-01
PG/SG,D'Angelo Russell,7500,MIN,PHO,2022-11-01
PG,Chris Paul,7400,PHO,MIN,2022-11-01
SG/SF,Zach LaVine,7300,CHI,BKN,2022-11-01
SG/PG,Josh Giddey,7300,OKC,ORL,2022-11-01
SF/PF,Andrew Wiggins,7300,GS,MIA,2022-11-01
PG/SG,Jordan Poole,7200,GS,MIA,2022-11-01
C,Deandre Ayton,7000,PHO,MIN,2022-11-01
SG/SF,Tyler Herro,6900,MIA,GS,2022-11-01
PG/PF,Ben Simmons,6800,BKN,CHI,2022-11-01
PG,Kyle Lowry,6500,MIA,GS,2022-11-01
SF/SG,Franz Wagner,6500,ORL,OKC,2022-11-01
C/PF,Wendell Carter,6400,ORL,OKC,2022-11-01
SF/SG,Luguentz Dort,6300,OKC,ORL,2022-11-01
SG/SF,Mikal Bridges,6100,PHO,MIN,2022-11-01
C,Nicolas Claxton,5900,BKN,CHI,2022-11-01
PG/SG,Cole Anthony,5900,ORL,OKC,2022-11-01
C,Bol Bol,5800,ORL,OKC,2022-11-01
PF/C,Draymond Green,5700,GS,MIA,2022-11-01
PG/SG,Ayo Dosunmu,5600,CHI,BKN,2022-11-01
PG,Tre Mann,5500,OKC,ORL,2022-11-01
SG/SF,Klay Thompson,5500,GS,MIA,2022-11-01
SF/PF,Jaden McDaniels,5100,MIN,PHO,2022-11-01
PG/SG,R.J. Hampton,5000,ORL,OKC,2022-11-01
PG/SG,Jalen Suggs,5000,ORL,OKC,2022-11-01
C,Bismack Biyombo,5000,PHO,MIN,2022-11-01
PG/SG,Alex Caruso,5000,CHI,BKN,2022-11-01
PG/SG,Cameron Payne,4900,PHO,MIN,2022-11-01
SF/PF,Royce O'Neale,4800,BKN,CHI,2022-11-01
C,Jock Landale,4800,PHO,MIN,2022-11-01
C/PF,Kevon Looney,4800,GS,MIA,2022-11-01
PG,Jaylen Nowell,4800,MIN,PHO,2022-11-01
SF/PF,Cameron Johnson,4800,PHO,MIN,2022-11-01
PF/SF,Darius Bazley,4700,OKC,ORL,2022-11-01
SG/SF,Max Strus,4700,MIA,GS,2022-11-01
C,Mo Bamba,4700,ORL,OKC,2022-11-01
C,Andre Drummond,4700,CHI,BKN,2022-11-01
SF/SG,Caleb Martin,4500,MIA,GS,2022-11-01
SG,Aaron Wiggins,4500,OKC,ORL,2022-11-01
SG/SF,Terrence Ross,4400,ORL,OKC,2022-11-01
PF,Aleksej Pokusevski,4400,OKC,ORL,2022-11-01
C,James Wiseman,4400,GS,MIA,2022-11-01
PG/SG,Seth Curry,4400,BKN,CHI,2022-11-01
PG/SG,Gabe Vincent,4200,MIA,GS,2022-11-01
SF,Kenrich Williams,4200,OKC,ORL,2022-11-01
C/PF,Jeremiah Robinson-Earl,4200,OKC,ORL,2022-11-01
SG,Jalen Williams,4200,OKC,ORL,2022-11-01
C,Naz Reid,4100,MIN,PHO,2022-11-01
SF/PF,Patrick Williams,4100,CHI,BKN,2022-11-01
SG/SF,Javonte Green,4000,CHI,BKN,2022-11-01
PF,Day'Ron Sharpe,4000,BKN,CHI,2022-11-01
SF/PF,Kyle Anderson,4000,MIN,PHO,2022-11-01
PG/SG,Markelle Fultz,4000,ORL,OKC,2022-11-01
C,Mike Muscala,4000,OKC,ORL,2022-11-01
SG/SF,Joe Harris,4000,BKN,CHI,2022-11-01
PG/SG,Coby White,4000,CHI,BKN,2022-11-01
PF,Chuma Okeke,3900,ORL,OKC,2022-11-01
PF,Dario Saric,3900,PHO,MIN,2022-11-01
SG/PG,Victor Oladipo,3900,MIA,GS,2022-11-01
PG,Jordan McLaughlin,3900,MIN,PHO,2022-11-01
SF/PF,Jonathan Isaac,3900,ORL,OKC,2022-11-01
SG,Damion Lee,3900,PHO,MIN,2022-11-01
SF,Ousmane Dieng,3800,OKC,ORL,2022-11-01
SF/PF,Taurean Prince,3800,MIN,PHO,2022-11-01
PF/C,JaMychal Green,3800,GS,MIA,2022-11-01
SG/SF,Torrey Craig,3800,PHO,MIN,2022-11-01
SG/SF,Duncan Robinson,3800,MIA,GS,2022-11-01
SF/PF,Derrick Jones,3800,CHI,BKN,2022-11-01
SG/SF,Donte DiVincenzo,3800,GS,MIA,2022-11-01
PG,Goran Dragic,3800,CHI,BKN,2022-11-01
SG/PG,Patty Mills,3800,BKN,CHI,2022-11-01
SG,David Duke,3700,BKN,CHI,2022-11-01
C,Dewayne Dedmon,3700,MIA,GS,2022-11-01
SG,Lindy Waters,3700,OKC,ORL,2022-11-01
SG,Landry Shamet,3700,PHO,MIN,2022-11-01
SG,Yuta Watanabe,3700,BKN,CHI,2022-11-01
SG,Moses Moody,3600,GS,MIA,2022-11-01
SG,Cameron Thomas,3600,BKN,CHI,2022-11-01
PG/SG,Edmond Sumner,3600,BKN,CHI,2022-11-01
SG,Duane Washington,3600,PHO,MIN,2022-11-01
PF/SF,Markieff Morris,3600,BKN,CHI,2022-11-01
SF,Jonathan Kuminga,3600,GS,MIA,2022-11-01
SF,Eugene Omoruyi,3600,OKC,ORL,2022-11-01
SG/SF,Gary Harris,3600,ORL,OKC,2022-11-01
PF,Moritz Wagner,3600,ORL,OKC,2022-11-01
PF,Jaylin Williams,3600,OKC,ORL,2022-11-01
SG,Dalen Terry,3600,CHI,BKN,2022-11-01
