pos,name,salary,team,opp,date
PG/SG,Luka Doncic,11800,DAL,UTA,2022-11-02
PF/SF,Giannis Antetokounmpo,11600,MIL,DET,2022-11-02
PF/C,Anthony Davis,10500,LAL,NO,2022-11-02
PF/SF,Jayson Tatum,10300,BOS,CLE,2022-11-02
SF/PF,LeBron James,10200,LAL,NO,2022-11-02
PG,Trae Young,10000,ATL,NY,2022-11-02
PG,Ja Morant,9900,MEM,POR,2022-11-02
SG/PG,Donovan Mitchell,9500,CLE,BOS,2022-11-02
C/PF,Pascal Siakam,9500,TOR,SA,2022-11-02
SG/SF,Paul George,9000,LAC,HOU,2022-11-02
PG,Damian Lillard,8800,POR,MEM,2022-11-02
SG/PG,Dejounte Murray,8700,ATL,NY,2022-11-02
SF/PF,Jimmy Butler,8500,MIA,SAC,2022-11-02
PG,De'Aaron Fox,8500,SAC,MIA,2022-11-02
PG/SG,Cade Cunningham,8400,DET,MIL,2022-11-02
C,Nikola Vucevic,8400,CHI,CHA,2022-11-02
PG,LaMelo Ball,8300,CHA,CHI,2022-11-02
PF,Zion Williamson,8300,NO,LAL,2022-11-02
PG/SG,Jrue Holiday,8300,MIL,DET,2022-11-02
SF/SG,Jaylen Brown,8300,BOS,CLE,2022-11-02
C/PF,Domantas Sabonis,8100,SAC,MIA,2022-11-02
PG/SG,CJ McCollum,8000,NO,LAL,2022-11-02
SG/SF,Desmond Bane,8000,MEM,POR,2022-11-02
C/PF,Bam Adebayo,7900,MIA,SAC,2022-11-02
SG/SF,DeMar DeRozan,7900,CHI,CHA,2022-11-02
SG/PG,Terry Rozier,7800,CHA,CHI,2022-11-02
SG/PG,Anfernee Simons,7800,POR,MEM,2022-11-02
PF/SF,Lauri Markkanen,7800,UTA,DAL,2022-11-02
PG/SG,Jalen Brunson,7700,NY,ATL,2022-11-02
SF/SG,Brandon Ingram,7600,NO,LAL,2022-11-02
PG,Kevin Porter,7600,HOU,LAC,2022-11-02
PG,Fred VanVleet,7500,TOR,SA,2022-11-02
SG/PG,Darius Garland,7500,CLE,BOS,2022-11-02
PF/SF,Keldon Johnson,7500,SA,TOR,2022-11-02
PF/C,Julius Randle,7400,NY,ATL,2022-11-02
SF/SG,Khris Middleton,7400,MIL,DET,2022-11-02
C,Jonas Valanciunas,7300,NO,LAL,2022-11-02
C,Jakob Poeltl,7200,SA,TOR,2022-11-02
SF/PF,Kawhi Leonard,7200,LAC,HOU,2022-11-02
C,Jusuf Nurkic,7100,POR,MEM,2022-11-02
SG/SF,Zach LaVine,7100,CHI,CHA,2022-11-02
PF/C,Christian Wood,7000,DAL,UTA,2022-11-02
