pos,name,salary,team,opp,date
PG/SG,Luka Doncic,12400,DAL,SA,2022-12-31
C,Joel Embiid,11400,PHI,OKC,2022-12-31
SF/PF,Kevin Durant,10600,BKN,CHA,2022-12-31
SG/PG,Shai Gilgeous-Alexander,10400,OKC,PHI,2022-12-31
SG/PG,James Harden,10300,PHI,OKC,2022-12-31
PG,Ja Morant,10100,MEM,NO,2022-12-31
PF,Zion Williamson,10000,NO,MEM,2022-12-31
PF/C,Julius Randle,9900,NY,HOU,2022-12-31
SG/SF,DeMar DeRozan,9500,CHI,CLE,2022-12-31
SF/PF,Jimmy Butler,9400,MIA,UTA,2022-12-31
PG,LaMelo Ball,9300,CHA,BKN,2022-12-31
SG/SF,Anthony Edwards,9200,MIN,DET,2022-12-31
SG/PG,Donovan Mitchell,8900,CLE,CHI,2022-12-31
PF/C,Karl-Anthony Towns,8900,MIN,DET,2022-12-31
PG/SG,Kyrie Irving,8800,BKN,CHA,2022-12-31
PF/SF,Lauri Markkanen,8700,UTA,MIA,2022-12-31
PG/SG,CJ McCollum,8600,NO,MEM,2022-12-31
C/PF,Bam Adebayo,8500,MIA,UTA,2022-12-31
PF/C,Christian Wood,8300,DAL,SA,2022-12-31
SG/PG,Darius Garland,8300,CLE,CHI,2022-12-31
PG,Kevin Porter,8000,HOU,NY,2022-12-31
C,Nikola Vucevic,7900,CHI,CLE,2022-12-31
SG/SF,Tyler Herro,7900,MIA,UTA,2022-12-31
SF/SG,Kelly Oubre,7800,CHA,BKN,2022-12-31
PG/SG,Tyrese Maxey,7800,PHI,OKC,2022-12-31
SF/SG,Brandon Ingram,7700,NO,MEM,2022-12-31
PG/SG,Jalen Brunson,7700,NY,HOU,2022-12-31
C,Rudy Gobert,7600,MIN,DET,2022-12-31
C/PF,Jarrett Allen,7500,CLE,CHI,2022-12-31
SG/SF,Zach LaVine,7400,CHI,CLE,2022-12-31
SG/PG,Terry Rozier,7300,CHA,BKN,2022-12-31
SF/SG,RJ Barrett,7300,NY,HOU,2022-12-31
PG/PF,Ben Simmons,7200,BKN,CHA,2022-12-31
PG/SG,Jordan Clarkson,7100,UTA,MIA,2022-12-31
PG/SG,D'Angelo Russell,7100,MIN,DET,2022-12-31
PF/C,Jaren Jackson,7000,MEM,NO,2022-12-31
SG/PG,Josh Giddey,7000,OKC,PHI,2022-12-31
PF/C,Evan Mobley,6900,CLE,CHI,2022-12-31
SG/PG,Jalen Green,6900,HOU,NY,2022-12-31
SG,Devin Vassell,6900,SA,DAL,2022-12-31
PF/SF,Keldon Johnson,6800,SA,DAL,2022-12-31
C,Nic Claxton,6800,BKN,CHA,2022-12-31
C,Jakob Poeltl,6700,SA,DAL,2022-12-31
C,Jonas Valanciunas,6700,NO,MEM,2022-12-31
SG/PG,Immanuel Quickley,6700,NY,HOU,2022-12-31
SF/PF,Tobias Harris,6500,PHI,OKC,2022-12-31
PG/SG,Spencer Dinwiddie,6500,DAL,SA,2022-12-31
C,Alperen Sengun,6500,HOU,NY,2022-12-31
C,Mitchell Robinson,6400,NY,HOU,2022-12-31
C,Mason Plumlee,6400,CHA,BKN,2022-12-31
PG,Kyle Lowry,6400,MIA,UTA,2022-12-31
SF/SG,Gordon Hayward,6300,CHA,BKN,2022-12-31
PF/C,P.J. Washington,6300,CHA,BKN,2022-12-31
C,Jalen Duren,6200,DET,MIN,2022-12-31
SG,Jaden Ivey,6200,DET,MIN,2022-12-31
PG,Tre Jones,6200,SA,DAL,2022-12-31
C,Steven Adams,6100,MEM,NO,2022-12-31
SF/PF,Jaden McDaniels,6100,MIN,DET,2022-12-31
SG/SF,Desmond Bane,6100,MEM,NO,2022-12-31
PG,Killian Hayes,6000,DET,MIN,2022-12-31
SG/SF,Quentin Grimes,6000,NY,HOU,2022-12-31
SF/PF,Bojan Bogdanovic,6000,DET,MIN,2022-12-31
PF,Jabari Smith,6000,HOU,NY,2022-12-31
SF,Saddiq Bey,6000,DET,MIN,2022-12-31
PG/SG,De'Anthony Melton,5900,PHI,OKC,2022-12-31
SF/PF,Jeremy Sochan,5900,SA,DAL,2022-12-31
SG/SF,Dillon Brooks,5900,MEM,NO,2022-12-31
C,Naz Reid,5900,MIN,DET,2022-12-31
C/PF,Kelly Olynyk,5800,UTA,MIA,2022-12-31
PG/SG,Alec Burks,5800,DET,MIN,2022-12-31
SG/SF,Tim Hardaway,5800,DAL,SA,2022-12-31
PF/C,Aleksej Pokusevski,5700,OKC,PHI,2022-12-31
C,Walker Kessler,5700,UTA,MIA,2022-12-31
PG,Mike Conley,5700,UTA,MIA,2022-12-31
PG,Dennis Smith,5700,CHA,BKN,2022-12-31
PF/C,Larry Nance,5600,NO,MEM,2022-12-31
SF/SG,Luguentz Dort,5600,OKC,PHI,2022-12-31
PF,Jarred Vanderbilt,5600,UTA,MIA,2022-12-31
SF/SG,Jalen Williams,5600,OKC,PHI,2022-12-31
SF/PF,Kyle Anderson,5500,MIN,DET,2022-12-31
SG,Romeo Langford,5500,SA,DAL,2022-12-31
C/PF,Isaiah Stewart,5500,DET,MIN,2022-12-31
SF,Naji Marshall,5500,NO,MEM,2022-12-31
SF,Trey Murphy,5400,NO,MEM,2022-12-31
SG,Collin Sexton,5400,UTA,MIA,2022-12-31
SG/SF,Caris LeVert,5400,CLE,CHI,2022-12-31
PF/SF,Jalen McDaniels,5300,CHA,BKN,2022-12-31
SG/PG,Victor Oladipo,5300,MIA,UTA,2022-12-31
SF/PF,Patrick Williams,5200,CHI,CLE,2022-12-31
SF/PF,T.J. Warren,5100,BKN,CHA,2022-12-31
SG/SF,Herbert Jones,5100,NO,MEM,2022-12-31
PG,Tyus Jones,5100,MEM,NO,2022-12-31
PF/C,Brandon Clarke,5100,MEM,NO,2022-12-31
C,Orlando Robinson,5000,MIA,UTA,2022-12-31
PF/C,Zach Collins,5000,SA,DAL,2022-12-31
PF/C,Kevin Love,4900,CLE,CHI,2022-12-31
PG/SG,Ayo Dosunmu,4900,CHI,CLE,2022-12-31
PG/SG,Coby White,4900,CHI,CLE,2022-12-31
SF/PF,Royce O'Neale,4900,BKN,CHA,2022-12-31
C,Nick Richards,4900,CHA,BKN,2022-12-31
SF/SG,Malik Beasley,4800,UTA,MIA,2022-12-31
PF/SF,Darius Bazley,4800,OKC,PHI,2022-12-31
SF,Haywood Highsmith,4800,MIA,UTA,2022-12-31
PF,Santi Aldama,4800,MEM,NO,2022-12-31
PG,Kemba Walker,4800,DAL,SA,2022-12-31
PF/C,Marvin Bagley,4800,DET,MIN,2022-12-31
PF,Lamar Stevens,4800,CLE,CHI,2022-12-31
PG,Jaylen Nowell,4700,MIN,DET,2022-12-31
SF,Tari Eason,4700,HOU,NY,2022-12-31
SF/SG,John Konchar,4700,MEM,NO,2022-12-31
PF/SF,Dean Wade,4700,CLE,CHI,2022-12-31
SF/SG,Caleb Martin,4600,MIA,UTA,2022-12-31
C,Andre Drummond,4600,CHI,CLE,2022-12-31
PF/C,Maxi Kleber,4600,DAL,SA,2022-12-31
SG/PG,Austin Rivers,4600,MIN,DET,2022-12-31
SF/SG,Josh Richardson,4600,SA,DAL,2022-12-31
PG/SG,Alex Caruso,4600,CHI,CLE,2022-12-31
SF/PF,Kenyon Martin,4500,HOU,NY,2022-12-31
PG,Miles McBride,4500,NY,HOU,2022-12-31
SF,Kenrich Williams,4500,OKC,PHI,2022-12-31
SG/SF,Joe Harris,4500,BKN,CHA,2022-12-31
SG/SF,Max Strus,4400,MIA,UTA,2022-12-31
C/PF,Jeremiah Robinson-Earl,4400,OKC,PHI,2022-12-31
PF/C,Willy Hernangomez,4400,NO,MEM,2022-12-31
SF/PF,Jae'Sean Tate,4400,HOU,NY,2022-12-31
PF/C,Jaxson Hayes,4400,NO,MEM,2022-12-31
C,Mark Williams,4400,CHA,BKN,2022-12-31
PG,Theo Maledon,4300,CHA,BKN,2022-12-31
PG,Tre Mann,4300,OKC,PHI,2022-12-31
SF/PF,Cedi Osman,4300,CLE,CHI,2022-12-31
SF/SG,Eric Gordon,4300,HOU,NY,2022-12-31
PG,Isaiah Joe,4300,OKC,PHI,2022-12-31
PF/C,Isaiah Hartenstein,4300,NY,HOU,2022-12-31
SG,Aaron Wiggins,4200,OKC,PHI,2022-12-31
PF,Keita Bates-Diop,4200,SA,DAL,2022-12-31
SG,Josh Green,4200,DAL,SA,2022-12-31
SF/SG,Isaac Okoro,4200,CLE,CHI,2022-12-31
SF/PF,Dorian Finney-Smith,4200,DAL,SA,2022-12-31
PG/SG,Gabe Vincent,4100,MIA,UTA,2022-12-31
SG/SF,Reggie Bullock,4100,DAL,SA,2022-12-31
SF,Malaki Branham,4100,SA,DAL,2022-12-31
PF,Jaylin Williams,4100,OKC,PHI,2022-12-31
PF/SF,Doug McDermott,4100,SA,DAL,2022-12-31
PG/SG,Edmond Sumner,4100,BKN,CHA,2022-12-31
C,Paul Reed,4100,PHI,OKC,2022-12-31
PG,Jordan McLaughlin,4000,MIN,DET,2022-12-31
PG,Jose Alvarado,4000,NO,MEM,2022-12-31
PG,Daishen Nix,4000,HOU,NY,2022-12-31
PF,Usman Garuba,4000,HOU,NY,2022-12-31
C,Montrezl Harrell,4000,PHI,OKC,2022-12-31
SG,Yuta Watanabe,4000,BKN,CHA,2022-12-31
C/PF,Dwight Powell,4000,DAL,SA,2022-12-31
SF,Stanley Johnson,4000,SA,DAL,2022-12-31
C,Kai Jones,3900,CHA,BKN,2022-12-31
SG,Cam Thomas,3900,BKN,CHA,2022-12-31
C,Charles Bassey,3900,SA,DAL,2022-12-31
SF,Ziaire Williams,3900,MEM,NO,2022-12-31
PG,Shake Milton,3900,PHI,OKC,2022-12-31
PG,Devonte' Graham,3900,NO,MEM,2022-12-31
PG,Kennedy Chandler,3900,MEM,NO,2022-12-31
PF,David Roddy,3900,MEM,NO,2022-12-31
PG,TyTy Washington,3900,HOU,NY,2022-12-31
SG/SF,Nickeil Alexander-Walker,3900,UTA,MIA,2022-12-31
C,Gorgui Dieng,3900,SA,DAL,2022-12-31
SF,Eugene Omoruyi,3900,OKC,PHI,2022-12-31
C,Mike Muscala,3900,OKC,PHI,2022-12-31
SG/SF,Evan Fournier,3800,NY,HOU,2022-12-31
PF,Isaiah Livers,3800,DET,MIN,2022-12-31
PF,Georges Niang,3800,PHI,OKC,2022-12-31
SG,James Bouknight,3800,CHA,BKN,2022-12-31
PF,Day'Ron Sharpe,3800,BKN,CHA,2022-12-31
PF/SF,Markieff Morris,3800,BKN,CHA,2022-12-31
SG/SF,Hamidou Diallo,3800,DET,MIN,2022-12-31
PF/C,Bruno Fernando,3800,HOU,NY,2022-12-31
PF/C,Isaiah Roby,3800,SA,DAL,2022-12-31
SG,Bryce McGowens,3800,CHA,BKN,2022-12-31
SF,Ousmane Dieng,3800,OKC,PHI,2022-12-31
PF,Obi Toppin,3800,NY,HOU,2022-12-31
PF,Xavier Tillman,3800,MEM,NO,2022-12-31
PG,Goran Dragic,3800,CHI,CLE,2022-12-31
C,Luka Garza,3700,MIN,DET,2022-12-31
C,Jericho Sims,3700,NY,HOU,2022-12-31
SG/SF,Furkan Korkmaz,3700,PHI,OKC,2022-12-31
PG,Cory Joseph,3700,DET,MIN,2022-12-31
SF,Davis Bertans,3700,DAL,SA,2022-12-31
SG/PG,Patty Mills,3700,BKN,CHA,2022-12-31
PG/SG,Seth Curry,3700,BKN,CHA,2022-12-31
SG,Bryn Forbes,3700,MIN,DET,2022-12-31
PG/SG,Derrick Rose,3700,NY,HOU,2022-12-31
PG,Dyson Daniels,3700,NO,MEM,2022-12-31
SG,Jaden Hardy,3700,DAL,SA,2022-12-31
PF,Nikola Jovic,3700,MIA,UTA,2022-12-31
PF,P.J. Tucker,3700,PHI,OKC,2022-12-31
PG,Frank Ntilikina,3700,DAL,SA,2022-12-31
C,Dewayne Dedmon,3700,MIA,UTA,2022-12-31
SF,Garrison Mathews,3600,HOU,NY,2022-12-31
C,JaVale McGee,3600,DAL,SA,2022-12-31
SG/SF,Javonte Green,3600,CHI,CLE,2022-12-31
SG/SF,Duncan Robinson,3600,MIA,UTA,2022-12-31
PF,Jake LaRavia,3600,MEM,NO,2022-12-31
SF,Matisse Thybulle,3600,PHI,OKC,2022-12-31
SG/SF,Talen Horton-Tucker,3600,UTA,MIA,2022-12-31
SG/SF,Cam Reddish,3600,NY,HOU,2022-12-31
SF/PF,Derrick Jones,3600,CHI,CLE,2022-12-31
SG/SF,Theo Pinson,3500,DAL,SA,2022-12-31
SF/PF,Taurean Prince,3500,MIN,DET,2022-12-31
SG/SF,Danny Green,3500,MEM,NO,2022-12-31
SG,Jared Rhoden,3500,DET,MIN,2022-12-31
SF/PF,Louis King,3500,PHI,OKC,2022-12-31
SG,Buddy Boeheim,3500,DET,MIN,2022-12-31
SF,DaQuan Jeffries,3500,NY,HOU,2022-12-31
SF,Julian Champagnie,3500,PHI,OKC,2022-12-31
PF,Nathan Knight,3500,MIN,DET,2022-12-31
SG,Josh Christopher,3500,HOU,NY,2022-12-31
SF,Matt Ryan,3500,MIN,DET,2022-12-31
PG/SG,Cade Cunningham,3500,DET,MIN,2022-12-31
PF,JT Thor,3500,CHA,BKN,2022-12-31
C,Marko Simonovic,3500,CHI,CLE,2022-12-31
SF,Leandro Bolmaro,3500,UTA,MIA,2022-12-31
PG,McKinley Wright,3500,DAL,SA,2022-12-31
