pos,name,salary,team,opp,date
PF/SF,Giannis Antetokounmpo,12000,MIL,OKC,2022-11-05
C,Nikola Jokic,11400,DEN,SA,2022-11-05
SF/PF,Kevin Durant,10600,BKN,CHA,2022-11-05
SG/PG,Shai Gilgeous-Alexander,10500,OKC,MIL,2022-11-05
PF/SF,Jayson Tatum,10400,BOS,NY,2022-11-05
PG,Trae Young,9800,ATL,NO,2022-11-05
PF/C,Karl-Anthony Towns,9300,MIN,HOU,2022-11-05
PG/SG,Kyrie Irving,9200,BKN,CHA,2022-11-05
SG/PG,Dejounte Murray,9100,ATL,NO,2022-11-05
SG,Devin Booker,8900,PHO,POR,2022-11-05
PF,Zion Williamson,8800,NO,ATL,2022-11-05
PG,Damian Lillard,8800,POR,PHO,2022-11-05
C,Rudy Gobert,8500,MIN,HOU,2022-11-05
PG,LaMelo Ball,8300,CHA,BKN,2022-11-05
PG/SG,Jrue Holiday,8300,MIL,OKC,2022-11-05
SF/SG,Jaylen Brown,8300,BOS,NY,2022-11-05
PG/SG,CJ McCollum,8100,NO,ATL,2022-11-05
SG/SF,Anthony Edwards,8000,MIN,HOU,2022-11-05
SG/PG,Anfernee Simons,7900,POR,PHO,2022-11-05
SG/PG,Terry Rozier,7800,CHA,BKN,2022-11-05
SF/SG,Brandon Ingram,7700,NO,ATL,2022-11-05
C,Jusuf Nurkic,7700,POR,PHO,2022-11-05
PG,Chris Paul,7600,PHO,POR,2022-11-05
PG,Kevin Porter,7500,HOU,MIN,2022-11-05
PF/SF,Keldon Johnson,7500,SA,DEN,2022-11-05
PF/C,Julius Randle,7400,NY,BOS,2022-11-05
PG/SG,Jalen Brunson,7400,NY,BOS,2022-11-05
SF/SG,Khris Middleton,7400,MIL,OKC,2022-11-05
C,Jonas Valanciunas,7100,NO,ATL,2022-11-05
C,Deandre Ayton,7000,PHO,POR,2022-11-05
SG/PG,Josh Giddey,7000,OKC,MIL,2022-11-05
PG,Dennis Smith,7000,CHA,BKN,2022-11-05
PG/SG,D'Angelo Russell,7000,MIN,HOU,2022-11-05
SF/SG,Kelly Oubre,6900,CHA,BKN,2022-11-05
C,Jakob Poeltl,6800,SA,DEN,2022-11-05
PG/PF,Ben Simmons,6800,BKN,CHA,2022-11-05
PF/SF,Michael Porter,6800,DEN,SA,2022-11-05
PF/C,John Collins,6700,ATL,NO,2022-11-05
C,Brook Lopez,6600,MIL,OKC,2022-11-05
SF/SG,Gordon Hayward,6500,CHA,BKN,2022-11-05
C,Alperen Sengun,6500,HOU,MIN,2022-11-05
SG,Devin Vassell,6500,SA,DEN,2022-11-05
PF,Jerami Grant,6400,POR,PHO,2022-11-05
PG,Tre Jones,6400,SA,DEN,2022-11-05
SG/SF,Josh Hart,6300,POR,PHO,2022-11-05
SG/SF,Mikal Bridges,6200,PHO,POR,2022-11-05
PF/C,P.J. Washington,6200,CHA,BKN,2022-11-05
PF/C,Larry Nance,6100,NO,ATL,2022-11-05
SF/PF,Aaron Gordon,6000,DEN,SA,2022-11-05
SF/SG,Luguentz Dort,6000,OKC,MIL,2022-11-05
SG/PG,Jalen Green,6000,HOU,MIN,2022-11-05
C,Nic Claxton,6000,BKN,CHA,2022-11-05
SF/SG,RJ Barrett,5900,NY,BOS,2022-11-05
PG/SG,Jamal Murray,5800,DEN,SA,2022-11-05
PF/C,Bobby Portis,5800,MIL,OKC,2022-11-05
SG/PG,Marcus Smart,5700,BOS,NY,2022-11-05
PF,Jalen McDaniels,5700,CHA,BKN,2022-11-05
C,Clint Capela,5600,ATL,NO,2022-11-05
SF,Trey Murphy,5500,NO,ATL,2022-11-05
C/PF,Al Horford,5500,BOS,NY,2022-11-05
PG/SG,Malcolm Brogdon,5500,BOS,NY,2022-11-05
SG/SF,Kentavious Caldwell-Pope,5400,DEN,SA,2022-11-05
SF/PF,Royce O'Neale,5400,BKN,CHA,2022-11-05
PG,Tre Mann,5300,OKC,MIL,2022-11-05
C,Mitchell Robinson,5300,NY,BOS,2022-11-05
SG,Bruce Brown,5200,DEN,SA,2022-11-05
SF,Justise Winslow,5200,POR,PHO,2022-11-05
C,Mason Plumlee,5200,CHA,BKN,2022-11-05
SF/PF,Cameron Johnson,5200,PHO,POR,2022-11-05
PG,Jaylen Nowell,5100,MIN,HOU,2022-11-05
PF,Isaiah Hartenstein,5100,NY,BOS,2022-11-05
SG/PG,Immanuel Quickley,5100,NY,BOS,2022-11-05
PF,Aleksej Pokusevski,5000,OKC,MIL,2022-11-05
C/PF,Jeremiah Robinson-Earl,5000,OKC,MIL,2022-11-05
C,Bismack Biyombo,5000,PHO,POR,2022-11-05
PF,Jabari Smith,5000,HOU,MIN,2022-11-05
SF,Naji Marshall,5000,NO,ATL,2022-11-05
SF/PF,Jaden McDaniels,5000,MIN,HOU,2022-11-05
PF,Grant Williams,4900,BOS,NY,2022-11-05
PG/SG,Cameron Payne,4900,PHO,POR,2022-11-05
SG/SF,Herbert Jones,4800,NO,ATL,2022-11-05
SF/PF,Jae'Sean Tate,4800,HOU,MIN,2022-11-05
PF/C,Bruno Fernando,4800,HOU,MIN,2022-11-05
SF/SG,Eric Gordon,4800,HOU,MIN,2022-11-05
PF/SF,Darius Bazley,4700,OKC,MIL,2022-11-05
PG/SG,Seth Curry,4700,BKN,CHA,2022-11-05
SF/SG,Josh Richardson,4700,SA,DEN,2022-11-05
C,Onyeka Okongwu,4700,ATL,NO,2022-11-05
PF/C,Zach Collins,4700,SA,DEN,2022-11-05
SF/PF,Kenyon Martin,4600,HOU,MIN,2022-11-05
PG,Bones Hyland,4600,DEN,SA,2022-11-05
SF/PF,Jeremy Sochan,4600,SA,DEN,2022-11-05
C,Jock Landale,4600,PHO,POR,2022-11-05
PG/SG,Derrick White,4500,BOS,NY,2022-11-05
SF/PF,Pat Connaughton,4500,MIL,OKC,2022-11-05
SF/PF,De'Andre Hunter,4500,ATL,NO,2022-11-05
C,Naz Reid,4500,MIN,HOU,2022-11-05
SF/PF,Kyle Anderson,4400,MIN,HOU,2022-11-05
SG/PG,Patty Mills,4400,BKN,CHA,2022-11-05
SF,Tari Eason,4400,HOU,MIN,2022-11-05
PG,Theo Maledon,4300,CHA,BKN,2022-11-05
PG,Devonte' Graham,4300,NO,ATL,2022-11-05
SG,Shaedon Sharpe,4300,POR,PHO,2022-11-05
C,Nick Richards,4300,CHA,BKN,2022-11-05
SG/SF,Joe Harris,4300,BKN,CHA,2022-11-05
SG,Aaron Wiggins,4200,OKC,MIL,2022-11-05
PG,Jose Alvarado,4200,NO,ATL,2022-11-05
SG,Jalen Williams,4200,OKC,MIL,2022-11-05
SG,Yuta Watanabe,4200,BKN,CHA,2022-11-05
SF,Kenrich Williams,4200,OKC,MIL,2022-11-05
PF/SF,Doug McDermott,4200,SA,DEN,2022-11-05
PG/SG,Edmond Sumner,4200,BKN,CHA,2022-11-05
SG/SF,Evan Fournier,4100,NY,BOS,2022-11-05
PG,Jordan McLaughlin,4100,MIN,HOU,2022-11-05
PF,Trendon Watford,4100,POR,PHO,2022-11-05
PF,Usman Garuba,4100,HOU,MIN,2022-11-05
SG/SF,Grayson Allen,4100,MIL,OKC,2022-11-05
SG,Romeo Langford,4100,SA,DEN,2022-11-05
SF/PF,Taurean Prince,4000,MIN,HOU,2022-11-05
SG,Keon Johnson,4000,POR,PHO,2022-11-05
PF,Day'Ron Sharpe,4000,BKN,CHA,2022-11-05
SG,Gary Payton,4000,POR,PHO,2022-11-05
PF,Keita Bates-Diop,4000,SA,DEN,2022-11-05
PG,Aaron Holiday,4000,ATL,NO,2022-11-05
SG/SF,Cam Reddish,4000,NY,BOS,2022-11-05
PG/SG,Derrick Rose,4000,NY,BOS,2022-11-05
SF/SG,Bogdan Bogdanovic,4000,ATL,NO,2022-11-05
C,DeAndre Jordan,4000,DEN,SA,2022-11-05
SG,David Duke,4000,BKN,CHA,2022-11-05
PF/SF,Jeff Green,4000,DEN,SA,2022-11-05
PF,Obi Toppin,4000,NY,BOS,2022-11-05
C,Mike Muscala,4000,OKC,MIL,2022-11-05
SG,Cam Thomas,3900,BKN,CHA,2022-11-05
PF/C,Willy Hernangomez,3900,NO,ATL,2022-11-05
PF,Noah Vonleh,3900,BOS,NY,2022-11-05
PG/SG,Jevon Carter,3900,MIL,OKC,2022-11-05
SG,Christian Braun,3900,DEN,SA,2022-11-05
SF,Nassir Little,3900,POR,PHO,2022-11-05
PG,Dyson Daniels,3900,NO,ATL,2022-11-05
PF,Dario Saric,3900,PHO,POR,2022-11-05
PF/SF,Jordan Nwora,3900,MIL,OKC,2022-11-05
SG,Damion Lee,3900,PHO,POR,2022-11-05
PG,George Hill,3900,MIL,OKC,2022-11-05
C/PF,Drew Eubanks,3900,POR,PHO,2022-11-05
SF,Garrison Mathews,3800,HOU,MIN,2022-11-05
PF,Luke Kornet,3800,BOS,NY,2022-11-05
PG,Daishen Nix,3800,HOU,MIN,2022-11-05
SF/SG,Justin Holiday,3800,ATL,NO,2022-11-05
PF,Jaxson Hayes,3800,NO,ATL,2022-11-05
PF/C,Isaiah Roby,3800,SA,DEN,2022-11-05
SF,Ousmane Dieng,3800,OKC,MIL,2022-11-05
SG/SF,Torrey Craig,3800,PHO,POR,2022-11-05
C,Gorgui Dieng,3800,SA,DEN,2022-11-05
SG,Wesley Matthews,3700,MIL,OKC,2022-11-05
SF,Sam Hauser,3700,BOS,NY,2022-11-05
SF,Jalen Johnson,3700,ATL,NO,2022-11-05
SG,Blake Wesley,3700,SA,DEN,2022-11-05
SF,Malaki Branham,3700,SA,DEN,2022-11-05
SG,Landry Shamet,3700,PHO,POR,2022-11-05
SF,Garrett Temple,3700,NO,ATL,2022-11-05
PF/C,Blake Griffin,3700,BOS,NY,2022-11-05
SG,Lindy Waters,3700,OKC,MIL,2022-11-05
PF/C,Frank Kaminsky,3600,ATL,NO,2022-11-05
SG,Josh Christopher,3600,HOU,MIN,2022-11-05
PF,JT Thor,3600,CHA,BKN,2022-11-05
SG,James Bouknight,3600,CHA,BKN,2022-11-05
SG/SF,Quentin Grimes,3600,NY,BOS,2022-11-05
SG,Duane Washington,3600,PHO,POR,2022-11-05
PF/SF,Markieff Morris,3600,BKN,CHA,2022-11-05
PF/C,Serge Ibaka,3600,MIL,OKC,2022-11-05
SF,AJ Griffin,3600,ATL,NO,2022-11-05
PF,Jaylin Williams,3600,OKC,MIL,2022-11-05
C,Mark Williams,3600,CHA,BKN,2022-11-05
C,Olivier Sarr,3600,POR,PHO,2022-11-05
SF,Eugene Omoruyi,3600,OKC,MIL,2022-11-05
SF,Ish Wainright,3500,PHO,POR,2022-11-05
SF,Vlatko Cancar,3500,DEN,SA,2022-11-05
SF/PF,T.J. Warren,3500,BKN,CHA,2022-11-05
PF,Nathan Knight,3500,MIN,HOU,2022-11-05
C,Luka Garza,3500,MIN,HOU,2022-11-05
C,Kai Jones,3500,CHA,BKN,2022-11-05
PF,Greg Brown,3500,POR,PHO,2022-11-05
PG,Miles McBride,3500,NY,BOS,2022-11-05
C,Jericho Sims,3500,NY,BOS,2022-11-05
PG,Vit Krejci,3500,ATL,NO,2022-11-05
SF,Kessler Edwards,3500,BKN,CHA,2022-11-05
C,Charles Bassey,3500,SA,DEN,2022-11-05
PG,Trevor Hudgins,3500,HOU,MIN,2022-11-05
PF/C,Sandro Mamukelashvili,3500,MIL,OKC,2022-11-05
SG,Dereon Seabron,3500,NO,ATL,2022-11-05
PG,Collin Gillespie,3500,DEN,SA,2022-11-05
SG,Alondes Williams,3500,BKN,CHA,2022-11-05
SG,A.J. Green,3500,MIL,OKC,2022-11-05
PG/SG,Ryan Arcidiacono,3500,NY,BOS,2022-11-05
SF/SG,Josh Okogie,3500,PHO,POR,2022-11-05
PG/SG,Ish Smith,3500,DEN,SA,2022-11-05
PF/C,Robert Williams,3500,BOS,NY,2022-11-05
SG/PG,Austin Rivers,3500,MIN,HOU,2022-11-05
SG,Svi Mykhailiuk,3500,NY,BOS,2022-11-05
SG,Tyrese Martin,3500,ATL,NO,2022-11-05
SG,Bryn Forbes,3500,MIN,HOU,2022-11-05
PF,Chet Holmgren,3500,OKC,MIL,2022-11-05
PG,JD Davison,3500,BOS,NY,2022-11-05
SG,Peyton Watson,3500,DEN,SA,2022-11-05
PF,Darius Days,3500,HOU,MIN,2022-11-05
SF,Jabari Walker,3500,POR,PHO,2022-11-05
PG,TyTy Washington,3500,HOU,MIN,2022-11-05
SF/SG,Jarrett Culver,3500,ATL,NO,2022-11-05
SG,Trevor Keels,3500,NY,BOS,2022-11-05
SG,Wendell Moore,3500,MIN,HOU,2022-11-05
SF,Josh Minott,3500,MIN,HOU,2022-11-05
PF,E.J. Liddell,3500,NO,ATL,2022-11-05
PF,John Butler,3500,POR,PHO,2022-11-05
SG,Bryce McGowens,3500,CHA,BKN,2022-11-05
SF/PF,Thanasis Antetokounmpo,3500,MIL,OKC,2022-11-05
SG/PG,Cody Martin,3500,CHA,BKN,2022-11-05
SF,Mfiondu Kabengele,3500,BOS,NY,2022-11-05
SF,Justin Jackson,3500,BOS,NY,2022-11-05
SF,MarJon Beauchamp,3500,MIL,OKC,2022-11-05
SF,Davon Reed,3500,DEN,SA,2022-11-05
SF,Jordan Hall,3500,SA,DEN,2022-11-05
SF,Jack White,3500,DEN,SA,2022-11-05
C,Boban Marjanovic,3500,HOU,MIN,2022-11-05
SF,Dominick Barlow,3500,SA,DEN,2022-11-05
PF/C,Zeke Nnaji,3500,DEN,SA,2022-11-05
SF/PF,Danilo Gallinari,3500,BOS,NY,2022-11-05
PG,Kira Lewis,3500,NO,ATL,2022-11-05
PG,Isaiah Joe,3500,OKC,MIL,2022-11-05
SF,Feron Hunt,3500,NY,BOS,2022-11-05
PG/SG,Payton Pritchard,3500,BOS,NY,2022-11-05
SG/SF,Joe Ingles,3500,MIL,OKC,2022-11-05
PF/SF,Jae Crowder,3500,PHO,POR,2022-11-05
SG,Trent Forrest,3500,ATL,NO,2022-11-05
