name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value
Moritz Wagner,PF,4400,ORL,27.4,14.91,6.23,3.39,5.4
Tyrese Maxey,PG/SG,6400,PHI,36.3,18.59,5.67,2.9,4.3
Jaden Ivey,SG,6100,DET,33.3,18.78,5.46,3.08,2.8
Khris Middleton,SG,6400,MIL,34.0,19.21,5.31,3.0,2.0
Julius Randle,PF,10000,NY,51.2,26.07,5.12,2.61,1.2
RJ Barrett,SF/SG,6500,NY,33.5,18.07,5.15,2.78,1.0
Bobby Portis,PF/C,6200,MIL,32.0,18.46,5.16,2.98,1.0
Immanuel Quickley,SG/PG,7300,NY,37.0,19.52,5.07,2.67,0.5
Marvin Bagley,PF/C,7000,DET,35.2,17.86,5.03,2.55,0.2
Dillon Brooks,SG/SF,5000,MEM,24.3,12.33,4.86,2.47,-0.7
Lauri Markkanen,PF/SF,8600,UTA,42.0,22.73,4.88,2.64,-1.0
Franz Wagner,SF/SG,5900,ORL,28.5,14.61,4.83,2.48,-1.0
Xavier Tillman,PF/C,5700,MEM,27.3,14.85,4.79,2.61,-1.2
Desmond Bane,SG/SF,8200,MEM,39.7,21.43,4.84,2.61,-1.3
Paolo Banchero,PF/SF,7600,ORL,36.6,18.63,4.82,2.45,-1.4
Pat Connaughton,SF/SG,4400,MIL,20.2,11.22,4.59,2.55,-1.8
Josh Giddey,SG/PG,8200,OKC,39.1,20.34,4.77,2.48,-1.9
Cameron Johnson,SF/PF,6000,BKN,28.0,15.24,4.67,2.54,-2.0
Bradley Beal,SG,8700,WAS,41.5,21.57,4.77,2.48,-2.0
Grayson Allen,SG/SF,4700,MIL,21.3,11.68,4.53,2.49,-2.2
Jordan Goodwin,PG,3700,WAS,16.3,8.14,4.41,2.2,-2.2
Jordan Clarkson,PG/SG,7400,UTA,34.3,18.86,4.64,2.55,-2.7
Anthony Edwards,SG/SF,8900,MIN,41.7,20.88,4.69,2.35,-2.8
James Wiseman,C,5600,DET,25.1,13.83,4.48,2.47,-2.9
Talen Horton-Tucker,SG/SF,6300,UTA,28.5,15.51,4.52,2.46,-3.0
Alperen Sengun,C,7500,HOU,34.5,16.64,4.6,2.22,-3.0
Kelly Olynyk,C,5800,UTA,25.9,15.02,4.47,2.59,-3.1
Isaiah Livers,PF,4200,DET,17.8,9.58,4.24,2.28,-3.2
Luka Doncic,PG/SG,12000,DAL,56.8,29.57,4.73,2.46,-3.2
Stephen Curry,PG,9500,GS,44.2,23.04,4.65,2.43,-3.3
Giannis Antetokounmpo,PF/SF,12200,MIL,57.6,31.63,4.72,2.59,-3.4
Kevon Looney,C,5300,GS,23.0,12.11,4.34,2.28,-3.5
Jalen Suggs,PG/SG,5400,ORL,23.5,12.84,4.35,2.38,-3.5
Malik Beasley,SF/SG,5300,LAL,22.8,12.61,4.3,2.38,-3.7
Joe Ingles,SG/SF,4200,MIL,17.3,8.67,4.12,2.06,-3.7
Jevon Carter,PG/SG,4400,MIL,18.3,9.4,4.16,2.14,-3.7
Terry Rozier,SG/PG,7900,CHA,35.8,18.94,4.53,2.4,-3.7
Markelle Fultz,PG,7000,ORL,31.0,15.81,4.43,2.26,-4.0
Gordon Hayward,SF/SG,6700,CHA,29.5,15.74,4.4,2.35,-4.0
Joel Embiid,C,11800,PHI,54.9,28.63,4.65,2.43,-4.1
Jalen Green,SG/PG,7200,HOU,31.6,16.55,4.39,2.3,-4.4
Mike Conley,PG,5800,MIN,24.6,13.54,4.24,2.33,-4.4
Brook Lopez,C,7000,MIL,30.6,16.28,4.37,2.33,-4.4
Klay Thompson,SG,7800,GS,34.5,18.14,4.42,2.33,-4.5
Tyus Jones,PG,7500,MEM,32.8,17.86,4.37,2.38,-4.7
Jabari Smith,PF,5500,HOU,22.4,11.93,4.07,2.17,-5.1
Josh Hart,SG/SF,6300,NY,26.4,13.63,4.19,2.16,-5.1
Jae Crowder,PF/SF,4000,MIL,14.8,7.42,3.7,1.86,-5.2
Spencer Dinwiddie,PG,8400,BKN,36.8,19.29,4.38,2.3,-5.2
