team,name,url
ATL,Donovan Williams,https://www.scoresandodds.com/prop-bets/4266364/donovan-williams
ATL,Trent Forrest,https://www.scoresandodds.com/prop-bets/2439536/trent-forrest
ATL,De'Andre Hunter,https://www.scoresandodds.com/prop-bets/1115296/de-andre-hunter
ATL,Dejounte Murray,https://www.scoresandodds.com/prop-bets/35209/dejounte-murray
ATL,Aaron Holiday,https://www.scoresandodds.com/prop-bets/408932/aaron-holiday
ATL,Trae Young,https://www.scoresandodds.com/prop-bets/409063/trae-young
ATL,Clint Capela,https://www.scoresandodds.com/prop-bets/18610/clint-capela
ATL,Onyeka Okongwu,https://www.scoresandodds.com/prop-bets/2439277/onyeka-okongwu
ATL,Bruno Fernando,https://www.scoresandodds.com/prop-bets/1115294/bruno-fernando
ATL,John Collins,https://www.scoresandodds.com/prop-bets/37823/john-collins
ATL,Bogdan Bogdanovic,https://www.scoresandodds.com/prop-bets/37899/bogdan-bogdanovic
ATL,Vit Krejci,https://www.scoresandodds.com/prop-bets/2439347/vit-krejci
ATL,Garrison Mathews,https://www.scoresandodds.com/prop-bets/1171185/garrison-mathews
ATL,AJ Griffin,https://www.scoresandodds.com/prop-bets/3587833/aj-griffin
ATL,Tyrese Martin,https://www.scoresandodds.com/prop-bets/3587834/tyrese-martin
ATL,Jalen Johnson,https://www.scoresandodds.com/prop-bets/3005263/jalen-johnson
ATL,Saddiq Bey,https://www.scoresandodds.com/prop-bets/2439113/saddiq-bey
BKN,Royce O'Neale,https://www.scoresandodds.com/prop-bets/37872/royce-o-neale
BKN,Dorian Finney-Smith,https://www.scoresandodds.com/prop-bets/36032/dorian-finney-smith
BKN,David Duke,https://www.scoresandodds.com/prop-bets/3090491/david-duke
BKN,Yuta Watanabe,https://www.scoresandodds.com/prop-bets/570161/yuta-watanabe
BKN,Mikal Bridges,https://www.scoresandodds.com/prop-bets/408842/mikal-bridges
BKN,Spencer Dinwiddie,https://www.scoresandodds.com/prop-bets/18588/spencer-dinwiddie
BKN,Patty Mills,https://www.scoresandodds.com/prop-bets/13977/patty-mills
BKN,Nic Claxton,https://www.scoresandodds.com/prop-bets/1115132/nic-claxton
BKN,Day'Ron Sharpe,https://www.scoresandodds.com/prop-bets/3005094/day-ron-sharpe
BKN,Nerlens Noel,https://www.scoresandodds.com/prop-bets/18575/nerlens-noel
BKN,Ben Simmons,https://www.scoresandodds.com/prop-bets/35184/ben-simmons
BKN,Edmond Sumner,https://www.scoresandodds.com/prop-bets/37818/edmond-sumner
BKN,Cam Thomas,https://www.scoresandodds.com/prop-bets/3005097/cam-thomas
BKN,Seth Curry,https://www.scoresandodds.com/prop-bets/16825/seth-curry
BKN,Joe Harris,https://www.scoresandodds.com/prop-bets/18587/joe-harris
BKN,Dru Smith,https://www.scoresandodds.com/prop-bets/3080547/dru-smith
BKN,Cameron Johnson,https://www.scoresandodds.com/prop-bets/1115625/cameron-johnson
BOS,Malcolm Brogdon,https://www.scoresandodds.com/prop-bets/35195/malcolm-brogdon
