Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (26963407),Giannis Antetokounmpo,26963407,PF/C/F/UTIL,11900,MIL@GSW 03/11/2023 08:30PM ET,MIL,57.08
PG,Luka Doncic (26963411),Luka Doncic,26963411,PG/G/UTIL,11800,DAL@MEM 03/11/2023 08:00PM ET,DAL,60.55
PG,Stephen Curry (26963414),Stephen Curry,26963414,PG/G/UTIL,10700,MIL@GSW 03/11/2023 08:30PM ET,GSW,50.95
SF/PF,Jayson Tatum (26963417),Jayson Tatum,26963417,SF/PF/F/UTIL,10600,BOS@ATL 03/11/2023 07:30PM ET,BOS,52.85
PG,Tyrese Haliburton (26963421),Tyrese Haliburton,26963421,PG/G/UTIL,10200,IND@DET 03/11/2023 07:00PM ET,IND,46.26
C,Domantas Sabonis (26963424),Domantas Sabonis,26963424,C/UTIL,10000,SAC@PHX 03/11/2023 09:00PM ET,SAC,48.01
PG/SG,Devin Booker (26963426),Devin Booker,26963426,PG/SG/G/UTIL,9900,SAC@PHX 03/11/2023 09:00PM ET,PHX,44.60
PG/SG,Kyrie Irving (26963430),Kyrie Irving,26963430,PG/SG/G/UTIL,9800,DAL@MEM 03/11/2023 08:00PM ET,DAL,46.17
SF/PF,Kevin Durant (26963434),Kevin Durant,26963434,SF/PF/F/UTIL,9800,SAC@PHX 03/11/2023 09:00PM ET,PHX,49.68
SF/PF,Lauri Markkanen (26963438),Lauri Markkanen,26963438,SF/PF/F/UTIL,9700,UTA@CHA 03/11/2023 07:00PM ET,UTA,42.36
PG,Ja Morant (26963442),Ja Morant,26963442,PG/G/UTIL,9500,DAL@MEM 03/11/2023 08:00PM ET,MEM,49.55
PG,De'Aaron Fox (26963445),De'Aaron Fox,26963445,PG/G/UTIL,9400,SAC@PHX 03/11/2023 09:00PM ET,SAC,42.94
PG,Shai Gilgeous-Alexander (26963448),Shai Gilgeous-Alexander,26963448,PG/G/UTIL,9200,OKC@NOP 03/11/2023 08:30PM ET,OKC,50.12
PG,Trae Young (26963451),Trae Young,26963451,PG/G/UTIL,9100,BOS@ATL 03/11/2023 07:30PM ET,ATL,48.00
SG/SF,Jaylen Brown (26963454),Jaylen Brown,26963454,SG/SF/F/G/UTIL,9000,BOS@ATL 03/11/2023 07:30PM ET,BOS,43.28
PF/C,Jaren Jackson Jr. (26963459),Jaren Jackson Jr.,26963459,PF/C/F/UTIL,8800,DAL@MEM 03/11/2023 08:00PM ET,MEM,35.36
SF,Jimmy Butler (26963463),Jimmy Butler,26963463,SF/F/UTIL,8700,MIA@ORL 03/11/2023 07:00PM ET,MIA,41.63
PG,Jrue Holiday (26963474),Jrue Holiday,26963474,PG/G/UTIL,8700,MIL@GSW 03/11/2023 08:30PM ET,MIL,40.09
SG/SF,Zach LaVine (26963469),Zach LaVine,26963469,SG/SF/F/G/UTIL,8600,CHI@HOU 03/11/2023 08:00PM ET,CHI,39.07
SG,Desmond Bane (26963477),Desmond Bane,26963477,SG/G/UTIL,8500,DAL@MEM 03/11/2023 08:00PM ET,MEM,36.74
SF,Brandon Ingram (26963466),Brandon Ingram,26963466,SF/F/UTIL,8500,OKC@NOP 03/11/2023 08:30PM ET,NOP,37.71
SG/SF,Klay Thompson (26963488),Klay Thompson,26963488,SG/SF/F/G/UTIL,8400,MIL@GSW 03/11/2023 08:30PM ET,GSW,34.20
PG/SG,Terry Rozier (26963484),Terry Rozier,26963484,PG/SG/G/UTIL,8300,UTA@CHA 03/11/2023 07:00PM ET,CHA,36.98
PF/C,Zion Williamson (26963480),Zion Williamson,26963480,PF/C/F/UTIL,8300,OKC@NOP 03/11/2023 08:30PM ET,NOP,43.57
PG/SG,Josh Giddey (26963497),Josh Giddey,26963497,PG/SG/G/UTIL,8200,OKC@NOP 03/11/2023 08:30PM ET,OKC,37.36
SF/PF,DeMar DeRozan (26963493),DeMar DeRozan,26963493,SF/PF/F/UTIL,8200,CHI@HOU 03/11/2023 08:00PM ET,CHI,40.44
C,Nikola Vucevic (26963501),Nikola Vucevic,26963501,C/UTIL,8000,CHI@HOU 03/11/2023 08:00PM ET,CHI,40.62
SF/PF,Paolo Banchero (26963503),Paolo Banchero,26963503,SF/PF/F/UTIL,7900,MIA@ORL 03/11/2023 07:00PM ET,ORL,35.92
PG/SG,Dejounte Murray (26963507),Dejounte Murray,26963507,PG/SG/G/UTIL,7900,BOS@ATL 03/11/2023 07:30PM ET,ATL,40.48
SG/SF,Kelly Oubre Jr. (26963513),Kelly Oubre Jr.,26963513,SG/SF/F/G/UTIL,7800,UTA@CHA 03/11/2023 07:00PM ET,CHA,32.88
C,Bam Adebayo (26963518),Bam Adebayo,26963518,C/UTIL,7800,MIA@ORL 03/11/2023 07:00PM ET,MIA,41.37
PG/SG,Jordan Clarkson (26963520),Jordan Clarkson,26963520,PG/SG/G/UTIL,7700,UTA@CHA 03/11/2023 07:00PM ET,UTA,33.84
C,Myles Turner (26963511),Myles Turner,26963511,C/UTIL,7700,IND@DET 03/11/2023 07:00PM ET,IND,36.00
PG,CJ McCollum (26963524),CJ McCollum,26963524,PG/G/UTIL,7600,OKC@NOP 03/11/2023 08:30PM ET,NOP,38.35
SF,Khris Middleton (26963527),Khris Middleton,26963527,SF/F/UTIL,7600,MIL@GSW 03/11/2023 08:30PM ET,MIL,27.12
PG,Chris Paul (26963530),Chris Paul,26963530,PG/G/UTIL,7500,SAC@PHX 03/11/2023 09:00PM ET,PHX,36.48
C,Deandre Ayton (26963533),Deandre Ayton,26963533,C/UTIL,7500,SAC@PHX 03/11/2023 09:00PM ET,PHX,36.45
C,Alperen Sengun (26963535),Alperen Sengun,26963535,C/UTIL,7400,CHI@HOU 03/11/2023 08:00PM ET,HOU,34.47
C,Brook Lopez (26963537),Brook Lopez,26963537,C/UTIL,7300,MIL@GSW 03/11/2023 08:30PM ET,MIL,31.75
PG,Kevin Porter Jr. (26963543),Kevin Porter Jr.,26963543,PG/G/UTIL,7300,CHI@HOU 03/11/2023 08:00PM ET,HOU,36.80
PG/SG,Tyler Herro (26963539),Tyler Herro,26963539,PG/SG/G/UTIL,7200,MIA@ORL 03/11/2023 07:00PM ET,MIA,36.77
C,Walker Kessler (26963557),Walker Kessler,26963557,C/UTIL,7100,UTA@CHA 03/11/2023 07:00PM ET,UTA,25.17
PG,Tyus Jones (26963554),Tyus Jones,26963554,PG/G/UTIL,7100,DAL@MEM 03/11/2023 08:00PM ET,MEM,22.56
SF/PF,Jalen Williams (26963546),Jalen Williams,26963546,SF/PF/F/UTIL,7100,OKC@NOP 03/11/2023 08:30PM ET,OKC,26.70
PG/SG,Jordan Poole (26963550),Jordan Poole,26963550,PG/SG/G/UTIL,7100,MIL@GSW 03/11/2023 08:30PM ET,GSW,32.90
PF/C,Bobby Portis (26963559),Bobby Portis,26963559,PF/C/F/UTIL,7000,MIL@GSW 03/11/2023 08:30PM ET,MIL,30.83
PG/SG,Jaden Ivey (26963563),Jaden Ivey,26963563,PG/SG/G/UTIL,7000,IND@DET 03/11/2023 07:00PM ET,DET,29.30
C,Jonas Valanciunas (26963571),Jonas Valanciunas,26963571,C/UTIL,6900,OKC@NOP 03/11/2023 08:30PM ET,NOP,30.25
PG/SG,Jalen Green (26963567),Jalen Green,26963567,PG/SG/G/UTIL,6900,CHI@HOU 03/11/2023 08:00PM ET,HOU,33.77
PF/C,Marvin Bagley III (26963573),Marvin Bagley III,26963573,PF/C/F/UTIL,6800,IND@DET 03/11/2023 07:00PM ET,DET,23.38
SG/SF,Talen Horton-Tucker (26963577),Talen Horton-Tucker,26963577,SG/SF/F/G/UTIL,6700,UTA@CHA 03/11/2023 07:00PM ET,UTA,18.44
SF,Gordon Hayward (26963582),Gordon Hayward,26963582,SF/F/UTIL,6700,UTA@CHA 03/11/2023 07:00PM ET,CHA,27.74
PG,Markelle Fultz (26963589),Markelle Fultz,26963589,PG/G/UTIL,6600,MIA@ORL 03/11/2023 07:00PM ET,ORL,29.64
PF/C,Draymond Green (26963585),Draymond Green,26963585,PF/C/F/UTIL,6600,MIL@GSW 03/11/2023 08:30PM ET,GSW,30.43
SG/SF,Franz Wagner (26963602),Franz Wagner,26963602,SG/SF/F/G/UTIL,6500,MIA@ORL 03/11/2023 07:00PM ET,ORL,30.77
PF/C,PJ Washington (26963598),PJ Washington,26963598,PF/C/F/UTIL,6400,UTA@CHA 03/11/2023 07:00PM ET,CHA,29.23
SF/PF,Andrew Wiggins (26963594),Andrew Wiggins,26963594,SF/PF/F/UTIL,6400,MIL@GSW 03/11/2023 08:30PM ET,GSW,31.46
C,Clint Capela (26963592),Clint Capela,26963592,C/UTIL,6300,BOS@ATL 03/11/2023 07:30PM ET,ATL,31.40
SF,Buddy Hield (26963607),Buddy Hield,26963607,SF/F/UTIL,6300,IND@DET 03/11/2023 07:00PM ET,IND,31.50
C,Xavier Tillman (26963610),Xavier Tillman,26963610,C/UTIL,6200,DAL@MEM 03/11/2023 08:00PM ET,MEM,16.39
C,Wendell Carter Jr. (26963612),Wendell Carter Jr.,26963612,C/UTIL,6100,MIA@ORL 03/11/2023 07:00PM ET,ORL,31.67
PF,Kelly Olynyk (26963619),Kelly Olynyk,26963619,PF/F/UTIL,6000,UTA@CHA 03/11/2023 07:00PM ET,UTA,26.67
C,Steven Adams (26963614),Steven Adams,26963614,C/UTIL,6000,DAL@MEM 03/11/2023 08:00PM ET,MEM,29.99
PG,Malcolm Brogdon (26963616),Malcolm Brogdon,26963616,PG/G/UTIL,6000,BOS@ATL 03/11/2023 07:30PM ET,BOS,27.39
C,Mark Williams (26963622),Mark Williams,26963622,C/UTIL,5900,UTA@CHA 03/11/2023 07:00PM ET,CHA,20.21
PG,Marcus Smart (26963628),Marcus Smart,26963628,PG/G/UTIL,5900,BOS@ATL 03/11/2023 07:30PM ET,BOS,29.11
SF,Luguentz Dort (26963634),Luguentz Dort,26963634,SF/F/UTIL,5900,OKC@NOP 03/11/2023 08:30PM ET,OKC,25.49
PF,Jabari Smith Jr. (26963631),Jabari Smith Jr.,26963631,PF/F/UTIL,5900,CHI@HOU 03/11/2023 08:00PM ET,HOU,25.83
SF/PF,Bojan Bogdanovic (26963624),Bojan Bogdanovic,26963624,SF/PF/F/UTIL,5900,IND@DET 03/11/2023 07:00PM ET,DET,31.67
PG/SG,Kris Dunn (26963639),Kris Dunn,26963639,PG/SG/G/UTIL,5800,UTA@CHA 03/11/2023 07:00PM ET,UTA,29.71
SG/SF,Donte DiVincenzo (26963643),Donte DiVincenzo,26963643,SG/SF/F/G/UTIL,5800,MIL@GSW 03/11/2023 08:30PM ET,GSW,23.01
C,James Wiseman (26963637),James Wiseman,26963637,C/UTIL,5800,IND@DET 03/11/2023 07:00PM ET,DET,16.7
SG/SF,Kevin Huerter (26963651),Kevin Huerter,26963651,SG/SF/F/G/UTIL,5800,SAC@PHX 03/11/2023 09:00PM ET,SAC,27.22
PF,Al Horford (26963648),Al Horford,26963648,PF/F/UTIL,5700,BOS@ATL 03/11/2023 07:30PM ET,BOS,25.76
PG/SG,Derrick White (26963656),Derrick White,26963656,PG/SG/G/UTIL,5700,BOS@ATL 03/11/2023 07:30PM ET,BOS,25.56
C,Moritz Wagner (26963660),Moritz Wagner,26963660,C/UTIL,5600,MIA@ORL 03/11/2023 07:00PM ET,ORL,21.55
SF/PF,Tari Eason (26963662),Tari Eason,26963662,SF/PF/F/UTIL,5600,CHI@HOU 03/11/2023 08:00PM ET,HOU,21.29
PG/SG,Cole Anthony (26963672),Cole Anthony,26963672,PG/SG/G/UTIL,5500,MIA@ORL 03/11/2023 07:00PM ET,ORL,25.96
SF/PF,KJ Martin (26963666),KJ Martin,26963666,SF/PF/F/UTIL,5500,CHI@HOU 03/11/2023 08:00PM ET,HOU,23.21
C,Christian Wood (26963670),Christian Wood,26963670,C/UTIL,5400,DAL@MEM 03/11/2023 08:00PM ET,DAL,32.42
SG/SF,Trey Murphy III (26963676),Trey Murphy III,26963676,SG/SF/F/G/UTIL,5400,OKC@NOP 03/11/2023 08:30PM ET,NOP,23.31
SG/SF,Tim Hardaway Jr. (26963689),Tim Hardaway Jr.,26963689,SG/SF/F/G/UTIL,5300,DAL@MEM 03/11/2023 08:00PM ET,DAL,24.14
SF/PF,Harrison Barnes (26963681),Harrison Barnes,26963681,SF/PF/F/UTIL,5300,SAC@PHX 03/11/2023 09:00PM ET,SAC,25.35
