date,name,team,opp,fpts,mp,fppm,home,w,w_pts,l,l_pts,injury,starter,fg,fga,fg_perc,3p,3pa,3p_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts,efg,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perc,usg,ortg,drtg,bpm,total_pts,pts_diff,team_fpts,matchup,mu_fpts
2023-02-11,De'Andre Hunter,ATL,SA,39.5,32.85,1.2024353120243532,1,ATL,125,SA,106,0,1,8,13,0.615,2,5,0.4,6,9,0.667,1,4,5,1,3,0,1,2,24,21.0,0.708,0.6920000000000001,0.385,0.6920000000000001,0.03,0.122,0.075,0.038,0.042,0.0,0.0559999999999999,0.216,139,99,6.9,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Clint Capela,ATL,SA,38.9,29.05,1.3390705679862305,1,ATL,125,SA,106,0,1,7,12,0.583,0,0,0.0,0,0,0.0,6,6,12,1,0,3,0,1,14,27.0,0.583,0.583,0.0,0.0,0.2019999999999999,0.207,0.204,0.043,0.0,0.087,0.0,0.163,140,101,2.5,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,John Collins,ATL,SA,35.6,31.11666666666667,1.1440814140332085,1,ATL,125,SA,106,0,1,6,14,0.429,1,4,0.25,4,4,1.0,0,3,3,2,2,2,0,4,17,26.0,0.539,0.464,0.286,0.286,0.0,0.096,0.048,0.076,0.03,0.054,0.0,0.2,123,100,1.2,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Dejounte Murray,ATL,SA,32.9,33.1,0.9939577039274924,1,ATL,125,SA,106,0,1,8,18,0.444,2,5,0.4,0,0,0.0,1,6,7,3,1,0,1,1,18,12.0,0.5,0.5,0.278,0.0,0.03,0.181,0.105,0.113,0.0139999999999999,0.0,0.053,0.2269999999999999,107,103,-2.6,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Bogdan Bogdanovic,ATL,SA,19.6,26.85,0.7299813780260708,1,ATL,125,SA,106,0,0,5,9,0.556,3,3,1.0,0,0,0.0,1,2,3,2,0,0,0,0,13,0.0,0.722,0.722,0.333,0.0,0.036,0.074,0.055,0.087,0.0,0.0,0.0,0.133,154,111,2.7,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Jalen Johnson,ATL,SA,15.7,15.15,1.0363036303630362,1,ATL,125,SA,106,0,0,2,4,0.5,0,1,0.0,1,2,0.5,3,3,6,1,1,0,1,0,5,-2.0,0.512,0.5,0.25,0.5,0.1939999999999999,0.198,0.196,0.073,0.031,0.0,0.17,0.154,114,99,-0.8,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Onyeka Okongwu,ATL,SA,14.6,18.95,0.7704485488126649,1,ATL,125,SA,106,0,0,3,6,0.5,0,0,0.0,0,0,0.0,0,3,3,2,1,0,1,0,6,-8.0,0.5,0.5,0.0,0.0,0.0,0.158,0.078,0.119,0.024,0.0,0.143,0.146,98,102,-2.0,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,AJ Griffin,ATL,SA,4.6,16.883333333333333,0.2724580454096742,1,ATL,125,SA,106,0,0,1,7,0.143,0,3,0.0,0,0,0.0,0,3,3,0,0,0,1,2,2,-7.0,0.143,0.143,0.429,0.0,0.0,0.178,0.088,0.0,0.0,0.0,0.125,0.187,29,107,-23.8,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Aaron Holiday,ATL,SA,4.4,1.7166666666666668,2.563106796116505,1,ATL,125,SA,106,0,0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,1.0,1.0,1.0,0.0,0.0,0.5710000000000001,0.583,0.5770000000000001,0.0,0.0,0.0,0.0,0.23,208,91,32.2,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-11,Tyrese Martin,ATL,SA,0.0,1.7166666666666668,0.0,1,ATL,125,SA,106,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-7.9,231,19,261.1,"('ATL', 'SA')",486.4
2023-02-13,Jalen Johnson,ATL,CHA,9.2,13.383333333333333,0.6874221668742216,0,CHA,144,ATL,138,0,0,4,7,0.5710000000000001,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,9,-15.0,0.643,0.643,0.286,0.0,0.0,0.124,0.047,0.0,0.0,0.0,0.125,0.222,112,139,-6.0,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,AJ Griffin,ATL,CHA,12.3,17.383333333333333,0.7075743048897412,0,CHA,144,ATL,138,0,0,2,7,0.286,0,1,0.0,2,2,1.0,1,3,4,1,0,0,0,1,6,-13.0,0.381,0.286,0.143,0.286,0.0579999999999999,0.286,0.143,0.0579999999999999,0.0,0.0,0.0,0.168,105,139,-10.4,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,Saddiq Bey,ATL,CHA,19.0,20.766666666666666,0.9149277688603532,0,CHA,144,ATL,138,0,1,4,9,0.444,3,5,0.6,1,1,1.0,1,4,5,0,0,1,2,0,12,0.0,0.636,0.611,0.556,0.111,0.048,0.319,0.15,0.0,0.0,0.049,0.175,0.205,111,135,-2.0,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,Bogdan Bogdanovic,ATL,CHA,26.8,31.36666666666667,0.8544102019128587,0,CHA,144,ATL,138,0,0,4,11,0.364,3,5,0.6,0,0,0.0,1,3,4,2,2,1,1,2,11,-3.0,0.5,0.5,0.455,0.0,0.032,0.158,0.079,0.065,0.0279999999999999,0.033,0.083,0.142,111,130,-2.1,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,De'Andre Hunter,ATL,CHA,28.9,34.6,0.8352601156069364,0,CHA,144,ATL,138,0,1,8,17,0.471,1,5,0.2,4,4,1.0,2,5,7,1,0,0,2,3,21,9.0,0.56,0.5,0.294,0.235,0.0579999999999999,0.239,0.126,0.033,0.0,0.0,0.096,0.223,116,139,-7.1,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,Dejounte Murray,ATL,CHA,35.0,39.71666666666667,0.8812421317666806,0,CHA,144,ATL,138,0,1,8,14,0.5710000000000001,1,3,0.333,3,3,1.0,0,5,5,4,1,0,0,1,20,-1.0,0.653,0.607,0.214,0.214,0.0,0.208,0.078,0.1119999999999999,0.011,0.0,0.0,0.143,150,137,-0.7,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,Onyeka Okongwu,ATL,CHA,36.9,18.75,1.968,0,CHA,144,ATL,138,0,0,5,8,0.625,0,0,0.0,2,2,1.0,5,2,7,1,3,2,0,4,12,-8.0,0.6759999999999999,0.625,0.0,0.25,0.267,0.177,0.233,0.064,0.071,0.109,0.0,0.176,163,113,9.7,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,Trae Young,ATL,CHA,49.4,34.78333333333333,1.4202204120747486,0,CHA,144,ATL,138,0,1,7,18,0.389,2,7,0.286,9,9,1.0,1,1,2,14,2,0,5,1,25,-1.0,0.569,0.444,0.389,0.5,0.0289999999999999,0.048,0.036,0.446,0.026,0.0,0.185,0.288,121,134,3.0,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-13,Clint Capela,ATL,CHA,36.9,29.25,1.2615384615384615,0,CHA,144,ATL,138,0,1,11,17,0.647,0,0,0.0,0,0,0.0,5,2,7,3,1,0,1,2,22,2.0,0.647,0.647,0.0,0.0,0.171,0.113,0.149,0.141,0.015,0.0,0.0559999999999999,0.2289999999999999,141,136,3.0,282,-6,254.4,"('ATL', 'CHA')",507.4
2023-02-15,Trae Young,ATL,NY,47.7,31.5,1.5142857142857145,1,NY,122,ATL,101,0,1,4,14,0.286,1,6,0.1669999999999999,10,13,0.769,0,1,1,11,4,0,1,0,19,-13.0,0.482,0.321,0.429,0.929,0.0,0.036,0.016,0.494,0.061,0.0,0.048,0.286,111,116,11.2,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,De'Andre Hunter,ATL,NY,35.3,28.5,1.23859649122807,1,NY,122,ATL,101,0,1,9,15,0.6,2,4,0.5,0,1,0.0,0,4,4,3,0,2,0,3,20,-23.0,0.648,0.667,0.267,0.067,0.0,0.16,0.071,0.203,0.0,0.064,0.0,0.236,125,122,8.7,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Clint Capela,ATL,NY,27.1,25.766666666666666,1.0517464424320828,1,NY,122,ATL,101,0,1,5,8,0.625,0,0,0.0,0,0,0.0,2,6,8,1,1,1,0,3,10,-15.0,0.625,0.625,0.0,0.0,0.07,0.266,0.157,0.061,0.019,0.035,0.0,0.135,130,117,0.8,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Jalen Johnson,ATL,NY,5.7,3.716666666666667,1.5336322869955157,1,NY,122,ATL,101,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,2.0,1.5,1.5,1.0,0.0,0.0,0.307,0.136,0.0,0.0,0.0,0.0,0.1169999999999999,44,123,20.0,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Bruno Fernando,ATL,NY,4.2,3.716666666666667,1.1300448430493273,1,NY,122,ATL,101,0,0,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,4,2.0,0.667,0.667,0.0,0.0,0.244,0.0,0.136,0.0,0.0,0.0,0.25,0.469,95,130,-2.1,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Garrison Mathews,ATL,NY,4.2,3.716666666666667,1.1300448430493273,1,NY,122,ATL,101,0,0,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,2.0,0.0,0.0,1.0,0.0,0.0,0.307,0.136,0.3229999999999999,0.0,0.244,0.0,0.1169999999999999,42,107,5.6,223,-21,221.5,"('ATL', 'NY')",442.5
2023-02-15,Vit Krejci,ATL,NY,3.7,3.716666666666667,0.9955156950672646,1,NY,122,ATL,101,0,0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2,2.0,0.5,0.5,0.0,0.0,0.0,0.307,0.136,0.477,0.0,0.0,0.3329999999999999,0.351,73,123,-8.1,223,-21,221.5,"('ATL', 'NY')",442.5
